t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
59,3292,1633,0.5580727375848166,1.4632742001367451,3.252290953399789,5.779271972577066,8.470551076679124,-8.563505305450622,-5.801707584709892,-3.2579154612484613,-1.559132441847482,-0.620381330195951,3.0238062695581718,4.057430982127149,5.554754246040548,7.635264894561842,10.173455614385468,-3.4036898282357133,-2.611983679505351,-1.6210242384478422,-0.7922572295968914,-0.34929511641352157
60,3292,1633,0.570576723934221,1.4778501110265274,3.288845851948847,5.884304805541141,8.566954372108338,-8.672469521608994,-5.867635111356323,-3.2997846592848834,-1.562322639822374,-0.6220633351889245,3.0795326150688687,4.089709450464337,5.644031684159308,7.736247453418262,10.242506645940349,-3.4271814600366075,-2.631507972356799,-1.6245077322024302,-0.7955950871244778,-0.3550595768932435
61,3290,1631,0.571006386146713,1.4973615416085937,3.3204641148602194,5.962977064424171,8.621894026377264,-8.780683975561997,-5.8938671430458935,-3.323645994206009,-1.5767257093110785,-0.6223470360755624,3.11294245953646,4.125157334132803,5.714889346657305,7.798999528371187,10.29731852647569,-3.4355892362287563,-2.6641120687822406,-1.6367449254388842,-0.7991249743972728,-0.35597821523937156
62,3290,1631,0.5779793619422006,1.507084624657751,3.3475750178138597,5.993085715859458,8.674492932937943,-8.848547974070547,-5.940225881054276,-3.352136809274973,-1.5962507681127782,-0.6254183390587196,3.16268554923571,4.1504114593559205,5.749209583397589,7.855243954614957,10.335488711706395,-3.4531468958674125,-2.6867003102297855,-1.6495976633411973,-0.8020485861339983,-0.35965896859867647
63,3290,1631,0.5838062802038466,1.5120295263945889,3.3720158672609717,6.037663099194575,8.72745787377578,-8.981182801624614,-5.982232293650716,-3.3710508145841014,-1.6005252759399808,-0.6256534049410428,3.2227168653585183,4.195378693167419,5.789695835813194,7.905929004920219,10.37122423973369,-3.4622576575906097,-2.697287046437082,-1.6541832575073558,-0.8020485861339983,-0.3623399174267561
64,3290,1631,0.5964430876167451,1.5448013660854119,3.393385093996009,6.100544803344806,8.777044351544811,-9.014261423823058,-6.047801030883741,-3.4097441599088585,-1.610500387078424,-0.6286871319510335,3.2548088006041014,4.210674784867054,5.837195097163257,7.927897760827957,10.491678694862369,-3.476423247180931,-2.724050985071079,-1.6655074298636725,-0.8092161309428012,-0.363577699717595
65,3290,1631,0.6010397357790178,1.5560681348905914,3.437220966303677,6.166403528846939,8.846890597689079,-9.067805808954652,-6.147227538253688,-3.4524442681950545,-1.61364554599233,-0.6330478121556998,3.3249395551111345,4.228894937022114,5.926304112943795,8.021098627872032,10.624850979943707,-3.4974318883953766,-2.7309904038195674,-1.6684535599894028,-0.8257936285494937,-0.363577699717595
66,3290,1631,0.6119755644475202,1.5686527307150302,3.4684668026880745,6.220330194874622,8.922171949712139,-9.25039919918141,-6.169321214740139,-3.4658676344569197,-1.6225265753127134,-0.6471921805501665,3.353048326864795,4.254963706825827,5.956575461525469,8.113887235013554,10.670250434202746,-3.5930648204129785,-2.7586926659146,-1.6785606269569273,-0.8293681046044072,-0.36492875924404367
67,3290,1631,0.6167328564938843,1.5832477350956318,3.521848092906342,6.274251872328648,9.080420726671239,-9.344076509852036,-6.236946514087643,-3.501051070962386,-1.6262506643085808,-0.6504569828960054,3.5100896991832404,4.279665637876147,6.004699529602393,8.217619476654583,10.787405099883271,-3.70936551060757,-2.7710143955719464,-1.6818564924799764,-0.8335094240462867,-0.3681142859678342
68,3290,1631,0.6263771405853635,1.5939683146697312,3.5456268963308735,6.321734780333854,9.15061342914931,-9.375244710172081,-6.291918398409317,-3.5300022249344076,-1.6392038639331128,-0.6504569828960054,3.5242355743129776,4.293943518079136,6.025437418743989,8.286781823864711,10.949356723187087,-3.748757257104536,-2.7862059541799113,-1.6873131407943718,-0.8455326292585016,-0.3681142859678342
