dataset,K,archetype_id,clean,meaty,predictable,size_viable,not_overlap,qualifies_as_v2_0_evidence,size_fraction_of_pool,monotonicity_centroid,local_peaks_centroid,pullback_magnitude_centroid,final_r_mean,frac_reach_1R,fwd_mfe_h240_p50,frac_wrong_way,auc_mean,shape_tag
arc1,5,1,False,False,False,True,True,False,0.5408884899174567,0.07166602574486272,0.0001619170983792051,5.025277069470313e-17,-0.28949691947267653,0.8030278497409327,2.919265031814575,0.6004695595854922,0.5256034495983709,bimodal
arc1,5,2,False,False,False,True,True,False,0.238543559652311,0.0003576527759228676,1.0027535566772445,4.6967644246180925e-05,0.1293724299728464,0.8699403396053236,3.3673250675201416,0.45112436897659475,0.5278175655778181,bimodal
arc1,5,3,False,True,True,False,True,False,0.0006130536640903817,0.5398453122803143,12.392857142857142,0.029521478073937565,0.8200172539800406,1.0,3.2756224870681763,0.10714285714285714,0.7314558001971738,bimodal
arc1,5,4,False,False,True,False,True,False,0.00026273728461016354,0.5153935986260573,4.916666666666667,0.5381850426395733,-0.06788373241821925,0.9166666666666666,2.0526350140571594,0.5,0.7410092243855612,bimodal
arc1,6,0,True,True,False,True,True,False,0.21967026470781426,0.9995814961722054,1.003488487989513,4.033985831122669e-05,0.5916305966967683,0.9298315558656434,3.7444350719451904,0.2888468055417123,0.5111746544966358,bimodal
arc1,6,1,False,False,False,True,True,False,0.5021347404374575,1.9076480449353728e-05,0.00017441353436925544,4.957514433689969e-17,-0.33715951898369845,0.7960669747972443,2.8897424936294556,0.6163338275050144,0.52142818293423,bimodal
arc1,6,2,False,False,False,True,True,False,0.238543559652311,0.0003576527759228676,1.0027535566772445,4.6967644246180925e-05,0.1293724299728464,0.8699403396053236,3.3673250675201416,0.45112436897659475,0.5278175655778181,bimodal
arc1,6,3,False,False,True,False,True,False,0.0002846320583276772,0.5526710141163607,4.769230769230769,0.517330492918308,-0.24499229513681853,0.9230769230769231,1.9971450567245483,0.5384615384615384,0.7163345013870638,bimodal
arc1,6,4,False,True,True,False,True,False,0.0006130536640903817,0.5398453122803143,12.392857142857142,0.029521478073937565,0.8200172539800406,1.0,3.2756224870681763,0.10714285714285714,0.7314558001971738,bimodal
arc1,6,5,True,False,False,False,True,False,0.03875374947999912,0.9999999999999742,-2.0539125955565396e-15,-3.713392440762853e-18,0.32807034447409034,0.8932203389830509,3.334089994430542,0.3949152542372881,0.5401405563584823,bimodal
arc1,7,0,False,False,False,True,True,False,0.5021347404374575,1.9076480449353728e-05,0.00017441353436925544,4.957514433689969e-17,-0.33715951898369845,0.7960669747972443,2.8897424936294556,0.6163338275050144,0.52142818293423,bimodal
arc1,7,1,False,False,False,True,True,False,0.23852166487859347,0.000316378465724354,1.002662015788377,3.083345907885579e-05,0.12943574558508988,0.869928400954654,3.367500066757202,0.4511657793280705,0.5274144273006296,bimodal
arc1,7,2,True,True,False,True,True,False,0.21964836993409673,0.9995801172721674,1.0036881977670236,3.7133924407628527e-17,0.5918416493338164,0.9298245614035088,3.7457250356674194,0.28877591706539074,0.5105061011878183,bimodal
arc1,7,3,False,False,True,False,True,False,0.00010947386858756815,0.5354953587055207,3.8000000000000007,0.755442750453949,0.6550958931446076,1.0,3.0686750411987305,0.4,0.7274955957638489,unclassified
arc1,7,4,False,False,True,False,True,False,0.00030652683204519083,0.5754183945911271,5.2142857142857135,0.2937957250646183,-0.5670400070292609,0.9285714285714286,1.9383925199508667,0.5,0.7653572177998864,unclassified
arc1,7,5,True,False,False,False,True,False,0.03875374947999912,0.9999999999999742,-2.0539125955565396e-15,-3.713392440762853e-18,0.32807034447409034,0.8932203389830509,3.334089994430542,0.3949152542372881,0.5401405563584823,bimodal
arc1,7,6,False,True,True,False,True,False,0.0005254745692203271,0.5429363424579302,13.250000000000004,0.010086936255296067,0.9313594416404763,1.0,3.038054943084717,0.08333333333333333,0.6967101600918657,bimodal
arc2,3,0,False,True,False,True,False,False,0.19333834209867268,0.5350370439658394,24.21066319895967,0.031389469045888845,3.9081668202992086,1.0,6.317775011062622,0.014248704663212436,0.5113764942001815,bimodal
arc2,3,1,False,False,False,True,True,False,0.30954169797145004,0.027382363622526773,0.4563106796117671,0.003995462802981797,-1.0022004381843923,0.7103559870550162,2.4620124101638794,0.8276699029126213,0.5479739876836118,bimodal
arc2,3,2,False,False,False,True,True,False,0.4971199599298773,0.5374184011648477,6.2364185110664145,0.1309854950890744,-0.7145522145100491,0.8801007556675063,2.8605000972747803,0.46146095717884134,0.535358622129589,bimodal
arc2,4,0,False,False,False,False,True,False,0.0776358627598297,0.48566035546602726,5.4064516129032345,0.6156495239465467,-0.48357930986976794,0.8741935483870967,2.7855849266052246,0.5096774193548387,0.5008614964194711,bimodal
arc2,4,1,False,False,False,True,True,False,0.4355121462559479,0.5399245098104695,6.324324324324334,0.04015998661843636,-0.7499282811950441,0.878090856814261,2.86040997505188,0.4583093732029902,0.5435423877122784,bimodal
arc2,4,2,False,True,False,True,False,False,0.19158527422990232,0.5355066229704937,24.099346405228744,0.03278998980919518,3.91079849915372,1.0,6.319250106811523,0.018300653594771243,0.502193764410669,bimodal
arc2,4,3,False,False,False,True,True,False,0.29526671675432004,0.012323893499227578,0.3986429177269999,0.0031400734528670426,-0.998920345141776,0.7073791348600509,2.4800150394439697,0.8320610687022901,0.5383613298638188,bimodal
arc2,5,0,False,False,False,True,True,False,0.2789882294014525,0.005194805241460987,0.34290843806114335,0.003085617892295625,-1.0064507392878832,0.7082585278276481,2.4893349409103394,0.8330341113105925,0.5482519884990273,bimodal
arc2,5,1,False,True,False,True,False,False,0.1555221637866266,0.537071608473363,26.4959871589085,0.027523673879488023,4.4535141877962,1.0,6.859149932861328,0.008051529790660225,0.49886915258323317,bimodal
arc2,5,2,False,False,False,True,True,False,0.20586025544703232,0.5229084210263355,7.612942612942612,0.10430894096601435,-0.14292406939494667,0.8880778588807786,3.2764949798583984,0.4197080291970803,0.5354437341752434,bimodal
arc2,5,3,False,False,False,False,True,False,0.048835462058602556,0.4766432190552736,4.635897435897443,0.7656145939460165,-0.6701515505758998,0.8615384615384616,2.5828750133514404,0.5538461538461539,0.4965953497303611,bimodal
arc2,5,4,False,False,False,True,True,False,0.310793889306286,0.525028840667192,6.080515297906609,0.027510114596036993,-0.8350396065891695,0.8775181305398871,2.803105115890503,0.45447219983883963,0.5111374704688114,bimodal
arc2,6,0,False,False,False,True,True,False,0.27923866766841976,0.005190146223307213,0.34170403587454246,0.0020930032492204736,-1.0056900051827522,0.7076233183856502,2.4817700386047363,0.8340807174887892,0.5446452849808281,bimodal
arc2,6,1,False,False,False,True,True,False,0.28825444527923866,0.5195280952002048,5.967854039965253,0.022707168747557606,-0.8595668771724944,0.8722849695916595,2.743109941482544,0.4622067767158992,0.5069540805572638,bimodal
arc2,6,2,False,True,False,True,False,False,0.15126471324818433,0.5371436167829085,26.781456953642376,0.029310638726448617,4.531789344938978,1.0,6.9044249057769775,0.008278145695364239,0.4928734763353592,bimodal
arc2,6,3,False,False,False,False,True,False,0.013523666416228399,0.4549443815593366,3.592592592592591,1.1939278531957553,-0.6046845179085655,0.9074074074074074,2.3676799535751343,0.6111111111111112,0.5572372581913407,bimodal
arc2,6,4,False,False,False,False,True,False,0.08740295517155021,0.4961881265684661,6.077363896848144,0.4397613763126056,-0.48394643521552805,0.8767908309455588,3.0194199085235596,0.4699140401146132,0.5110708976233093,bimodal
arc2,6,5,False,False,False,True,True,False,0.18031555221637866,0.5385286414374905,8.109722222222222,0.03521383043068166,-0.09020245167905361,0.8958333333333334,3.332034945487976,0.3972222222222222,0.5554575872882477,bimodal
arc2,7,0,False,False,False,True,True,False,0.19083395942900075,0.5659241105216781,9.200000000000005,0.031058396321106456,-0.03852836588297401,0.9212598425196851,3.527114987373352,0.3346456692913386,0.5532671433935757,bimodal
arc2,7,1,False,False,False,False,True,False,0.05133984472827448,0.010092915340167596,1.5121951219512066,0.024839942793293865,-0.9304113561469244,0.7317073170731707,2.6747701168060303,0.824390243902439,0.5637594689732393,scattered
arc2,7,2,False,True,False,False,False,False,0.14650638617580766,0.5377952397176373,27.07204116638079,0.029216811073685484,4.637298283222903,1.0,6.971399784088135,0.008547008547008548,0.5043230702318382,bimodal
arc2,7,3,False,False,False,False,True,False,0.021036814425244178,0.47226644750861896,4.059523809523808,1.0408857053234462,-0.6590765097422436,0.9404761904761905,2.617227554321289,0.5357142857142857,0.5540517794940657,bimodal
arc2,7,4,False,False,False,False,True,False,0.08640120210368145,0.5040068395759747,6.342028985507252,0.39463126914224733,-0.41295980858427567,0.8666666666666667,2.983220100402832,0.463768115942029,0.5170696407626092,bimodal
arc2,7,5,False,False,False,True,True,False,0.26496368645128976,0.5175704135574475,5.458845789971624,0.018732203785663974,-0.9224861809761142,0.8629489603024575,2.591694951057434,0.4924385633270321,0.507580775212315,bimodal
arc2,7,6,False,False,False,True,True,False,0.23891810668670171,0.004733317022051431,0.15723270440257942,0.00021873075569572853,-1.0051401622087717,0.7012578616352201,2.4712774753570557,0.8333333333333334,0.5611714593382781,bimodal
