fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
5,2023-10-09,3,10019.41332,10078.81698,10018.9418,0.004706040724,0.004706040724,0.004706040724,59.40366481,"1302,1299,1303"
5,2023-10-13,1,10078.81698,10186.98829,10078.81698,0,0,0,108.1713046,1295
5,2023-12-19,1,10147.81198,10168.27571,10147.81198,0,0,0,20.46372817,1375
5,2023-12-12,1,10225.61576,10240.20741,10225.61576,0,0,0,14.59165158,1355
5,2023-11-01,1,10221.73086,10277.59315,10221.73086,0,0,0,55.86228856,1328
5,2023-10-25,1,10186.98829,10221.73086,10186.98829,0,0,0,34.74257657,1315
5,2023-10-06,1,10000,10019.41332,10000,0,0,0,19.41331823,1297
5,2024-01-15,1,10387.37069,10405.40198,10387.37069,0,0,0,18.03128945,1392
5,2024-01-05,2,10203.04151,10387.37069,10203.04151,0,0,0,184.3291774,"1395,1396"
5,2023-12-20,1,10168.27571,10230.18613,10168.27571,0,0,0,61.91042488,1367
5,2023-12-21,1,10230.18613,10307.81139,10230.18613,0,0,0,77.62525979,1366
5,2024-02-21,1,10499.22611,10568.80568,10499.22611,0,0,0,69.57957185,1433
5,2024-03-20,1,10513.53987,10627.46712,10513.53987,0,0,0,113.9272557,1457
5,2024-01-24,1,10455.58981,10499.76172,10455.58981,0,0,0,44.17190816,1391
5,2024-01-22,1,10405.40198,10455.58981,10405.40198,0,0,0,50.18783667,1408
5,2024-04-05,1,10752.32113,10864.51247,10752.32113,0,0,0,112.191338,1475
5,2024-04-04,1,10627.46712,10752.32113,10627.46712,0,0,0,124.854009,1476
5,2024-04-29,1,10864.51247,10915.66826,10864.51247,0,0,0,51.1557894,1494
5,2024-04-30,2,10915.66826,11079.01195,10915.66826,0,0,0,163.3436857,"1493,1495"
5,2024-05-23,1,11121.90365,11153.2783,11121.90365,0,0,0,31.37464424,1525
5,2024-05-22,1,11079.01195,11121.90365,11079.01195,0,0,0,42.89170465,1522
5,2024-06-06,1,11096.40163,11125.73799,11096.40163,0,0,0,29.33635884,1533
5,2024-06-18,1,11125.73799,11145.52854,11125.73799,0,0,0,19.79054893,1547
6,2024-08-06,2,10110.64204,10110.64204,10008.96093,1.00568397,1.00568397,1.00568397,-101.6811063,"1623,1618"
6,2024-10-29,1,10619.54518,10619.54518,10564.94574,0.514141077,0.514141077,0.514141077,-54.59944396,1686
6,2025-03-20,1,11982.62423,11982.62423,11921.39402,0.510991698,0.510991698,0.510991698,-61.23021502,1856
6,2024-08-20,1,10240.47428,10240.47428,10188.45814,0.507946542,0.507946542,0.507946542,-52.01613497,1629
6,2024-11-20,1,10564.94574,10564.94574,10511.45114,0.506340448,0.506340448,0.506340448,-53.49459357,1710
6,2024-08-05,1,10073.13007,10110.64204,10073.13007,0,0,0,37.51197286,1608
6,2024-08-15,1,10061.657,10093.13029,10061.657,0,0,0,31.47328177,1613
6,2024-08-19,4,10093.13029,10240.47428,10093.13029,0,0,0,147.3439898,"1615,1617,1624,1619"
6,2024-08-22,1,10188.45814,10258.81502,10188.45814,0,0,0,70.35688307,1611
6,2024-09-03,1,10258.81502,10321.89504,10258.81502,0,0,0,63.08001637,1612
6,2024-09-04,3,10321.89504,10465.82994,10321.89504,0,0,0,143.9349042,"1631,1632,1634"
6,2024-08-08,2,10008.96093,10041.95277,10008.96093,0,0,0,32.99183562,"1622,1614"
6,2024-08-14,1,10041.95277,10061.657,10041.95277,0,0,0,19.704235,1626
6,2024-07-29,1,10000,10073.13007,10000,0,0,0,73.1300666,1596
6,2024-10-09,1,10555.85647,10619.54518,10555.85647,0,0,0,63.68870987,1655
6,2024-09-20,1,10528.39056,10555.85647,10528.39056,0,0,0,27.46591002,1642
6,2024-09-05,1,10465.82994,10528.39056,10465.82994,0,0,0,62.56061504,1633
6,2024-11-26,2,10511.45114,10610.11513,10511.45114,0,0,0,98.66398881,"1707,1725"
6,2024-12-09,1,10720.5849,10835.74111,10720.5849,0,0,0,115.1562114,1742
6,2025-01-15,2,10835.74111,10901.07451,10835.74111,0,0,0,65.33339666,"1780,1794"
6,2025-01-21,1,10901.07451,10938.95227,10901.07451,0,0,0,37.87776116,1798
6,2024-12-02,3,10610.11513,10720.5849,10610.11513,0,0,0,110.4697701,"1722,1731,1726"
6,2025-01-27,1,10938.95227,11005.11113,10938.95227,0,0,0,66.1588646,1800
6,2025-02-07,1,11005.11113,11031.42285,11005.11113,0,0,0,26.31171648,1810
6,2025-02-17,1,11259.96961,11312.2727,11259.96961,0,0,0,52.30308853,1819
6,2025-02-13,3,11031.42285,11259.96961,11031.42285,0,0,0,228.5467621,"1820,1821,1818"
6,2025-02-18,1,11312.2727,11373.26977,11312.2727,0,0,0,60.99706887,1826
6,2025-02-26,1,11373.26977,11460.47224,11373.26977,0,0,0,87.20247335,1829
6,2025-03-06,1,11460.47224,11811.70639,11460.47224,0,0,0,351.2341438,1836
6,2025-03-19,2,11811.70639,11982.62423,11811.70639,0,0,0,170.9178428,"1850,1852"
7,2025-09-02,2,10527.32769,10566.08727,10511.49464,0.516677846,0.1503995568,0.516677846,-15.83305419,"2025,2026"
7,2025-09-08,2,10544.76125,10544.76125,10490.61501,0.5134895615,0.5134895615,0.5134895615,-0.7962979409,"2022,2033"
7,2025-11-20,1,11896.93798,11896.93798,11835.88321,0.5131973865,0.5131973865,0.5131973865,-61.05477481,2120
7,2025-06-25,1,10233.3015,10233.3015,10180.94593,0.5116195855,0.5116195855,0.5116195855,-52.35557474,1945
7,2025-08-14,1,10376.80011,10376.80011,10324.02629,0.508575063,0.508575063,0.508575063,-52.77381768,1995
7,2025-05-01,1,10084.61975,10084.61975,10033.38426,0.508055756,0.508055756,0.508055756,-51.23549113,1896
7,2025-10-17,4,11154.26624,11270.1141,11097.93434,0.5050255705,0.5050255705,0.5050255705,115.8478637,"2073,2070,2071,2072"
7,2025-05-30,1,10193.2432,10233.3015,10193.2432,0,0,0,40.0583021,1913
7,2025-05-12,1,10178.86682,10193.2432,10178.86682,0,0,0,14.37638646,1903
7,2025-05-09,1,10103.62549,10178.86682,10103.62549,0,0,0,75.24132424,1875
7,2025-05-02,1,10033.38426,10103.62549,10033.38426,0,0,0,70.24122972,1883
7,2025-04-30,1,10028.81312,10084.61975,10028.81312,0,0,0,55.80663175,1887
7,2025-04-29,1,10000,10028.81312,10000,0,0,0,28.81312163,1884
7,2025-07-16,1,10290.18134,10298.11658,10290.18134,0,0,0,7.935239571,1972
7,2025-08-05,2,10298.11658,10354.05698,10298.11658,0,0,0,55.94040484,"1992,1991"
7,2025-08-18,1,10324.02629,10438.17456,10324.02629,0,0,0,114.1482687,1996
7,2025-08-11,1,10354.05698,10376.80011,10354.05698,0,0,0,22.74312493,2000
7,2025-08-27,1,10467.43615,10504.95605,10467.43615,0,0,0,37.51990117,2013
7,2025-08-22,1,10438.17456,10467.43615,10438.17456,0,0,0,29.26158891,2011
7,2025-09-01,1,10504.95605,10527.32769,10504.95605,0,0,0,22.37164147,2018
