trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
530,NZD_JPY,2021-11-30 00:00:00,2021-11-30 04:00:00,2021-11-30 04:00:00,stoploss,1,0,-1.006635544,0.03583193715,-1.15591175,1,1,2
532,USD_JPY,2021-12-01 00:00:00,2021-12-01 04:00:00,2022-01-07 20:00:00,trail_stop,167,1,2.207501988,3.0545917,-0.9933024354,0.6,0.6,2
533,CHF_JPY,2021-12-03 08:00:00,2021-12-03 12:00:00,2021-12-06 16:00:00,stoploss,8,0,-1.015844683,0.6136213517,-1.018380976,2.2,2.2,2
537,AUD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,1.11306716,2.017803191,-0.09182138116,0.8,0.9,2
538,NZD_JPY,2021-12-06 16:00:00,2021-12-06 20:00:00,2021-12-09 12:00:00,trail_stop,17,1,0.4247427385,1.304072214,-0.239798403,1,1,2
539,AUD_USD,2021-12-07 00:00:00,2021-12-07 04:00:00,2021-12-09 12:00:00,trail_stop,15,1,1.555809979,2.484336424,-0.214231734,1,1,2
540,NZD_USD,2021-12-08 04:00:00,2021-12-08 08:00:00,2021-12-14 00:00:00,stoploss,23,0,-1.011043104,0.6174099221,-1.025000862,1.1,1.1,2
541,GBP_CAD,2021-12-09 04:00:00,2021-12-09 08:00:00,2021-12-16 08:00:00,trail_stop,31,1,2.419632969,3.374094742,-0.265324812,2.8,2.8,2
543,EUR_CAD,2021-12-10 04:00:00,2021-12-10 08:00:00,2021-12-16 12:00:00,trail_stop,26,1,1.190543417,2.200838325,-0.7036938201,1.8,3.7,2
544,NZD_CHF,2021-12-13 00:00:00,2021-12-13 04:00:00,2021-12-14 04:00:00,stoploss,7,0,-1.018251679,0.1599705987,-1.018873142,1.7,1.7,2
546,CHF_JPY,2021-12-14 08:00:00,2021-12-14 12:00:00,2021-12-15 16:00:00,stoploss,8,0,-1.018980862,0.2640065381,-1.002534632,2.2,2.2,2
559,GBP_USD,2021-12-23 08:00:00,2021-12-23 12:00:00,2021-12-30 08:00:00,trail_stop,30,1,0.7907910616,1.566341868,-0.3739708959,0.9,0.9,2
560,NZD_CAD,2021-12-28 08:00:00,2021-12-28 12:00:00,2021-12-31 16:00:00,stoploss,20,0,-1.025085572,0.9761559501,-1.737448524,2.3,2.3,2
563,AUD_CAD,2022-01-03 08:00:00,2022-01-03 12:00:00,2022-01-06 08:00:00,stoploss,18,0,-1.01959837,0.7932182228,-1.148051862,1.9,1.9,2
566,NZD_CAD,2022-01-04 08:00:00,2022-01-04 12:00:00,2022-01-06 12:00:00,stoploss,13,0,-1.022916186,0.4951888973,-1.116914998,2.3,2.3,2
568,USD_CHF,2022-01-06 08:00:00,2022-01-06 12:00:00,2022-01-07 16:00:00,trail_stop,8,1,0.1739077701,1.046865645,-0.4286288535,0.9,0.9,2
574,AUD_NZD,2022-01-20 00:00:00,2022-01-20 04:00:00,2022-01-24 16:00:00,stoploss,16,0,-1.022873954,0.6611661832,-1.053291102,2.1,2.1,2
576,CAD_CHF,2022-01-20 16:00:00,2022-01-20 20:00:00,2022-01-21 00:00:00,stoploss,2,0,-1.018329451,0.1454136441,-1.154755409,1.5,1.5,2
577,EUR_GBP,2022-01-21 00:00:00,2022-01-21 04:00:00,2022-01-24 20:00:00,trail_stop,11,1,2.564958936,3.455721523,-0.05278597032,0.8,0.8,2
584,AUD_NZD,2022-01-27 04:00:00,2022-01-27 08:00:00,2022-01-28 00:00:00,stoploss,5,0,-1.02115641,0.2367502972,-1.127334394,2.1,2.1,2
588,NZD_CAD,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-03 00:00:00,trail_stop,11,1,0.4055023803,1.383535151,-0.3732374945,2.3,2.3,2
589,NZD_JPY,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-04 12:00:00,trail_stop,20,1,0.7293121085,1.628060619,-0.330189001,1,1,2
590,AUD_CAD,2022-02-01 12:00:00,2022-02-01 16:00:00,2022-02-04 12:00:00,trail_stop,18,1,-0.01577102957,1.040057897,-0.336171946,1.9,1.9,2
592,AUD_JPY,2022-02-01 16:00:00,2022-02-01 20:00:00,2022-02-10 20:00:00,trail_stop,43,1,2.130574981,3.261965794,-0.3612469323,0.8,0.8,2
593,EUR_JPY,2022-02-02 00:00:00,2022-02-02 04:00:00,2022-02-07 08:00:00,trail_stop,20,1,3.361047627,4.303051358,-0.4660735728,1.4,1.4,2
595,CAD_CHF,2022-02-03 08:00:00,2022-02-03 12:00:00,2022-02-11 00:00:00,trail_stop,34,1,0.2796105713,1.436692284,-0.7427256875,1.5,1.5,2
599,USD_JPY,2022-02-07 00:00:00,2022-02-07 04:00:00,2022-02-10 16:00:00,trail_stop,22,1,1.033695365,2.139201469,-0.7911552021,0.6,0.6,2
601,NZD_CHF,2022-02-07 20:00:00,2022-02-08 00:00:00,2022-02-11 00:00:00,trail_stop,19,1,0.9385730652,2.234804554,-0.2177626647,1.7,1.7,2
603,EUR_NZD,2022-02-10 00:00:00,2022-02-10 04:00:00,2022-02-17 00:00:00,stoploss,30,0,-1.020504413,0.6270033698,-1.314440799,3.8,3.8,2
604,EUR_AUD,2022-02-14 00:00:00,2022-02-14 04:00:00,2022-02-16 20:00:00,stoploss,17,0,-1.010956305,0.2519950246,-1.195150316,2.4,2.4,2
605,GBP_JPY,2022-02-14 16:00:00,2022-02-14 20:00:00,2022-02-24 04:00:00,stoploss,45,0,-1.008676729,0.7106240854,-1.742287135,2,2,2
606,GBP_AUD,2022-02-15 04:00:00,2022-02-15 08:00:00,2022-02-15 20:00:00,stoploss,4,0,-1.016153292,0.01776862146,-1.037041361,4,4,2
608,GBP_CAD,2022-02-15 16:00:00,2022-02-15 20:00:00,2022-02-16 12:00:00,stoploss,5,0,-1.017454804,0.07355953309,-1.152017095,2.8,2.8,2
609,NZD_USD,2022-02-15 16:00:00,2022-02-15 20:00:00,2022-02-22 00:00:00,trail_stop,26,1,0.8061004793,1.728714274,-0.06612568262,1.1,1.1,2
611,GBP_CHF,2022-02-18 08:00:00,2022-02-18 12:00:00,2022-02-21 12:00:00,stoploss,7,0,-1.015744835,0.1847946447,-1.278646353,1.9,1.9,2
612,EUR_CAD,2022-02-21 00:00:00,2022-02-21 04:00:00,2022-02-23 12:00:00,stoploss,15,0,-1.013665606,0.5618082426,-1.147910896,1.8,1.8,2
613,GBP_USD,2022-02-21 00:00:00,2022-02-21 04:00:00,2022-02-22 12:00:00,stoploss,9,0,-1.006357378,0.3949520809,-1.110157056,0.9,0.8,2
616,CAD_JPY,2022-02-23 04:00:00,2022-02-23 08:00:00,2022-02-24 04:00:00,stoploss,6,0,-1.01010047,0.834972146,-1.240674338,1.2,1.2,2
620,AUD_NZD,2022-02-28 00:00:00,2022-02-28 04:00:00,2022-03-08 08:00:00,stoploss,38,0,-1.020968766,0.9935201085,-1.564669357,2.1,2.1,2
621,AUD_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-07 12:00:00,trail_stop,31,1,2.555786385,3.528714304,-0.01906620364,1,1,2
623,EUR_JPY,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-01 16:00:00,stoploss,8,0,-1.003857961,0.4776156071,-1.377292179,1,1,2
624,EUR_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-02 08:00:00,stoploss,12,0,-1.003639467,0.7086563002,-1.24209824,0.7,0.7,2
625,GBP_JPY,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-01 16:00:00,stoploss,8,0,-1.008736457,0.3756676648,-1.517522637,2,2,2
626,GBP_USD,2022-02-28 08:00:00,2022-02-28 12:00:00,2022-03-02 08:00:00,stoploss,12,0,-1.004812359,0.6539461322,-1.120210259,0.9,0.9,2
627,GBP_CAD,2022-03-01 04:00:00,2022-03-01 08:00:00,2022-03-01 16:00:00,stoploss,3,0,-1.014755006,0.01370107704,-1.16248369,2.8,2.8,2
630,EUR_CAD,2022-03-04 08:00:00,2022-03-04 12:00:00,2022-03-04 12:00:00,stoploss,1,0,-1.010340936,0.01838388544,-1.183462625,1.8,1.8,2
632,USD_JPY,2022-03-07 00:00:00,2022-03-07 04:00:00,2022-03-15 08:00:00,trail_stop,38,1,5.790269205,6.769216785,-0.08203954954,0.6,0.6,2
633,EUR_USD,2022-03-08 16:00:00,2022-03-08 20:00:00,2022-03-10 16:00:00,trail_stop,12,1,0.5765609753,1.589118757,-0.467805997,0.3,0.3,2
634,CHF_JPY,2022-03-09 00:00:00,2022-03-09 04:00:00,2022-03-15 08:00:00,trail_stop,26,1,1.348821579,2.266573639,-0.1779964609,2.2,2.2,2
637,EUR_JPY,2022-03-09 08:00:00,2022-03-09 12:00:00,2022-03-23 12:00:00,trail_stop,61,1,3.918884293,4.891520905,-0.188052284,1,1,2
640,GBP_CAD,2022-03-09 16:00:00,2022-03-09 20:00:00,2022-03-10 16:00:00,stoploss,6,0,-1.013800867,0.1636388485,-1.682719967,2.8,2.8,2
642,AUD_NZD,2022-03-10 04:00:00,2022-03-10 08:00:00,2022-03-14 12:00:00,stoploss,14,0,-1.022302415,0.347280457,-1.334958821,2.1,2.1,2
644,EUR_CAD,2022-03-14 16:00:00,2022-03-14 20:00:00,2022-03-18 12:00:00,stoploss,23,0,-1.006728584,0.7625728574,-1.237311842,1.8,1.8,2
