trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold,classifier_prob
563,AUD_CAD,2022-01-03 08:00:00,2022-01-03 12:00:00,2022-01-06 08:00:00,stoploss,18,0,-1.01959837,0.7932182228,-1.148051862,1.9,1.9,2,0.06783908412
565,EUR_USD,2022-01-04 00:00:00,2022-01-04 04:00:00,2022-01-10 12:00:00,trail_stop,27,1,0.1905623578,1.050628166,-0.6303768994,0.7,0.7,2,0.2696007645
569,NZD_CHF,2022-01-07 04:00:00,2022-01-07 08:00:00,2022-01-13 00:00:00,trail_stop,23,1,0.5479610018,1.418788466,-0.3425520878,1.7,1.7,2,0.7635507468
572,USD_CHF,2022-01-17 00:00:00,2022-01-17 04:00:00,2022-01-21 16:00:00,stoploss,28,0,-1.010168991,0.5751129422,-1.083562498,0.9,0.9,2,0.0536300546
575,GBP_NZD,2022-01-20 00:00:00,2022-01-20 04:00:00,2022-01-21 16:00:00,trail_stop,10,1,0.118176967,1.129736656,-0.6227132591,4.8,4.8,2,0.09169189455
583,EUR_CHF,2022-01-26 16:00:00,2022-01-26 20:00:00,2022-02-01 04:00:00,trail_stop,21,1,0.1235885245,1.078857959,-0.8879096478,1,1,2,0.1297035529
586,EUR_USD,2022-01-31 00:00:00,2022-01-31 04:00:00,2022-02-03 12:00:00,trail_stop,21,1,2.270826961,4.093339152,-0.236249229,0.7,0.7,2,0.8845890217
588,NZD_CAD,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-03 00:00:00,trail_stop,11,1,0.4055023803,1.383535151,-0.3732374945,2.3,2.3,2,0.9933841421
589,NZD_JPY,2022-02-01 04:00:00,2022-02-01 08:00:00,2022-02-04 12:00:00,trail_stop,20,1,0.7293121085,1.628060619,-0.330189001,1,1,2,0.6762609712
590,AUD_CAD,2022-02-01 12:00:00,2022-02-01 16:00:00,2022-02-04 12:00:00,trail_stop,18,1,-0.01577102957,1.040057897,-0.336171946,1.9,1.9,2,0.4222154795
592,AUD_JPY,2022-02-01 16:00:00,2022-02-01 20:00:00,2022-02-10 20:00:00,trail_stop,43,1,2.130574981,3.261965794,-0.3612469323,0.8,0.8,2,0.5088215444
593,EUR_JPY,2022-02-02 00:00:00,2022-02-02 04:00:00,2022-02-07 08:00:00,trail_stop,20,1,3.361047627,4.303051358,-0.4660735728,1.4,1.4,2,0.2985729569
595,CAD_CHF,2022-02-03 08:00:00,2022-02-03 12:00:00,2022-02-11 00:00:00,trail_stop,34,1,0.2796105713,1.436692284,-0.7427256875,1.5,1.5,2,0.09297412033
599,USD_JPY,2022-02-07 00:00:00,2022-02-07 04:00:00,2022-02-10 16:00:00,trail_stop,22,1,1.033695365,2.139201469,-0.7911552021,0.6,0.6,2,0.2831835323
