trade_id,fold,prob
1425,5,0.05572493309
1429,5,0.2352501192
1431,5,0.2817730043
1433,5,0.929714015
1434,5,0.2793308341
1435,5,0.06470017824
1438,5,0.3212636102
1441,5,0.117844976
1443,5,0.07911101407
1446,5,0.157826493
1453,5,0.5640787566
1455,5,0.1394005187
1457,5,0.9665046605
1459,5,0.0637964948
1461,5,0.05672462203
1462,5,0.1442130586
1468,5,0.3706775776
1473,5,0.06037287794
1475,5,0.9651615495
1476,5,0.9768740237
1481,5,0.3069666278
1487,5,0.06050669454
1488,5,0.08953539567
1493,5,0.9033428112
1494,5,0.44688293
1495,5,0.6535394931
1496,5,0.0905919464
1497,5,0.1094300314
1505,5,0.2407872484
1508,5,0.06480736831
1518,5,0.141543261
1522,5,0.8255737484
1523,5,0.06503262748
1525,5,0.5265279183
1529,5,0.1033039607
1530,5,0.5313807251
1533,5,0.5021054634
1535,5,0.1200770234
1536,5,0.1244313397
1546,5,0.1376031244
1547,5,0.9210681863
1551,5,0.2920060201
1552,5,0.1465376467
1553,5,0.1008129333
1554,5,0.7988351735
1555,5,0.06121077568
1557,5,0.288773006
1558,5,0.8288671802
1559,5,0.3515146076
1573,6,0.1363275123
1575,6,0.2238048752
1577,6,0.1142594507
1587,6,0.05002102054
1596,6,0.4677352597
1607,6,0.1304882319
1608,6,0.4011394331
1611,6,0.8780419899
1612,6,0.7274093699
1613,6,0.423852005
1614,6,0.8974218784
1615,6,0.9225208673
1616,6,0.2259016082
1617,6,0.6472180969
1618,6,0.9876147586
1619,6,0.8996576913
1620,6,0.1129114681
1621,6,0.3048279119
1622,6,0.8299395385
1623,6,0.8311917707
1624,6,0.86333282
1625,6,0.2746577629
1626,6,0.8680437074
1629,6,0.5379593798
1631,6,0.9532890374
1632,6,0.6964513717
1633,6,0.776144261
1634,6,0.482908456
1636,6,0.08816313043
1639,6,0.2984698203
1640,6,0.2898591974
1642,6,0.8413759488
1646,6,0.08029109144
1655,6,0.8558945396
1656,6,0.3274919888
1659,6,0.3108239313
1660,6,0.1334352661
1663,6,0.1261213432
1672,6,0.07522423497
1673,6,0.06055375627
1674,6,0.05350102567
1680,6,0.2201826603
1682,6,0.1768000461
1686,6,0.6690485072
1692,6,0.1751999297
1694,6,0.1749978532
1702,6,0.06115606705
1707,6,0.8105360033
1710,6,0.4664952313
1713,6,0.1076617542
1717,6,0.05152715953
1718,6,0.08647919725
1720,6,0.2062064329
1721,6,0.3175111197
1722,6,0.4793150458
1723,6,0.3853101864
1725,6,0.6969091417
1726,6,0.4499099795
1731,6,0.9736521663
1732,6,0.3099858248
1742,6,0.7217156472
1749,6,0.3844566097
1750,6,0.2019192251
1751,6,0.1466410812
1752,6,0.1053701803
1753,6,0.1442287947
1754,6,0.07455984901
1756,6,0.2224113749
1758,6,0.1215861284
1764,6,0.05318153855
1766,6,0.05415793654
1771,6,0.1554711223
1772,6,0.1996987157
1775,6,0.1952908551
1780,6,0.5521405109
1785,6,0.2300714905
1794,6,0.4696754502
1796,6,0.0939229971
1797,6,0.08981294772
1798,6,0.9842514306
1800,6,0.5591368483
1806,6,0.2189340378
1810,6,0.4652628122
1818,6,0.626796722
1819,6,0.963007493
1820,6,0.9265952308
1821,6,0.9493242549
1823,6,0.06267037374
1824,6,0.1464936647
1826,6,0.7814659097
1827,6,0.1406691067
1829,6,0.9527046349
1836,6,0.4118090189
1837,6,0.3294479986
1840,6,0.1335251868
1841,6,0.3072468926
1845,6,0.2086130055
1846,6,0.2169105794
1850,6,0.5818996089
1851,6,0.1767850862
1852,6,0.823687906
1853,6,0.378739077
1856,6,0.4603829151
1870,7,0.2177464737
1871,7,0.05293417432
1874,7,0.1094796689
1875,7,0.8236703945
1876,7,0.05579614217
1877,7,0.3362306511
1878,7,0.232873458
1879,7,0.2608155605
1882,7,0.1726702226
1883,7,0.8464536633
1884,7,0.727466931
1887,7,0.5702090046
1890,7,0.1650840991
1896,7,0.4393145711
1903,7,0.6879691494
1909,7,0.2805954506
1911,7,0.07764757201
1913,7,0.6851748273
1915,7,0.103817743
1918,7,0.09591636905
1919,7,0.1875295662
1920,7,0.07261108735
1921,7,0.1254590074
1922,7,0.08484891673
1923,7,0.3132915379
1924,7,0.2596064944
1925,7,0.2859998709
1927,7,0.07499745911
1935,7,0.08559103201
1936,7,0.05064241894
1940,7,0.06259269044
1944,7,0.09486120828
1945,7,0.5133385557
1950,7,0.153605451
1955,7,0.09549726581
1958,7,0.6840288873
1960,7,0.06162316397
1962,7,0.06866103784
1964,7,0.7821527172
1965,7,0.3883261867
1967,7,0.2660244553
1968,7,0.3223805232
1969,7,0.2147421332
1972,7,0.7537909961
1977,7,0.1010644243
1980,7,0.2868546171
1984,7,0.05091333753
1986,7,0.06617529479
1990,7,0.1469356302
1991,7,0.7414417758
1992,7,0.8139970397
1993,7,0.1935492368
1994,7,0.3926755739
1995,7,0.499229276
1996,7,0.7144422212
1997,7,0.061722846
1999,7,0.374341351
2000,7,0.5131186277
2002,7,0.2782478506
2003,7,0.1027060677
2005,7,0.3415757262
2011,7,0.953970733
2013,7,0.5539595576
2014,7,0.08408592776
2018,7,0.4589103099
2019,7,0.3059698855
2022,7,0.6190657004
2023,7,0.9055914923
2024,7,0.3319791247
2025,7,0.6788372609
2026,7,0.6470496553
2027,7,0.06359185584
2031,7,0.2332303639
2033,7,0.9595594099
2037,7,0.7930611716
2040,7,0.198275509
2042,7,0.9453341613
2044,7,0.8277514096
2045,7,0.2044581793
2048,7,0.2230361441
2050,7,0.4016125334
2052,7,0.9942932916
2053,7,0.8329708888
2056,7,0.06753962694
2057,7,0.06602333926
2060,7,0.07375952808
2061,7,0.1607652233
2062,7,0.8688952578
2063,7,0.05059524184
2066,7,0.3127531022
2070,7,0.9140095001
2071,7,0.5520144089
2072,7,0.9846644674
2073,7,0.7889411156
2076,7,0.1039866312
2077,7,0.4075829473
2078,7,0.1652564682
2081,7,0.5499831494
2082,7,0.208159794
2083,7,0.0634558923
2086,7,0.3416561262
2087,7,0.2557618553
2089,7,0.09781447479
2092,7,0.06637162862
2093,7,0.1890033781
2095,7,0.5116973196
2096,7,0.3151592043
2098,7,0.1215260232
