trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,time_to_peak_mfe,calendar_year,num_higher_highs,num_higher_lows,most_recent_sh_price,most_recent_sh_age,most_recent_sl_price,most_recent_sl_age,hh_range_atr,hl_range_atr,pullback_depth_atr,trigger_body_atr,trigger_close_pos,trigger_break_size_atr
326,USD_CHF,2022-01-11 12:00:00,2022-01-11 16:00:00,0.927215,0.9231093504,2022-01-12 00:00:00,0.9230643504,stoploss,-1.010960507,3,1.718363884,-4.407341527,0.9,0.9,0,2022,3,4,0.9275,4,0.91794,9,2.489252855,2.094674614,0.6201937909,0.4773909585,0.9530201342,0.2581808245
327,AUD_CHF,2022-01-13 08:00:00,2022-01-13 12:00:00,0.66713,0.6633110059,2022-01-13 16:00:00,0.6632410059,stoploss,-1.018329434,2,5.043212852,-4.922762286,1.4,1.4,0,2022,3,5,0.66778,4,0.66429,4,3.435459638,4.152926056,0.9145691155,0.4975132097,0.6,0.07855471733
328,AUD_USD,2022-01-14 04:00:00,2022-01-14 08:00:00,0.72872,0.7239239196,2022-01-14 12:00:00,0.7238739196,stoploss,-1.01042518,2,3.215125451,-6.663774929,1,1,0,2022,2,3,0.73142,5,0.71549,15,4.662140407,1.059198268,1.931151805,0.788143593,0.9559471366,0.1417824453
329,GBP_USD,2022-01-14 04:00:00,2022-01-14 08:00:00,1.373315,1.36743502,2022-01-14 16:00:00,1.36739002,stoploss,-1.007653087,3,0.170918953,-11.59952954,0.9,0.9,0,2022,2,3,1.37489,4,1.36206,10,4.942193806,3.010214397,1.240990273,0.7006826731,0.8199233716,0.4829948523
330,CHF_JPY,2022-01-17 08:00:00,2022-01-17 12:00:00,125.338,124.7232805,2022-01-19 04:00:00,124.7122805,stoploss,-1.017894342,11,1.867518563,-3.004622635,2.2,2.2,5,2022,2,2,125.656,10,124.521,5,0.1106195664,1.379491064,1.455648119,0.3871684825,0.6591639871,0.3578868326
331,NZD_USD,2022-01-17 08:00:00,2022-01-17 12:00:00,0.680885,0.676097123,2022-01-18 16:00:00,0.676042123,stoploss,-1.011487346,8,2.440538882,-5.840793311,1.1,1.1,0,2022,2,2,0.68902,10,0.67399,22,4.477976349,0.17962032,3.836593653,0.4469621915,0.5669642857,0.07936711812
332,EUR_AUD,2022-01-19 20:00:00,2022-01-20 00:00:00,1.57244,1.563894952,2022-01-20 12:00:00,1.563774952,stoploss,-1.014043222,4,5.861874723,-13.59383845,2.4,2.4,0,2022,2,2,1.58719,10,1.57936,13,0.3861885923,2.61672028,4.293616792,0.8519554399,0.8183760684,0.01872429538
333,EUR_NZD,2022-01-19 20:00:00,2022-01-20 00:00:00,1.67179,1.66283196,2022-02-28 12:00:00,1.66264196,stoploss,-1.021209998,166,7.143303918,-12.02718494,3.8,3.8,70,2022,2,2,1.68417,9,1.6699,11,0.9176114738,1.201155652,3.350847128,0.6206715078,0.8693877551,0.02232631323
334,USD_CHF,2022-01-20 16:00:00,2022-01-20 20:00:00,0.916895,0.9129760666,2022-01-21 08:00:00,0.9129310666,stoploss,-1.011482716,4,7.498213746,-1.565476989,0.9,0.9,0,2022,2,3,0.91792,11,0.91262,16,1.05130647,1.786200314,1.616932879,1.025789323,0.9927272727,0.3470332039
335,AUD_NZD,2022-01-21 08:00:00,2022-01-21 12:00:00,1.070555,1.06613399,2022-01-24 12:00:00,1.06602899,stoploss,-1.023750228,7,2.059484056,-2.116032218,2.1,2.1,0,2022,2,3,1.07038,7,1.05839,12,3.623606213,0.4478614421,0.9153924543,0.9228660019,0.8047138047,0.2261926475
