trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
549,2,-1,0.5352108491,1.070421698,0,0,0.75,1,10,4
552,2,-1,0.5847297725,1.169459545,0,0,0.6,1,24,13
560,2,-1,0.3650005382,0.7300010764,0,0,0.6666666667,1,11,5
562,2,-1,2.051544266,4.103088532,1,0,0.8,1,39,10
563,2,-1,1.665165358,3.330330716,1,0,0.5714285714,1,68,26
564,2,-1,0.8348010659,1.669602132,0,0,0.625,1,39,13
566,2,-1,0.9722484064,1.944496813,0,0,0.6842105263,1,23,19
567,2,-1,1.40258521,2.80517042,1,0,0.7333333333,1,25,16
568,2,-1,0.5705505518,1.141101104,0,0,0.8,1,12,8
570,2,-1,0.6381679573,1.276335915,0,0,1,1,10,2
573,2,-1,0.3933116907,0.7866233814,0,0,1,1,2,1
578,2,-1,1.356597409,2.713194818,1,0,0.5,1,128,18
581,2,-1,0.8944837935,1.788967587,0,0,0.6666666667,1,10,6
583,2,-1,0.4065551284,0.8131102568,0,0,0.625,1,24,8
586,2,-1,0.5015435824,1.003087165,0,0,0.7142857143,1,20,11
588,2,-1,0.122293591,0.244587182,0,0,0.6666666667,1,12,4
591,2,-1,3.135199436,6.270398872,1,0,0.652173913,1,66,23
592,2,-1,2.754844001,5.509688002,1,0,0.5652173913,1,50,26
593,2,-1,0.2181496659,0.4362993318,0,0,1,1,3,2
595,2,-1,1.002005334,2.004010668,1,0,0.75,1,18,12
597,2,-1,1.276809658,2.553619316,1,0,1,1,45,5
598,2,-1,1.508660865,3.01732173,1,0,0.5454545455,1,47,19
602,2,-1,0.645949822,1.291899644,0,0,0.6923076923,1,31,15
604,2,-1,0.2714118922,0.5428237844,0,0,0.75,1,8,5
605,2,-1,0.4127896614,0.8255793228,0,0,0.75,1,9,7
607,2,-1,1.042712975,2.08542595,1,0,1,1,12,4
610,2,-1,0.8880456874,1.776091375,0,0,0.5555555556,1,51,9
611,2,-1,2.630724467,5.261448934,1,0,0.8181818182,1,38,11
612,2,-1,1.103209118,2.206418236,1,0,0.7777777778,1,13,9
615,2,-1,0.4222937438,0.8445874876,0,0,0.6666666667,1,10,8
618,2,-1,1.166082662,2.332165324,1,0,0.625,1,18,8
622,2,-1,0.5017194314,1.003438863,0,0,1,1,11,1
625,2,-1,0.4448975577,0.8897951154,0,0,1,1,10,4
627,2,0.008017527023,4.87465643,9.74931286,1,0,0.5744680851,0,240,47
628,2,-1,0.7151616514,1.430323303,0,0,1,1,26,2
641,2,-1,0.3533287486,0.7066574972,0,0,1,1,8,1
642,2,-1,0.7180539024,1.436107805,0,0,0.5714285714,1,14,7
644,2,-1,0.9235872642,1.847174528,0,0,0.8,1,31,11
646,2,-1,0.6714672406,1.342934481,0,0,0.7,1,20,10
649,2,-1,1.787186883,3.574373766,1,0,0.6818181818,1,57,26
650,2,-1,1.214020472,2.428040944,1,0,0.8571428571,1,81,7
