feature,importance,importance_std,fold,classifier,cluster_id
range_close_ratio,-0.0008692687915458963,0.00021827592423497388,2,lgbm,0
session_dead,0.00018748934719625687,3.408897221746088e-05,2,lgbm,0
session_ldn_ny_overlap,0.0,0.0,2,lgbm,0
session_london,0.0,0.0,2,lgbm,0
session_ny,-6.817794443494395e-05,6.377462735253268e-05,2,lgbm,0
session_tokyo,0.0,0.0,2,lgbm,0
spread_percentile_100,0.0002045338333049873,0.0001156013291823028,2,lgbm,0
spread_vs_trailing_100,0.0005965570138060982,0.0005308475030644937,2,lgbm,0
swing_high_distance_14,-0.00027271177773986467,0.00014662221351699733,2,lgbm,0
swing_low_distance_14,-0.001193114027612019,0.00015245051832282506,2,lgbm,0
w1_close_slope_sign,-0.0004602011249360327,0.00019877115714490748,2,lgbm,0
atr_14,0.00018748934719623467,0.0002374022205076695,3,lgbm,0
atr_percentile_100,-0.0002045338333048763,0.00020594930924824014,3,lgbm,0
atr_vs_trailing_100,0.000647690472132334,0.00013847005973471134,3,lgbm,0
d1_atr_percentile_100,-0.0009885801943070982,0.0003029894125555193,3,lgbm,0
d1_close_slope_magnitude,0.0014146923470258256,0.0007203186162984569,3,lgbm,0
d1_close_slope_sign,3.408897221750529e-05,4.175029389439997e-05,3,lgbm,0
day_of_week,-0.0006817794443497061,0.00022223290967113602,3,lgbm,0
distance_to_round_number,5.113345832628013e-05,8.691016726765604e-05,3,lgbm,0
hour_of_day,-0.0002897562638485951,8.69101672676604e-05,3,lgbm,0
kijun_26_distance,-5.113345832619132e-05,0.00011560132918227006,3,lgbm,0
prior_session_high_distance,-0.0006647349582409534,0.00026624338421365074,3,lgbm,0
prior_session_low_distance,6.817794443503278e-05,0.00028213644720038924,3,lgbm,0
range_close_ratio,-0.0005454235554797737,0.0001987711571448637,3,lgbm,0
session_dead,0.0,0.0,3,lgbm,0
session_ldn_ny_overlap,0.0,0.0,3,lgbm,0
