feature,importance,importance_std,fold,classifier,cluster_id
session_london,1.9696671262492415e-05,0.00011899789219611417,1,lr,0
session_ny,4.9241678156319856e-05,5.394155579131644e-05,1,lr,0
session_tokyo,0.0,0.0,1,lr,0
spread_percentile_100,-6.893834941901211e-05,9.132970746005911e-05,1,lr,0
spread_vs_trailing_100,-8.863502068154894e-05,3.684909776220007e-05,1,lr,0
swing_high_distance_14,0.0006105968091391967,0.00012688692856730767,1,lr,0
swing_low_distance_14,-7.878668505025832e-05,2.412339711227807e-05,1,lr,0
w1_close_slope_sign,0.0009552885562339464,0.00014135020774478957,1,lr,0
atr_14,-0.00044317510340756704,0.00017890390116787397,2,lr,0
atr_percentile_100,0.00019696671262550147,0.00016771111252635246,2,lr,0
atr_vs_trailing_100,-0.000551506795351675,0.0001904577467580621,2,lr,0
d1_atr_percentile_100,-6.893834941898991e-05,9.132970746009983e-05,2,lr,0
d1_close_slope_magnitude,0.0005022651171951553,9.548315653762869e-05,2,lr,0
d1_close_slope_sign,-0.00015757337010049443,8.471858643925647e-05,2,lr,0
day_of_week,-9.848335631312822e-06,0.00010515145018743125,2,lr,0
distance_to_round_number,-0.00024620839078202115,6.963824908278844e-05,2,lr,0
hour_of_day,-0.00011818002757537637,8.000825689028138e-05,2,lr,0
kijun_26_distance,-0.0005318101240890716,5.742517131025892e-05,2,lr,0
prior_session_high_distance,-0.00021666338388817152,0.00014805294837869749,2,lr,0
prior_session_low_distance,-0.0001969667126255903,6.228634351327092e-05,2,lr,0
range_close_ratio,0.00010833169194399695,0.00014406872994217242,2,lr,0
session_dead,-6.893834941898991e-05,5.021685556031408e-05,2,lr,0
session_ldn_ny_overlap,-0.00011818002757537637,2.4123397112332464e-05,2,lr,0
session_london,-0.00014772503446920383,0.0001245726870265331,2,lr,0
session_ny,-7.878668505028053e-05,0.0001013948211639231,2,lr,0
session_tokyo,-0.00010833169194410797,7.237019133691882e-05,2,lr,0
spread_percentile_100,-0.0001871183769943441,0.00010515145018742707,2,lr,0
spread_vs_trailing_100,-9.848335631290617e-06,1.9696671262581235e-05,2,lr,0
swing_high_distance_14,0.005091589521370854,0.00021486531641986872,2,lr,0
swing_low_distance_14,-0.00015757337010051663,1.9696671262536827e-05,2,lr,0
w1_close_slope_sign,0.00024620839078193235,0.00018424548881100627,2,lr,0
atr_14,2.954500689382744e-05,3.93933425251125e-05,3,lr,0
atr_percentile_100,0.0,0.0,3,lr,0
atr_vs_trailing_100,0.0,0.0,3,lr,0
d1_atr_percentile_100,-3.939334252511806e-05,9.026148699928971e-05,3,lr,0
d1_close_slope_magnitude,0.00018711837699427746,3.684909776221194e-05,3,lr,0
d1_close_slope_sign,1.9696671262536823e-05,2.412339711227807e-05,3,lr,0
day_of_week,0.0005810518022453914,0.00015383592034482453,3,lr,0
distance_to_round_number,1.9696671262536823e-05,2.412339711227807e-05,3,lr,0
hour_of_day,1.969667126255903e-05,5.021685556028359e-05,3,lr,0
kijun_26_distance,0.0,0.0,3,lr,0
prior_session_high_distance,0.00043332676777625424,0.0002844106574393178,3,lr,0
prior_session_low_distance,-0.0002068150482568587,6.532646819687738e-05,3,lr,0
range_close_ratio,2.954500689382744e-05,0.000141350207744788,3,lr,0
session_dead,0.0,0.0,3,lr,0
session_ldn_ny_overlap,0.0,0.0,3,lr,0
session_london,0.0,0.0,3,lr,0
session_ny,2.9545006893805238e-05,2.412339711227807e-05,3,lr,0
session_tokyo,0.0,0.0,3,lr,0
spread_percentile_100,0.0,0.0,3,lr,0
spread_vs_trailing_100,0.0,0.0,3,lr,0
swing_high_distance_14,0.0001969667126255681,9.34295152699298e-05,3,lr,0
swing_low_distance_14,0.00018711837699427746,3.684909776221194e-05,3,lr,0
w1_close_slope_sign,0.0003643884183572865,7.369819552441201e-05,3,lr,0
atr_14,0.000128028363206667,8.000825689028137e-05,4,lr,0
atr_percentile_100,3.939334252516247e-05,1.9696671262581235e-05,4,lr,0
atr_vs_trailing_100,9.848335631290617e-06,1.9696671262581235e-05,4,lr,0
d1_atr_percentile_100,1.9696671262581235e-05,2.4123397112332458e-05,4,lr,0
d1_close_slope_magnitude,4.924167815643088e-05,3.114317175663546e-05,4,lr,0
