cell,spread_mult,swap_on,slip_per_fill_pips,worst_fold_ratio,worst_fold_dd,worst_fold_roi,mean_fold_roi,mean_fold_dd,sign_consistency,neg_folds,holdout_roi,holdout_dd,holdout_ratio,n_search_trades,n_holdout_trades,n_zero_spread,verdict
16,2.0,True,0.0,2.182916070655889,0.10963388939151442,0.10877658984398497,0.2543607681942299,0.048557887990534315,11,0,0.32057024899112085,0.0676593956061835,4.738000481958538,2162,1139,0,FAIL_DD_HARD
17,2.0,True,0.5,1.9732796861055992,0.11108007902270843,0.09508937187639543,0.2388932639203694,0.05041982628164043,11,0,0.3013369563004955,0.07001559210040023,4.303855002302736,2162,1139,0,FAIL_DD_HARD
18,2.0,True,1.0,1.77442696974033,0.11276150505783403,0.08157015491158526,0.22367360234854147,0.052315218405349646,11,0,0.2823822382226593,0.0723659692510212,3.902141312349995,2162,1139,0,FAIL_DD_HARD
19,3.0,False,0.0,2.3541469494180403,0.10869242366671213,0.10913383228596651,0.3468177758678177,0.04686389329669211,11,0,0.45321581469177485,0.06039379672134306,7.504343811714841,2162,1139,0,FAIL_DD_HARD
20,3.0,False,0.5,2.129603102635039,0.10986877097823124,0.09980421884173762,0.3300066553490573,0.04779132597762134,11,0,0.43209406405505435,0.06276787992893547,6.883999659447834,2162,1139,0,FAIL_DD_HARD
21,3.0,False,1.0,1.903534201899111,0.11121969736363631,0.0905526335393887,0.31341711715948894,0.048858534944791684,11,0,0.4112776121732764,0.06513610077360048,6.3141269939198805,2162,1139,0,FAIL_DD_HARD
22,3.0,True,0.0,0.6229137713159723,0.1220851468393228,0.03319500848581658,0.19207548927230356,0.057857002657117844,11,0,0.2658056684023815,0.0767312362778336,3.4641129388289085,2162,1139,0,FAIL_DD_HARD
23,3.0,True,0.5,0.4418033335600014,0.12397992795481762,0.024500806808433806,0.17748514961375517,0.06026873326673973,11,0,0.24740802484349,0.07906503466041351,3.129171142542519,2162,1139,0,FAIL_DD_HARD
24,3.0,True,1.0,0.27559712046841356,0.1258707132027532,0.015879347061949156,0.16310586743341485,0.06265940186611031,11,0,0.22927630066906035,0.08139306772140045,2.8169020665721556,2162,1139,0,FAIL_DD_HARD
25,4.0,False,0.0,0.4923685865135353,0.11817099902063295,0.0261738860948475,0.2812930890070767,0.05263035152792883,11,0,0.3942695843147279,0.06953500925710228,5.670087464243163,2162,1139,0,FAIL_DD_HARD
26,4.0,False,0.5,0.31700680197927655,0.11960549373782589,0.017538709944106667,0.26539475757840686,0.053977827412688216,11,0,0.3740777388819052,0.07188652755837716,5.203725254055797,2162,1139,0,FAIL_DD_HARD
27,4.0,False,1.0,0.1561332803206439,0.12150535638181571,0.008975782351019923,0.24972266147751251,0.055544482342083784,11,0,0.3541766925438652,0.07423223791034547,4.771197831481582,2162,1139,0,FAIL_DD_HARD
28,4.0,True,0.0,-0.5877843597491939,0.13506014347796086,-0.044110752168652345,0.13472465977581602,0.06984166897844833,10,1,0.21460453381306155,0.08571776092525847,2.5036180541414956,2162,1139,0,FAIL_DD_HARD
29,4.0,True,0.5,-0.6526149002140993,0.13692748074749922,-0.05215759669412745,0.12098363734344741,0.07296723355963343,9,2,0.19702383912318155,0.08802936692230177,2.238160355022008,2162,1139,0,FAIL_DD_HARD
30,4.0,True,1.0,-0.709409764178773,0.14409263275481057,-0.060137089115602005,0.10742664525617843,0.07608759809447604,8,3,0.1797172413817718,0.09033526113535754,1.989447300235122,2162,1139,0,FAIL_DD_HARD
