pair,signal_ts,signal_date,lookup_date,d1_date_used,days_lag,leak_flag,no_d1_available,is_monday,is_early_hours_utc
CAD_CHF,2021-06-23 08:00:00,2021-06-23,2021-06-22,2021-06-22,1,0,0,0,0
CAD_CHF,2023-11-16 08:00:00,2023-11-16,2023-11-15,2023-11-15,1,0,0,0,0
CAD_CHF,2021-09-16 08:00:00,2021-09-16,2021-09-15,2021-09-15,1,0,0,0,0
CAD_CHF,2022-01-13 00:00:00,2022-01-13,2022-01-12,2022-01-12,1,0,0,0,1
CAD_CHF,2023-11-22 08:00:00,2023-11-22,2023-11-21,2023-11-21,1,0,0,0,0
CAD_CHF,2025-02-06 08:00:00,2025-02-06,2025-02-05,2025-02-05,1,0,0,0,0
CAD_CHF,2022-09-19 00:00:00,2022-09-19,2022-09-18,2022-09-16,3,0,0,1,1
CAD_CHF,2024-02-27 08:00:00,2024-02-27,2024-02-26,2024-02-26,1,0,0,0,0
CAD_CHF,2023-04-17 00:00:00,2023-04-17,2023-04-16,2023-04-14,3,0,0,1,1
CAD_CHF,2022-08-18 08:00:00,2022-08-18,2022-08-17,2022-08-17,1,0,0,0,0
CAD_JPY,2023-01-04 08:00:00,2023-01-04,2023-01-03,2023-01-03,1,0,0,0,0
CAD_JPY,2024-06-14 04:00:00,2024-06-14,2024-06-13,2024-06-13,1,0,0,0,0
CAD_JPY,2025-02-27 08:00:00,2025-02-27,2025-02-26,2025-02-26,1,0,0,0,0
CAD_JPY,2021-09-22 16:00:00,2021-09-22,2021-09-21,2021-09-21,1,0,0,0,0
CAD_JPY,2021-08-18 04:00:00,2021-08-18,2021-08-17,2021-08-17,1,0,0,0,0
CAD_JPY,2022-12-20 00:00:00,2022-12-20,2022-12-19,2022-12-19,1,0,0,0,1
CAD_JPY,2021-01-13 08:00:00,2021-01-13,2021-01-12,2021-01-12,1,0,0,0,0
CAD_JPY,2023-02-08 00:00:00,2023-02-08,2023-02-07,2023-02-07,1,0,0,0,1
CAD_JPY,2024-03-14 04:00:00,2024-03-14,2024-03-13,2024-03-13,1,0,0,0,0
CAD_JPY,2025-10-24 20:00:00,2025-10-24,2025-10-23,2025-10-23,1,0,0,0,0
CAD_JPY,2022-12-26 08:00:00,2022-12-26,2022-12-25,2022-12-23,3,0,0,1,0
CAD_JPY,2023-08-24 04:00:00,2023-08-24,2023-08-23,2023-08-23,1,0,0,0,0
CAD_JPY,2023-03-20 00:00:00,2023-03-20,2023-03-19,2023-03-17,3,0,0,1,1
CAD_JPY,2021-12-22 08:00:00,2021-12-22,2021-12-21,2021-12-21,1,0,0,0,0
CAD_JPY,2022-03-17 20:00:00,2022-03-17,2022-03-16,2022-03-16,1,0,0,0,0
CAD_JPY,2025-07-02 08:00:00,2025-07-02,2025-07-01,2025-07-01,1,0,0,0,0
CAD_JPY,2022-11-14 08:00:00,2022-11-14,2022-11-13,2022-11-11,3,0,0,1,0
CAD_JPY,2024-05-20 00:00:00,2024-05-20,2024-05-19,2024-05-17,3,0,0,1,1
CAD_JPY,2025-09-03 00:00:00,2025-09-03,2025-09-02,2025-09-02,1,0,0,0,1
CAD_JPY,2023-10-31 00:00:00,2023-10-31,2023-10-30,2023-10-30,1,0,0,0,1
CHF_JPY,2023-12-06 00:00:00,2023-12-06,2023-12-05,2023-12-05,1,0,0,0,1
CHF_JPY,2023-01-16 08:00:00,2023-01-16,2023-01-15,2023-01-13,3,0,0,1,0
CHF_JPY,2025-04-07 16:00:00,2025-04-07,2025-04-06,2025-04-04,3,0,0,1,0
CHF_JPY,2024-09-10 00:00:00,2024-09-10,2024-09-09,2024-09-09,1,0,0,0,1
CHF_JPY,2024-12-13 08:00:00,2024-12-13,2024-12-12,2024-12-12,1,0,0,0,0
CHF_JPY,2021-03-08 00:00:00,2021-03-08,2021-03-07,2021-03-05,3,0,0,1,1
CHF_JPY,2025-02-10 08:00:00,2025-02-10,2025-02-09,2025-02-07,3,0,0,1,0
CHF_JPY,2020-11-02 08:00:00,2020-11-02,2020-11-01,2020-10-30,3,0,0,1,0
CHF_JPY,2022-12-05 16:00:00,2022-12-05,2022-12-04,2022-12-02,3,0,0,1,0
CHF_JPY,2024-08-09 00:00:00,2024-08-09,2024-08-08,2024-08-08,1,0,0,0,1
CHF_JPY,2020-10-09 08:00:00,2020-10-09,2020-10-08,2020-10-08,1,0,0,0,0
CHF_JPY,2021-01-21 00:00:00,2021-01-21,2021-01-20,2021-01-20,1,0,0,0,1
CHF_JPY,2024-03-19 04:00:00,2024-03-19,2024-03-18,2024-03-18,1,0,0,0,0
CHF_JPY,2020-10-23 08:00:00,2020-10-23,2020-10-22,2020-10-22,1,0,0,0,0
CHF_JPY,2023-07-17 08:00:00,2023-07-17,2023-07-16,2023-07-14,3,0,0,1,0
CHF_JPY,2021-12-03 08:00:00,2021-12-03,2021-12-02,2021-12-02,1,0,0,0,0
CHF_JPY,2022-10-04 04:00:00,2022-10-04,2022-10-03,2022-10-03,1,0,0,0,0
CHF_JPY,2021-12-14 08:00:00,2021-12-14,2021-12-13,2021-12-13,1,0,0,0,0
CHF_JPY,2021-07-21 08:00:00,2021-07-21,2021-07-20,2021-07-20,1,0,0,0,0
CHF_JPY,2023-01-04 08:00:00,2023-01-04,2023-01-03,2023-01-03,1,0,0,0,0
EUR_AUD,2021-03-22 00:00:00,2021-03-22,2021-03-21,2021-03-19,3,0,0,1,1
EUR_AUD,2022-11-30 00:00:00,2022-11-30,2022-11-29,2022-11-29,1,0,0,0,1
EUR_AUD,2021-02-02 04:00:00,2021-02-02,2021-02-01,2021-02-01,1,0,0,0,0
EUR_AUD,2022-03-29 00:00:00,2022-03-29,2022-03-28,2022-03-28,1,0,0,0,1
EUR_AUD,2023-10-11 16:00:00,2023-10-11,2023-10-10,2023-10-10,1,0,0,0,0
EUR_AUD,2024-04-17 16:00:00,2024-04-17,2024-04-16,2024-04-16,1,0,0,0,0
EUR_AUD,2022-12-12 00:00:00,2022-12-12,2022-12-11,2022-12-09,3,0,0,1,1
