pair,signal_bar_ts,feature_name,max_source_bar_ts,recomputed,recorded,abs_diff,leak_flag
AUD_CAD,2023-02-24 00:00:00,swing_low_dist_atr,2023-02-24 00:00:00,0.6875455378,0.6875455378,4.574562951e-11,0
AUD_CAD,2022-03-31 00:00:00,body_to_range_ratio,2022-03-31 00:00:00,0.3221052632,0.3221052632,4.210082283e-11,0
AUD_CAD,2022-03-31 00:00:00,upper_wick_ratio,2022-03-31 00:00:00,0.4252631579,0.4252631579,5.261457936e-12,0
AUD_CAD,2022-03-31 00:00:00,lower_wick_ratio,2022-03-31 00:00:00,0.2526315789,0.2526315789,4.736228076e-11,0
AUD_CAD,2022-03-31 00:00:00,range_to_atr_14,2022-03-31 00:00:00,1.476501027,1.476501027,2.654219067e-10,0
AUD_CAD,2022-03-31 00:00:00,ret_5bar_atr,2022-03-31 00:00:00,-0.4165287107,-0.4165287107,1.404432126e-13,0
AUD_CAD,2022-03-31 00:00:00,ret_20bar_atr,2022-03-31 00:00:00,0.0652768875,0.0652768875,2.247688147e-12,0
AUD_CAD,2022-03-31 00:00:00,pos_in_20bar_range,2022-03-31 00:00:00,0.5758354756,0.5758354756,2.158950796e-11,0
AUD_CAD,2022-03-31 00:00:00,rsi_14,2022-03-31 00:00:00,52.29368248,52.29368248,3.276021232e-09,0
AUD_CAD,2022-03-31 00:00:00,mother_bar_range_atr,2022-03-31 00:00:00,1.280670364,1.280670364,2.413558242e-10,0
AUD_CAD,2022-03-31 00:00:00,inside_bar_range_atr,2022-03-31 00:00:00,0.3574686696,0.3574686696,3.050404374e-11,0
AUD_CAD,2022-03-31 00:00:00,ib_range_ratio,2022-03-31 00:00:00,0.2791262136,0.2791262136,7.744693775e-12,0
AUD_CAD,2022-03-31 00:00:00,break_bar_body_atr,2022-03-31 00:00:00,0.4755887518,0.4755887518,3.075034671e-11,0
AUD_CAD,2022-03-31 00:00:00,break_close_above_high_atr,2022-03-31 00:00:00,0.2362401643,0.2362401643,2.247438347e-11,0
AUD_CAD,2022-03-31 00:00:00,swing_low_dist_atr,2022-03-31 00:00:00,1.3925736,1.3925736,4.822653388e-11,0
AUD_CAD,2024-11-05 00:00:00,body_to_range_ratio,2024-11-05 00:00:00,0.8016528926,0.8016528926,3.803324322e-11,0
AUD_CAD,2024-11-05 00:00:00,upper_wick_ratio,2024-11-05 00:00:00,0.07851239669,0.07851239669,4.225300665e-12,0
AUD_CAD,2024-11-05 00:00:00,lower_wick_ratio,2024-11-05 00:00:00,0.1198347107,0.1198347107,4.380791563e-11,0
AUD_CAD,2024-11-05 00:00:00,range_to_atr_14,2024-11-05 00:00:00,0.9556747054,0.9556747052,1.744637768e-10,0
AUD_CAD,2024-11-05 00:00:00,ret_5bar_atr,2024-11-05 00:00:00,-1.113637467,-1.113637466,5.934113201e-10,0
