trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
1025,CAD_CHF,2023-01-20 00:00:00,2023-01-20 04:00:00,2023-01-25 16:00:00,trail_stop,22,1,1.489202771,2.486508438,-0.2804177223,1.5,1.5,4
1031,CAD_JPY,2023-01-25 00:00:00,2023-01-25 04:00:00,2023-01-25 16:00:00,stoploss,4,0,-1.006975391,0.3510946957,-1.326486913,1.2,1.2,4
1045,NZD_USD,2023-02-09 00:00:00,2023-02-09 04:00:00,2023-02-15 16:00:00,stoploss,28,0,-1.008123231,0.9917726915,-1.033127323,1.1,1.1,4
1088,EUR_JPY,2023-03-20 00:00:00,2023-03-20 04:00:00,2023-03-20 08:00:00,stoploss,2,0,-1.003391235,0.04796175431,-1.190323539,1.4,1.4,4
1089,GBP_JPY,2023-03-20 00:00:00,2023-03-20 04:00:00,2023-03-20 08:00:00,stoploss,2,0,-1.005535888,0.05674285275,-1.023216645,2.4,2.4,4
1106,AUD_CHF,2023-03-28 16:00:00,2023-03-28 20:00:00,2023-03-29 12:00:00,stoploss,5,0,-1.013777387,0.1318692728,-1.045113192,1.4,1.4,4
1130,NZD_CAD,2023-04-19 00:00:00,2023-04-19 04:00:00,2023-04-26 12:00:00,trail_stop,33,1,0.3513823162,1.3625034,-0.6858238592,2.3,2.3,4
1162,GBP_AUD,2023-05-23 16:00:00,2023-05-23 20:00:00,2023-05-29 04:00:00,trail_stop,21,1,1.096145249,2.073613091,-0.1035791064,4,4,4
1166,EUR_CHF,2023-05-24 04:00:00,2023-05-24 08:00:00,2023-05-25 00:00:00,trail_stop,5,1,0.2121926889,1.208261639,-0.1135702846,1,1,4
1169,GBP_NZD,2023-05-24 16:00:00,2023-05-24 20:00:00,2023-06-02 04:00:00,trail_stop,39,1,2.252412185,3.183329372,-0.3787741845,4.8,4.8,4
1181,AUD_CHF,2023-05-31 16:00:00,2023-05-31 20:00:00,2023-06-08 12:00:00,trail_stop,35,1,3.211489626,4.153135481,-0.2110530297,1.4,1.4,4
1206,EUR_AUD,2023-06-22 16:00:00,2023-06-22 20:00:00,2023-06-23 08:00:00,trail_stop,4,1,0.2191653943,1.013779276,-0.35311413,2.4,2.4,4
1208,EUR_CAD,2023-06-27 08:00:00,2023-06-27 12:00:00,2023-06-28 16:00:00,trail_stop,8,1,1.158226072,2.151402193,-0.08998260122,3.7,3.7,4
1224,GBP_JPY,2023-07-21 20:00:00,2023-07-24 00:00:00,2023-07-27 20:00:00,stoploss,24,0,-1.008216426,0.263610349,-3.107863309,2,2.4,4
1232,AUD_CHF,2023-07-31 00:00:00,2023-07-31 04:00:00,2023-08-01 04:00:00,trail_stop,7,1,0.2967290426,1.119496302,-0.1138154574,1.4,1.4,4
1264,GBP_JPY,2023-08-25 12:00:00,2023-08-25 16:00:00,2023-08-29 16:00:00,trail_stop,13,1,0.1279916954,1.01102074,-0.4165185264,2.4,2.4,4
1269,AUD_USD,2023-09-04 00:00:00,2023-09-04 04:00:00,2023-09-05 08:00:00,stoploss,8,0,-1.007977043,0.3015322262,-1.458203464,1,1,4
1315,AUD_USD,2023-10-19 12:00:00,2023-10-19 16:00:00,2023-10-25 08:00:00,trail_stop,23,1,0.6820971143,1.603063764,-0.6275481737,1,1,5
1336,USD_JPY,2023-11-22 04:00:00,2023-11-22 08:00:00,2023-11-28 16:00:00,stoploss,27,0,-1.002816143,0.9302660129,-1.349871369,0.6,0.6,5
1350,NZD_CAD,2023-12-06 00:00:00,2023-12-06 04:00:00,2023-12-08 16:00:00,stoploss,16,0,-1.019544634,0.8319215763,-1.046062779,2.3,2.3,5
1353,USD_JPY,2023-12-08 08:00:00,2023-12-08 12:00:00,2023-12-12 12:00:00,trail_stop,13,1,0.4996007273,1.323242022,-0.3077976009,0.6,0.6,5
1354,GBP_NZD,2023-12-08 12:00:00,2023-12-08 16:00:00,2023-12-13 12:00:00,trail_stop,18,1,0.2524819693,1.156904697,-0.6126278701,4.8,4.8,5
1355,CAD_JPY,2023-12-08 20:00:00,2023-12-11 00:00:00,2023-12-12 12:00:00,trail_stop,10,1,0.2853940911,1.166154743,-0.004934364215,1.2,1.2,5
