trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
280,GBP_CHF,0,0,0,0
281,GBP_CHF,0.4772727273,13,0.3012012433,0.4905660377
282,AUD_CAD,0.5454545455,3,0.1967378627,0.375
283,AUD_USD,0.6363636364,4,0.6325993746,0.5
284,GBP_CAD,0.5317460317,15,0.836555404,0.7246376812
285,NZD_USD,0.4117647059,4,0,0.2727272727
286,GBP_AUD,0.5423728814,25,0.4015271506,0.489626556
287,USD_CAD,0.5375,33,0.774350445,0.6929460581
288,EUR_USD,0,0,0,0
289,AUD_CHF,0.5555555556,10,0.2769311746,0.2769230769
290,EUR_CHF,0.6,2,0,0.1
291,NZD_CAD,0.4642857143,7,0,0.2121212121
292,AUD_CAD,0.5,6,0.5422795779,0.7272727273
293,AUD_NZD,0.5166666667,41,0.5379345732,0.8298755187
294,EUR_CHF,0.36,4,0.7701749503,0.3243243243
295,GBP_USD,0.5,3,1.133654004,0.8571428571
296,AUD_CHF,0.5,2,0,0.1052631579
297,NZD_CHF,0.1666666667,2,0,0.08
298,USD_CHF,0.1666666667,2,0,0.2
299,EUR_JPY,0.5291479821,25,0.5834297965,0.6804979253
300,AUD_JPY,0.2857142857,4,0.2345123399,0.25
301,AUD_USD,0,1,0,0.5
302,NZD_JPY,0.5454545455,4,0.1936467748,0.25
303,NZD_USD,0.5,3,0.4395458425,0.35
304,USD_JPY,0.5454545455,33,0.2266995135,0.6141078838
305,EUR_CHF,0.5494505495,6,1.337389064,0.4464285714
306,NZD_CHF,0.5056818182,8,0.2873996948,0.08252427184
307,GBP_NZD,0.5815899582,62,0.513559002,0.9917012448
308,EUR_AUD,0.4615384615,2,0.5113615114,0.5161290323
309,CAD_CHF,0,1,0,0.25
310,EUR_GBP,0.4545454545,2,0.2957648751,0.2777777778
311,AUD_CHF,0.4838709677,9,0.5034240358,0.7470588235
312,NZD_USD,1,1,0,0.75
313,EUR_USD,0.4285714286,3,0,0.3333333333
314,GBP_USD,0.5,2,0,0.2
315,EUR_NZD,0.5287958115,25,0.6875142039,0.8962655602
316,GBP_CHF,0.5541666667,29,0.329960099,0.3817427386
317,EUR_CAD,0.8333333333,3,0.8748357615,0.652173913
318,NZD_CAD,0.6153846154,4,0.4810183456,0.6818181818
319,EUR_CAD,0.5,2,0,0.5
320,GBP_CAD,0.5344827586,11,0.5031223713,0.2608695652
321,NZD_CAD,0.625,3,0.7177912178,0.6818181818
322,NZD_CAD,0.5,2,0,0.1176470588
323,AUD_CAD,0.5,2,0.4159139174,0.3333333333
324,CHF_JPY,0.5272727273,8,0.2061476652,0.4133333333
325,EUR_CAD,0.5,7,0.1858944659,0.36
326,NZD_CAD,0.4285714286,4,0.3134192462,0.2272727273
327,AUD_NZD,0.5127118644,30,0.9170361306,0.5560165975
328,NZD_USD,0,0,0,0
329,AUD_CAD,0.5,5,0.7336092131,0.2954545455
330,NZD_CAD,0.5,4,0.5033639582,0.4375
331,CAD_CHF,0,0,0,0
