cell,spread_mult,slip_per_fill_pips,risk_level,fold,fold_id,trades,roi,dd,ratio
1,1.0,0.0,r_recommended,F8,8,191,0.7527532937018611,0.025388889873084974,29.648925079621645
1,1.0,0.0,r_recommended,F9,9,175,0.2249956594107474,0.03165441571107509,7.107875926834025
1,1.0,0.0,r_recommended,F10,10,196,0.5397707036829755,0.04253257845103306,12.69075902144995
1,1.0,0.0,r_recommended,F11,11,188,0.5943168732085442,0.02655539871586517,22.380265480761828
2,1.0,0.5,r_base,Holdout,0,1093,0.4983339513747769,0.057458504154904326,8.672936386079622
2,1.0,0.5,r_base,F1,1,201,0.3837930092037469,0.03315325852016718,11.57632843149596
2,1.0,0.5,r_base,F2,2,182,0.43314214603185164,0.02985318803626665,14.509075061117631
2,1.0,0.5,r_base,F3,3,179,0.48454926912906116,0.02199381804966665,22.031157484109734
2,1.0,0.5,r_base,F4,4,195,0.6981456994640811,0.07494729627039103,9.315155238493817
2,1.0,0.5,r_base,F5,5,192,0.48884678781169977,0.025190526435023928,19.405977444442218
2,1.0,0.5,r_base,F6,6,190,0.30719118680007385,0.051304176684257075,5.987644801136374
2,1.0,0.5,r_base,F7,7,170,0.45228286103738347,0.03295142140081339,13.725746623671265
2,1.0,0.5,r_base,F8,8,191,0.7078543740746004,0.02510533187676155,28.19538007102855
2,1.0,0.5,r_base,F9,9,175,0.2052138403403747,0.031657202638378235,6.482374412058525
2,1.0,0.5,r_base,F10,10,196,0.49949830735964307,0.04403277868808619,11.34378347771159
2,1.0,0.5,r_base,F11,11,188,0.5537905066875586,0.026124801091649184,21.197884138707497
2,1.0,0.5,r_recommended,Holdout,0,1093,0.5138794137275495,0.058900675715596415,8.724507953165611
2,1.0,0.5,r_recommended,F1,1,201,0.3952972048275536,0.03399572391153386,11.627850780769506
2,1.0,0.5,r_recommended,F2,2,182,0.4463728432680867,0.030611314586325974,14.581956028359551
2,1.0,0.5,r_recommended,F3,3,179,0.4996036751554924,0.0225579056129045,22.14760907899573
2,1.0,0.5,r_recommended,F4,4,195,0.7212615934399169,0.07680691042311044,9.390582038343473
2,1.0,0.5,r_recommended,F5,5,192,0.5040642461332812,0.025832407772070118,19.51286347679418
