cell,risk_level,risk_pct,spread_mult,slip_per_fill_pips,worst_fold_ratio,worst_fold_dd,worst_fold_roi,mean_fold_roi,mean_fold_dd,sign_consistency,neg_folds,holdout_roi,holdout_dd,holdout_ratio,n_search_trades,n_holdout_trades,n_zero_spread,verdict
9,r_recommended,0.005128636138676752,2.0,1.0,4.104701933969735,0.08402022484998196,0.15556934291629632,0.39204887264457966,0.04221974224271917,11,0,0.4194741848391266,0.07011694210592469,5.982493991329981,2059,1093,0,DD_WATCH
10,r_base,0.005,3.0,0.0,3.455116948135256,0.08611561146229234,0.1378453762742815,0.34114288505723905,0.04364705416401085,11,0,0.37948706885900685,0.07542443190208198,5.031354685596666,2059,1093,0,DD_WATCH
10,r_recommended,0.005128636138676752,3.0,0.0,3.4606894770643977,0.08823869817275765,0.1415649222621258,0.3514021775051136,0.04474636581042937,11,0,0.3908428004382607,0.07729853055519689,5.056277236203991,2059,1093,0,DD_WATCH
11,r_base,0.005,3.0,0.5,3.0769757391366657,0.08707998199003922,0.12516609567928594,0.3251990719525441,0.044708834633258636,11,0,0.36007079691245014,0.07735584902661692,4.6547326600805,2059,1093,0,DD_WATCH
11,r_recommended,0.005128636138676752,3.0,0.5,3.0813949015151567,0.08923045507078932,0.12851929639653537,0.33492509620507804,0.04583477418344952,11,0,0.3707678123204754,0.07927566481191624,4.676943589185061,2059,1093,0,DD_WATCH
12,r_base,0.005,3.0,1.0,2.716529458792793,0.08860308324555191,0.11262721290144473,0.3094556767680672,0.04588235638470068,11,0,0.3409373555158799,0.07928337779810174,4.300237514906218,2059,1093,0,DD_WATCH
12,r_recommended,0.005128636138676752,3.0,1.0,2.719929843342685,0.09078908480465755,0.11562181467415766,0.3186604216427298,0.04703674160139973,11,0,0.3509924062954317,0.08124871617396048,4.319974798665456,2059,1093,0,DD_WATCH
13,r_base,0.005,4.0,0.0,2.0800725697692535,0.09551264784299231,0.0983523840559688,0.2735318833022695,0.04953646017849806,11,0,0.3168721601582556,0.08536638175845997,3.711908055970206,2059,1093,0,DD_WATCH
13,r_recommended,0.005128636138676752,4.0,0.0,2.0820845051141257,0.0978592673370956,0.10092853809361246,0.2816046223533361,0.05078022309442414,11,0,0.3261283472059613,0.08747475404316939,3.7282568070441755,2059,1093,0,DD_WATCH
14,r_base,0.005,4.0,0.5,1.8456007078696242,0.09702201127707603,0.08829749374362605,0.25848835705541956,0.05075986974660232,11,0,0.2984746559819065,0.08727776203192883,3.4198248102731537,2059,1093,0,FAIL
14,r_recommended,0.005128636138676752,4.0,0.5,1.8470349542830258,0.09940347778301299,0.09059232403913708,0.266078448674536,0.0520343594798726,11,0,0.30712927469659523,0.08943085108378174,3.4342653678747452,2059,1093,0,FAIL
15,r_base,0.005,4.0,1.0,1.6184461168784268,0.09852892958357017,0.07683291525030511,0.24364192106469276,0.05251150285991748,11,0,0.2803406940396538,0.08918529284477991,3.143351163600091,2059,1093,0,FAIL
15,r_recommended,0.005128636138676752,4.0,1.0,1.6193662027829814,0.10094512223121513,0.07882270028959226,0.2507605985814445,0.053829599967409096,11,0,0.28840908632437445,0.09138290711570117,3.1560506819860272,2059,1093,0,FAIL_DD_HARD
