trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,sweep_magnitude_atr,reclaim_strength_ratio,time_to_peak_mfe,calendar_year
43,USD_CHF,2020-11-27 00:00:00,2020-11-27 04:00:00,0.906345,0.9024554619,2020-11-30 08:00:00,0.9024304619,stoploss,-1.006427498,8,0.7545883109,-7.86083053,0.1,0.5,0.90597,0.2570999356,0.74,2,2020
44,USD_CAD,2020-11-27 16:00:00,2020-11-27 20:00:00,1.298755,1.293928264,2020-11-30 16:00:00,1.293913264,stoploss,-1.00310769,6,0.4547587062,-8.259205387,0.3,0.3,1.29799,0.331486984,0.925,1,2020
45,GBP_NZD,2020-11-27 20:00:00,2020-11-30 00:00:00,1.89476,1.884300041,2020-12-10 12:00:00,1.884130041,stoploss,-1.016252454,52,2.527734635,-4.080322021,3.6,3.4,1.89204,0.4684530905,0.8040816327,28,2020
46,NZD_CHF,2020-12-07 12:00:00,2020-12-07 16:00:00,0.62664,0.623112601,2021-02-03 16:00:00,0.647285,time_exit,5.852754425,240,6.22555036,-0.9950674756,0.2,0.1,0.62607,0.3685435095,0.8615384615,238,2020
47,EUR_NZD,2020-12-09 12:00:00,2020-12-09 16:00:00,1.71308,1.704399636,2020-12-30 16:00:00,1.704374636,stoploss,-1.002880064,85,2.490678958,-5.680637347,0.2,0.5,1.71171,0.5230195407,0.5991189427,53,2020
48,USD_CHF,2020-12-10 16:00:00,2020-12-10 20:00:00,0.88793,0.8837909476,2020-12-16 08:00:00,0.8837809476,stoploss,-1.002416012,22,4.022659882,-2.93787052,0.2,0.2,0.88632,0.5460186987,1.415929204,5,2020
49,EUR_AUD,2020-12-11 04:00:00,2020-12-11 08:00:00,1.608565,1.598952984,2020-12-30 16:00:00,1.598907984,stoploss,-1.00468164,75,1.774341538,-5.125355373,0.9,0.9,1.60713,0.2725754811,1.083969466,37,2020
50,EUR_JPY,2020-12-16 08:00:00,2020-12-16 12:00:00,126.081,125.4740989,2021-01-15 16:00:00,125.4670989,stoploss,-1.011534005,122,2.324925823,-1.637828681,1.4,1.4,125.784,0.2570435354,3.756410256,86,2020
51,GBP_CHF,2020-12-21 04:00:00,2020-12-21 08:00:00,1.18477,1.175110799,2020-12-21 08:00:00,1.175030799,stoploss,-1.008282258,1,6.168211853,-1.186433498,1.6,1.6,1.18321,0.2608911358,1.174603175,0,2020
52,GBP_JPY,2020-12-21 04:00:00,2020-12-21 08:00:00,138.302,137.2387063,2020-12-21 08:00:00,137.2267063,stoploss,-1.011285687,1,8.715371977,-1.259294602,2.4,2.4,138.027,0.3047135557,1.62345679,0,2020
53,NZD_USD,2020-12-21 12:00:00,2020-12-21 16:00:00,0.70359,0.6978245176,2021-02-17 16:00:00,0.71618,time_exit,2.183685454,240,4.846081936,-0.1075365354,0.2,0.2,0.70201,0.6105300077,0.8863636364,59,2020
54,USD_CAD,2020-12-29 16:00:00,2020-12-29 20:00:00,1.281575,1.275687362,2020-12-30 16:00:00,1.275672362,stoploss,-1.002547711,6,1.11334977,-5.274611304,0.3,0.3,1.27947,0.5095422287,1.406666667,1,2020
55,EUR_AUD,2021-01-06 12:00:00,2021-01-06 16:00:00,1.583855,1.573249807,2021-01-08 08:00:00,1.573204807,stoploss,-1.004243204,11,1.025441017,-5.533609754,0.9,0.9,1.5797,0.3394563366,2.3,6,2021
56,EUR_NZD,2021-01-06 12:00:00,2021-01-06 16:00:00,1.69311,1.682207466,2021-01-14 16:00:00,1.682202466,stoploss,-1.000458609,37,1.295111702,-5.584939913,1.6,0.1,1.68828,0.2568210175,3.407142857,18,2021
57,USD_CAD,2021-01-06 12:00:00,2021-01-06 16:00:00,1.270435,1.262425375,2021-01-20 16:00:00,1.262410375,stoploss,-1.001872747,61,2.209217026,-2.95457027,0.3,0.3,1.26462,0.3995193266,3.61875,17,2021
58,GBP_CAD,2021-01-11 00:00:00,2021-01-11 04:00:00,1.721885,1.711670586,2021-03-08 04:00:00,1.749195,time_exit,2.673672841,240,6.534393767,-0.1953122416,0.1,0.3,1.7188,0.2584583047,2.325757576,191,2021
59,EUR_CHF,2021-01-12 00:00:00,2021-01-12 04:00:00,1.082175,1.078780116,2021-01-13 16:00:00,1.078735116,stoploss,-1.013255239,10,9.713144287,-2.437491099,0.1,0.9,1.08134,0.3299081608,1.482142857,1,2021
60,NZD_CAD,2021-01-12 00:00:00,2021-01-12 04:00:00,0.916065,0.9110178419,2021-01-13 20:00:00,0.9109728419,stoploss,-1.008915908,11,3.319689931,-3.200811151,0.7,0.9,0.91516,0.542879762,0.6423357664,5,2021
61,NZD_JPY,2021-01-13 16:00:00,2021-01-13 20:00:00,74.7265,74.25661864,2021-01-15 16:00:00,74.24961864,stoploss,-1.014897377,12,9.54815486,-2.293132032,0.1,1.4,74.549,0.2596400074,2.918032787,6,2021
62,AUD_CHF,2021-01-15 16:00:00,2021-01-15 20:00:00,0.687125,0.6827703586,2021-01-18 12:00:00,0.6827153586,stoploss,-1.012630202,5,8.901995864,-2.722382586,1.1,1.1,0.68533,0.9185601304,0.875,0,2021
63,GBP_JPY,2021-01-15 16:00:00,2021-01-15 20:00:00,141.246,140.5450802,2021-01-18 08:00:00,140.5330802,stoploss,-1.017120361,4,15.6779708,-1.269760125,2.4,2.4,141.101,0.4137420632,0.9172413793,0,2021
64,CAD_CHF,2021-01-19 16:00:00,2021-01-19 20:00:00,0.69817,0.6943903482,2021-01-27 20:00:00,0.6943403482,stoploss,-1.013228732,37,13.06469554,-2.026641714,1.2,1,0.69626,0.2804491145,3.509433962,5,2021
65,AUD_NZD,2021-01-25 12:00:00,2021-01-25 16:00:00,1.072145,1.068540249,2021-01-26 12:00:00,1.068460249,stoploss,-1.022192934,6,3.297037796,-5.039183135,1.7,1.6,1.0714,0.3328940139,1.1,1,2021
66,AUD_JPY,2021-01-26 08:00:00,2021-01-26 12:00:00,79.8725,79.41182604,2021-01-28 08:00:00,79.40732604,stoploss,-1.009768297,12,12.09857843,-1.46198844,0.9,0.9,79.726,0.5340002319,1.146341463,3,2021
67,AUD_USD,2021-01-26 08:00:00,2021-01-26 12:00:00,0.76956,0.7645526393,2021-01-27 16:00:00,0.7645426393,stoploss,-1.00199706,8,6.220842052,-2.636119265,0.2,0.2,0.76829,0.5591768137,0.8928571429,3,2021
68,CAD_JPY,2021-01-26 08:00:00,2021-01-26 12:00:00,81.4165,81.01338623,2021-01-28 08:00:00,81.01188623,stoploss,-1.003721034,12,16.53503434,-1.07289811,0.1,0.3,81.238,0.3770647694,2.289473684,3,2021
69,GBP_USD,2021-01-26 08:00:00,2021-01-26 12:00:00,1.365885,1.358972124,2021-02-04 08:00:00,1.358927124,stoploss,-1.006509592,42,8.419795007,-1.361951207,0.9,0.9,1.36356,0.743540011,0.8871595331,5,2021
70,EUR_NZD,2021-01-27 12:00:00,2021-01-27 16:00:00,1.68581,1.676192944,2021-02-02 20:00:00,1.676172944,stoploss,-1.002079639,26,1.92158599,-5.572391408,1.6,0.4,1.6775,0.3410607169,5.018292683,4,2021
71,EUR_JPY,2021-01-27 16:00:00,2021-01-27 20:00:00,126.113,125.6343564,2021-03-24 20:00:00,128.657,time_exit,5.315018893,240,9.510206761,-0.2611546233,1.4,1.4,125.689,0.3844196055,4.532608696,211,2021
72,AUD_CAD,2021-01-28 12:00:00,2021-01-28 16:00:00,0.98023,0.9754753485,2021-02-01 00:00:00,0.9754053485,stoploss,-1.014722425,9,4.015015647,-5.819564324,1.4,1.4,0.97724,0.5762777827,2.124087591,2,2021
73,EUR_GBP,2021-02-02 12:00:00,2021-02-02 16:00:00,0.881895,0.8779337256,2021-02-04 12:00:00,0.8779087256,stoploss,-1.0063111,12,0.5162480037,-7.905284223,0.5,0.5,0.88044,0.4644969813,1.565217391,10,2021
74,NZD_CAD,2021-02-05 12:00:00,2021-02-05 16:00:00,0.91712,0.9116215498,2021-02-17 12:00:00,0.9115615498,stoploss,-1.010912166,48,2.855350048,-7.949512777,0.6,1.2,0.91521,0.6110812842,1.119047619,9,2021
75,CAD_CHF,2021-02-09 16:00:00,2021-02-09 20:00:00,0.70263,0.6994887003,2021-02-12 08:00:00,0.6994337003,stoploss,-1.017508677,16,15.97427984,-1.142839072,1.2,1.1,0.70096,0.5602776509,1.829545455,1,2021
76,CAD_JPY,2021-02-09 16:00:00,2021-02-09 20:00:00,82.2995,81.91750855,2021-04-06 20:00:00,87.5515,time_exit,13.74899894,240,15.71893834,-0.2185912817,0.3,0.1,82.085,0.6439934767,1.723577236,224,2021
77,USD_CAD,2021-02-10 08:00:00,2021-02-10 12:00:00,1.271025,1.265578504,2021-02-15 12:00:00,1.265563504,stoploss,-1.002754064,19,0.9703485737,-6.342609551,0.3,0.3,1.2691,0.5985499244,1.171779141,13,2021
78,USD_JPY,2021-02-10 08:00:00,2021-02-10 12:00:00,104.7905,104.3774554,2021-04-07 12:00:00,109.8575,time_exit,12.26743902,240,14.95116828,-0.6137351079,0.1,0.1,104.498,0.4357882423,3.244444444,208,2021
79,EUR_AUD,2021-02-12 00:00:00,2021-02-12 04:00:00,1.565105,1.558258302,2021-02-15 16:00:00,1.558228302,stoploss,-1.004381674,10,0.5718084489,-5.83273829,0.5,0.6,1.56168,0.2775060161,3.536842105,1,2021
80,EUR_GBP,2021-02-15 04:00:00,2021-02-15 08:00:00,0.873245,0.8703914951,2021-02-16 16:00:00,0.8703664951,stoploss,-1.008761155,9,0.2610824325,-9.137885138,0.5,0.5,0.87303,0.2663391258,0.5263157895,0,2021
81,USD_CAD,2021-02-16 04:00:00,2021-02-16 08:00:00,1.263075,1.257880241,2021-02-23 20:00:00,1.257865241,stoploss,-1.002887526,34,2.220507191,-5.1195829,0.3,0.3,1.26166,0.2656523558,2.028985507,8,2021
82,USD_CHF,2021-02-16 04:00:00,2021-02-16 08:00:00,0.888995,0.8860692053,2021-04-13 08:00:00,0.924545,time_exit,12.15054477,240,19.91766517,-0.6476872671,0.1,0.1,0.88875,0.2734299808,0.6,193,2021
83,EUR_USD,2021-02-17 16:00:00,2021-02-17 20:00:00,1.204515,1.199662479,2021-03-02 08:00:00,1.199657479,stoploss,-1.001030392,52,4.081383619,-7.028305394,0.1,0.1,1.20305,0.292631393,2.056338028,35,2021
84,CHF_JPY,2021-02-22 00:00:00,2021-02-22 04:00:00,117.753,117.2907184,2021-02-22 08:00:00,117.2857184,stoploss,-1.010815918,2,2.130735776,-3.99107361,1,1,117.567,0.5667540845,1.396946565,0,2021
85,GBP_JPY,2021-02-26 08:00:00,2021-02-26 12:00:00,148.4725,147.2385126,2021-04-23 12:00:00,149.716,time_exit,1.007708819,240,4.003687513,-0.5530850577,0.3,2.4,147.6,0.3176693665,4.443877551,160,2021
86,GBP_NZD,2021-02-26 08:00:00,2021-02-26 12:00:00,1.90457,1.890139219,2021-04-23 12:00:00,1.931755,time_exit,1.883820392,240,5.366999794,-0.3236138029,5.4,4.5,1.89534,0.2674837857,4.632124352,125,2021
