trade_id,local_peaks_count,monotonicity_ratio_in_profit
1263,2,0.8
1264,1,0.0
1265,0,
1266,20,0.5462184873949579
1267,0,
1268,17,0.48739495798319327
1269,20,0.49122807017543857
127,16,0.5333333333333333
1270,24,0.5357142857142857
1271,20,0.5739130434782609
1272,17,0.5181818181818182
1273,0,
1274,24,0.5083333333333333
1275,15,0.5217391304347826
1276,23,0.5583333333333333
1277,3,1.0
1278,5,0.625
1279,0,0.3333333333333333
128,0,
1280,0,0.5
1281,0,
1282,1,0.5
1283,1,0.0
1284,25,0.5689655172413793
1285,31,0.5666666666666667
1286,10,0.6410256410256411
1287,2,0.25
1288,1,0.3333333333333333
1289,23,0.5882352941176471
129,2,0.6666666666666666
1290,4,0.6363636363636364
1291,19,0.5384615384615384
1292,18,0.5294117647058824
1293,0,
1294,25,0.5378151260504201
1295,1,1.0
1296,29,0.5583333333333333
1297,30,0.5333333333333333
1298,17,0.48739495798319327
1299,14,0.453125
13,0,0.0
130,0,
1300,6,0.4888888888888889
1301,8,0.5675675675675675
1302,0,
1303,10,0.4
1304,21,0.5092592592592593
1305,26,0.5462184873949579
1306,20,0.5882352941176471
1307,1,1.0
1308,0,
1309,13,0.4827586206896552
131,14,0.5339805825242718
1310,1,0.0
1311,4,0.6666666666666666
1312,20,0.5504587155963303
1313,23,0.5641025641025641
1314,33,0.5798319327731093
1315,0,
1316,9,0.5130434782608696
1317,7,0.5909090909090909
1318,0,
1319,0,
132,3,0.5909090909090909
1320,0,
1321,0,
1322,4,1.0
1323,18,0.5166666666666667
1324,12,0.5
1325,1,0.6181818181818182
1326,4,0.48
1327,1,0.3333333333333333
1328,10,0.5
1329,12,0.5925925925925926
133,0,
1330,12,0.5581395348837209
1331,8,0.46017699115044247
1332,2,1.0
1333,0,
1334,4,0.4523809523809524
1335,3,0.5238095238095238
1336,3,0.5384615384615384
1337,10,0.525
1338,0,0.0
1339,0,0.0
134,19,0.5238095238095238
1340,16,0.49166666666666664
1341,24,0.5446428571428571
1342,3,0.3333333333333333
1343,5,0.8333333333333334
1344,3,0.5555555555555556
1345,1,1.0
1346,24,0.5470085470085471
1347,0,
1348,0,
1349,0,
135,13,0.48333333333333334
1350,0,
1351,25,0.543859649122807
1352,0,
1353,0,
1354,2,0.8
1355,0,
1356,0,
1357,2,0.6666666666666666
1358,1,
1359,11,0.47368421052631576
136,11,0.5151515151515151
1360,20,0.5083333333333333
1361,9,0.5573770491803278
1362,6,0.5428571428571428
1363,15,0.5545454545454546
1364,7,0.5714285714285714
1365,1,0.0
1366,2,0.75
1367,2,0.0
1368,4,0.5384615384615384
1369,0,0.0
137,1,0.3333333333333333
1370,0,0.6666666666666666
1371,1,0.3333333333333333
1372,2,0.3333333333333333
1373,0,
1374,0,
1375,0,
1376,2,
1377,5,0.4186046511627907
1378,7,0.5526315789473685
1379,0,
138,0,
1380,4,0.36363636363636365
1381,15,0.5470085470085471
1382,6,0.5714285714285714
1383,6,0.375
1384,7,0.6363636363636364
1385,27,0.5882352941176471
1386,0,
1387,10,0.5132743362831859
1388,3,0.5102040816326531
1389,22,0.5333333333333333
139,12,0.4838709677419355
1390,11,0.5370370370370371
1391,14,0.4576271186440678
1392,1,0.0
1393,11,0.49166666666666664
1394,8,0.5882352941176471
1395,3,0.6
1396,12,0.47474747474747475
1397,18,0.5555555555555556
1398,18,0.4956521739130435
1399,1,0.0
14,1,0.3333333333333333
140,0,
1400,11,0.475
1401,21,0.5614035087719298
1402,10,0.5384615384615384
1403,11,0.5
1404,0,
1405,3,0.5555555555555556
1406,1,0.0
1407,3,0.6578947368421053
1408,4,0.5714285714285714
1409,6,0.48
141,0,
1410,3,0.4166666666666667
1411,0,
1412,13,0.5378151260504201
1413,2,0.5
1414,0,0.25
1415,0,0.3333333333333333
1416,13,0.5446428571428571
1417,16,0.5327102803738317
1418,1,
1419,1,1.0
142,0,
1420,1,0.6
1421,0,
1422,0,
1423,1,
1424,15,0.5175438596491229
1425,20,0.5416666666666666
1426,0,
1427,13,0.47368421052631576
1428,8,0.6
1429,3,0.5555555555555556
143,10,0.4520547945205479
1430,10,0.5098039215686274
1431,0,
1432,0,
1433,11,0.53
1434,0,
1435,6,0.4444444444444444
1436,5,0.6153846153846154
1437,8,0.5084745762711864
1438,6,0.4666666666666667
1439,0,0.3333333333333333
144,29,0.5982905982905983
1440,27,0.5084745762711864
1441,0,
1442,12,0.525
1443,0,
1444,16,0.5178571428571429
1445,9,0.4953271028037383
1446,0,
1447,0,
1448,0,
1449,0,
145,0,0.0
1450,0,
1451,0,
1452,0,
1453,0,0.5
1454,3,0.4
1455,7,0.45454545454545453
