feature,comparison,n_c1,n_other,ks_stat,ks_pvalue,wasserstein,wasserstein_norm_by_c1_std,overlap_coef
rsi_14,c1_vs_c0,177,316,0.13092683973396266,0.03658737967298254,1.984495494872718,0.21151960348783505,0.7948937996138166
rsi_14,c1_vs_c2,177,429,0.1899174272055628,0.00019495397931051302,3.5582485226243854,0.37925977587817994,0.7542570423926357
rsi_14,c1_vs_c3,177,405,0.14965473948524796,0.007024224174533436,2.4267099332442634,0.2586535087562591,0.8137685708307177
num_higher_highs,c1_vs_c0,177,316,0.18384824429664592,0.0007789509845732599,0.2207144389615961,0.32409314549710105,0.8161517557033541
num_higher_highs,c1_vs_c2,177,429,0.11457469084587729,0.06776397320388974,0.1257556003318714,0.1846572805439523,0.8854253091541227
num_higher_highs,c1_vs_c3,177,405,0.15907093534212177,0.003389879217885932,0.1633814605566018,0.23990642260116463,0.8366185394433981
num_higher_lows,c1_vs_c0,177,316,0.0345955803475649,0.9982881917782599,0.06405992991489673,0.09912672957029824,0.9611134949581635
num_higher_lows,c1_vs_c2,177,429,0.06400379281735213,0.654122588741661,0.11169056931768806,0.17283067394884086,0.9353640709572913
num_higher_lows,c1_vs_c3,177,405,0.03029922577945177,0.9996334991092412,0.053191044151496114,0.08230814888764071,0.9576898932831137
most_recent_sh_age,c1_vs_c0,177,316,0.10244582707573482,0.16974199194662473,0.7391117785882858,0.20169187082665374,0.8595616105270687
most_recent_sh_age,c1_vs_c2,177,429,0.12354312354312354,0.03932682908347749,0.7804116787167631,0.21296195792738523,0.807356485322587
most_recent_sh_age,c1_vs_c3,177,405,0.07641766059845156,0.4412948012462919,0.5414940364092902,0.1477651262079303,0.8345679012345679
most_recent_sl_age,c1_vs_c0,177,316,0.09305942930701566,0.2584667102423294,0.7512515197024957,0.14403013005219537,0.8839304870199528
most_recent_sl_age,c1_vs_c2,177,429,0.07874046857097705,0.39394265861452477,0.7642922049701709,0.14653029350719488,0.8703725652878196
most_recent_sl_age,c1_vs_c3,177,405,0.0903954802259887,0.2477950082584045,0.8577945176815234,0.1644565803855632,0.8803933877380206
hh_range_atr,c1_vs_c0,177,316,0.06429235500250303,0.704812013910567,0.14968640600046823,0.1045976697740799,0.886218980190231
hh_range_atr,c1_vs_c2,177,429,0.08857808857808858,0.26006432990861633,0.17013413438899402,0.11888610650497723,0.878590336217455
hh_range_atr,c1_vs_c3,177,405,0.07725465578572924,0.4275672106755462,0.18633681815542247,0.13020819654199386,0.8310943712073656
hl_range_atr,c1_vs_c0,177,316,0.13637988986626617,0.02611049789887659,0.2894164608399845,0.21401118025081908,0.7921940928270043
hl_range_atr,c1_vs_c2,177,429,0.12942989214175654,0.02690476087718352,0.3497543214108304,0.2586284653806913,0.8526727509778358
hl_range_atr,c1_vs_c3,177,405,0.15028248587570622,0.006701654232997068,0.46712478639766597,0.3454189390998345,0.8094580456162378
pullback_depth_atr,c1_vs_c0,177,316,0.1338947293141672,0.030488014526496056,0.24837526619815484,0.16697123297917058,0.8100193091611243
pullback_depth_atr,c1_vs_c2,177,429,0.16079965232507606,0.0026434128931316346,0.39482034726301607,0.26541950491630645,0.8278218956185059
pullback_depth_atr,c1_vs_c3,177,405,0.14446536932412637,0.010292705860011894,0.2950387211732203,0.19834092099810008,0.844277045406989
trigger_body_atr,c1_vs_c0,177,316,0.08081241507544876,0.4208395825280786,0.05106886592240471,0.13254553287386417,0.8394300221697776
trigger_body_atr,c1_vs_c2,177,429,0.05531191971869938,0.8124307758449102,0.050325466876801,0.13061609463673585,0.8497491209355617
trigger_body_atr,c1_vs_c3,177,405,0.0655785729232057,0.6343268088760186,0.05121426146751041,0.13292289645254246,0.8572086210504289
trigger_close_pos,c1_vs_c0,177,316,0.06196810412643925,0.7459630207334639,0.011355159793409855,0.0888788086018072,0.815007509118215
trigger_close_pos,c1_vs_c2,177,429,0.07332780214136146,0.48296996637700146,0.018179544402271746,0.14229445263599963,0.7987436292521038
trigger_close_pos,c1_vs_c3,177,405,0.07880309688219293,0.40316451734967795,0.009471822663502827,0.07413760166618748,0.8265745971960661
trigger_break_size_atr,c1_vs_c0,177,316,0.04283773153114496,0.9777021889047353,0.025086666154950494,0.0807352664931432,0.8222126868340127
trigger_break_size_atr,c1_vs_c2,177,429,0.06396428430326735,0.6549476126555027,0.06429252960661481,0.20690969773534623,0.8226857887874837
trigger_break_size_atr,c1_vs_c3,177,405,0.052563297761037873,0.8627575349053435,0.0470108402763569,0.15129282999723304,0.8816907302783008
