trade_id,pair,final_r,mfe_r,mae_r,bars_held,exit_reason,time_to_peak_mfe
474,GBP_CAD,2.428562238,3.217026819,-0.3006211482,120,time_exit,117
475,AUD_CAD,3.368214546,3.634430816,-0.7143194325,120,time_exit,117
479,EUR_USD,2.750414451,3.618876582,-0.1143162334,120,time_exit,107
480,AUD_USD,4.671655868,6.370626582,-0.5608452296,120,time_exit,83
481,CAD_JPY,-1.004594503,0.6401674458,-1.179255821,9,stoploss,5
482,AUD_JPY,6.010366466,6.683398803,-0.4142768767,120,time_exit,81
483,CAD_JPY,5.419770854,5.666872869,-0.06082511129,120,time_exit,115
494,AUD_CAD,-1.003865756,0.7055004202,-1.080478726,45,stoploss,31
495,CHF_JPY,2.938897021,4.085082001,-0.196834937,120,time_exit,63
505,USD_CHF,-1.002025306,1.488599849,-1.525055355,44,stoploss,36
506,AUD_USD,2.686843641,5.515856772,-0.2859363922,120,time_exit,87
514,AUD_CAD,2.194259647,5.831723625,-0.7784046686,120,time_exit,89
516,AUD_USD,2.425869156,6.877565681,-0.3665407498,120,time_exit,87
537,AUD_CAD,2.293621028,2.667109317,-0.9220976429,120,time_exit,120
538,AUD_USD,2.347448081,2.966721987,-0.9392550782,120,time_exit,101
544,EUR_CHF,-1.0024265,1.560239756,-1.730094784,17,stoploss,12
557,EUR_USD,-1.014478707,1.39810015,-1.305798393,24,stoploss,22
559,NZD_USD,4.125436488,4.826384511,-0.2896583066,120,time_exit,120
562,AUD_USD,1.752729809,5.987944413,-0.703398147,120,time_exit,98
567,EUR_CHF,-1.001052617,0.4368360431,-1.211562134,16,stoploss,9
570,NZD_JPY,4.012930651,6.020844688,-0.06953814846,120,time_exit,77
571,AUD_JPY,2.03034594,6.171016894,-0.1571518627,120,time_exit,74
581,NZD_CAD,8.999990697,9.923668803,-0.03326806737,120,time_exit,39
582,USD_CAD,5.098966401,7.360281956,-0.1374132756,120,time_exit,78
604,GBP_CHF,1.338689795,2.478940934,-0.8544172194,120,time_exit,94
605,GBP_NZD,-1.002612203,0.639336685,-1.60062739,6,stoploss,4
609,EUR_CHF,5.953011092,7.948294378,-0.7474102629,120,time_exit,85
610,EUR_JPY,5.301423229,6.198388858,-0.8529892923,120,time_exit,106
618,GBP_JPY,3.224981106,3.434937132,-0.7811495227,120,time_exit,120
620,NZD_USD,-1.001236283,1.153452278,-1.052077051,106,stoploss,79
621,GBP_USD,-1.000801781,1.302893359,-1.139330131,97,stoploss,63
622,CAD_CHF,3.013585884,4.109010329,-0.8616923443,120,time_exit,91
624,USD_CHF,4.283324209,4.432264739,-0.2995930202,120,time_exit,120
626,AUD_USD,-1.00134509,2.384844537,-1.214616253,96,stoploss,60
627,NZD_JPY,3.515504657,4.035210606,-0.2474790236,120,time_exit,85
628,EUR_AUD,2.764110414,3.742641721,-0.9785313073,120,time_exit,104
632,EUR_CAD,-1.000781649,0.890297896,-1.620357804,16,stoploss,13
638,CHF_JPY,4.999192339,5.786579449,-0.0486748395,120,time_exit,114
646,GBP_CHF,2.58117666,5.010582715,-0.4660756854,120,time_exit,89
647,GBP_USD,3.11463864,3.611342644,-0.8264398549,120,time_exit,88
648,NZD_CAD,-1.004806928,1.3795883,-1.036694111,48,stoploss,43
652,EUR_CHF,2.540081183,4.988973187,-0.2418495611,120,time_exit,87
653,EUR_JPY,5.55880408,6.032027021,-0.2567391006,120,time_exit,109
654,NZD_USD,-1.001809983,0.892321587,-1.156579096,16,stoploss,9
662,GBP_JPY,6.634251707,7.490985961,-0.7862893575,120,time_exit,101
663,AUD_USD,5.282639146,6.222299341,-0.9840754478,120,time_exit,102
664,AUD_CHF,4.930447712,6.010141619,-0.4711110752,120,time_exit,84
665,NZD_USD,4.26304198,5.609688147,-0.6436294555,120,time_exit,100
669,AUD_CAD,-1.001482652,1.479686532,-1.14757252,15,stoploss,10
670,CAD_CHF,4.252404344,5.275480504,-0.0195243542,120,time_exit,112
672,AUD_CAD,5.361491103,5.747097284,-0.6218077527,120,time_exit,118
674,CAD_JPY,10.67280449,10.91283316,-0.17084394,120,time_exit,118
676,NZD_CAD,4.037616123,4.163884471,-0.07873202888,120,time_exit,116
679,AUD_JPY,10.5051193,10.78110972,-0.3309387322,120,time_exit,115
685,USD_CHF,-1.001805844,0.5399473209,-1.262284874,12,stoploss,8
692,USD_CHF,-1.0018113,0.8857254567,-1.171910778,16,stoploss,12
698,EUR_JPY,9.912642335,10.57928202,-0.993094823,120,time_exit,120
700,EUR_CHF,-1.001808973,0.9641826998,-1.488784919,52,stoploss,44
701,GBP_CHF,-1.001336324,4.900298308,-1.049013955,96,stoploss,43
703,GBP_JPY,9.929117248,16.73969084,-0.2137848211,120,time_exit,113
707,AUD_USD,3.082234916,4.879476829,-0.8689000301,120,time_exit,107
709,AUD_CHF,3.430709857,6.197950906,-0.1356672912,120,time_exit,106
723,EUR_GBP,9.083147446,9.249928401,-0.1821761211,120,time_exit,110
727,CHF_JPY,5.55521752,10.33853671,-0.7817002157,120,time_exit,70
733,EUR_USD,-1.001495963,1.784684446,-1.000799576,63,stoploss,37
736,EUR_AUD,-1.000880461,0.6999664991,-1.131392392,22,stoploss,16
737,GBP_NZD,-1.000809318,2.581725547,-1.196172526,91,stoploss,85
739,AUD_JPY,1.879820797,7.81461943,-0.7018446822,120,time_exit,54
741,NZD_CAD,-1.005962197,1.244111871,-1.05729635,24,stoploss,15
760,CAD_JPY,1.429000268,1.772299993,-0.9085918511,120,time_exit,120
761,GBP_JPY,-1.00037223,0.3041119199,-1.017304623,11,stoploss,7
763,GBP_JPY,2.05106761,2.370714511,-0.1394015649,120,time_exit,118
764,CHF_JPY,1.797866433,2.532876533,-0.1097227308,120,time_exit,110
766,USD_CHF,-1.00186421,1.217329346,-1.135304091,17,stoploss,10
768,AUD_JPY,2.809898833,5.460302788,-0.2083020537,120,time_exit,78
770,NZD_JPY,2.1169259,4.193589946,-0.3348091013,120,time_exit,72
771,USD_CHF,3.657190497,4.185079474,-0.08975633914,120,time_exit,87
773,USD_JPY,3.068034362,3.367191607,-0.3889999954,120,time_exit,111
774,EUR_JPY,5.540408115,7.46803666,-0.1422354162,120,time_exit,102
781,AUD_NZD,3.948622311,4.490053902,-0.9753060648,120,time_exit,117
782,CAD_JPY,3.685264922,4.3017289,-0.6921700807,120,time_exit,113
783,GBP_JPY,5.922583446,6.509132026,-0.5169932614,120,time_exit,116
785,CHF_JPY,3.905912164,8.218877243,-0.912876023,120,time_exit,94
791,EUR_JPY,6.842495808,7.082207572,-0.1948295616,120,time_exit,119
794,AUD_JPY,5.195579327,6.542920842,-0.4360201401,120,time_exit,84
796,CHF_JPY,2.919846088,5.817300718,-0.2239145773,120,time_exit,69
799,EUR_NZD,2.316540835,2.508274295,-0.9243269792,120,time_exit,120
800,USD_JPY,6.386178357,9.403631808,-0.6250100226,120,time_exit,61
802,AUD_NZD,-0.1114052712,2.165073494,-0.7871661925,120,time_exit,71
808,AUD_NZD,4.037125853,4.650338171,-0.1615545199,120,time_exit,88
816,AUD_USD,-1.001240762,1.996385699,-1.013702372,23,stoploss,13
819,EUR_JPY,-1.000654846,0.8100444656,-1.005188565,17,stoploss,11
827,USD_CHF,5.038710048,6.49293235,-0.6047100541,120,time_exit,104
831,EUR_JPY,1.326940092,1.807146345,-0.4498919418,120,time_exit,117
834,CAD_JPY,0.5450213821,1.724468285,-0.651618624,120,time_exit,89
836,GBP_CHF,-1.001072953,1.468872536,-1.797196127,86,stoploss,71
841,CHF_JPY,-1.001948003,0.6973849491,-1.022701392,24,stoploss,20
856,GBP_JPY,-1.000672691,1.07697888,-1.998566054,6,stoploss,5
863,EUR_GBP,-0.5391131736,2.623590025,-0.9187504607,120,time_exit,104
865,GBP_CAD,-1.000676445,0.3111647881,-1.002491774,9,stoploss,6
866,GBP_CHF,-1.000865315,0.6723501367,-1.009823178,10,stoploss,7
870,USD_CAD,3.689883406,5.311195811,-0.7039759002,120,time_exit,105
871,USD_CHF,3.1231167,4.230565423,-0.7067637578,120,time_exit,101
883,CHF_JPY,-1.001593652,0.5083749363,-1.188864271,18,stoploss,13
886,AUD_USD,-1.001036832,1.99382839,-1.098005338,56,stoploss,42
893,AUD_CAD,-1.001260694,2.232688593,-1.022422614,47,stoploss,35
896,AUD_NZD,2.216882096,2.604188252,-0.5590821075,120,time_exit,120
897,CAD_CHF,7.147013574,7.191799038,-0.1156957811,120,time_exit,119
901,CHF_JPY,-1.001725044,2.120078982,-1.317933558,44,stoploss,27
903,CAD_JPY,-1.001854241,1.058771649,-1.134795533,24,stoploss,20
925,GBP_USD,3.849577964,5.833381703,-0.4421567143,120,time_exit,87
928,AUD_CHF,-1.001164529,3.958233903,-1.074860222,119,stoploss,66
929,AUD_USD,2.515237773,3.264934613,-0.9778230566,120,time_exit,85
930,CAD_JPY,1.858915624,4.465771416,-0.2566032547,120,time_exit,81
931,CHF_JPY,3.488069774,3.883954994,-0.5385465602,120,time_exit,115
933,AUD_JPY,1.847871048,3.276061538,-0.6494676308,120,time_exit,69
934,GBP_JPY,1.985865895,4.195929425,-0.5877613664,120,time_exit,69
935,NZD_JPY,1.740824413,3.080731689,-0.6963297652,120,time_exit,70
936,NZD_USD,4.12529128,4.574886254,-0.01487209835,120,time_exit,115
937,EUR_JPY,2.080887861,3.668564242,-0.1042604769,120,time_exit,63
941,GBP_CHF,-1.001228973,6.128885939,-1.935631713,93,stoploss,46
948,AUD_CAD,4.304777319,5.342145723,-0.2910059624,120,time_exit,120
964,CAD_CHF,-1.007272876,2.009131917,-1.689125386,27,stoploss,23
965,AUD_NZD,-1.001953205,1.119186468,-1.373103119,44,stoploss,36
966,NZD_CHF,-1.006959786,0.9378312055,-1.588571226,17,stoploss,10
972,NZD_CHF,-1.005700592,0.866489949,-1.208525455,14,stoploss,10
975,GBP_CHF,-1.001729294,2.186692687,-1.479411304,72,stoploss,45
984,CHF_JPY,1.734713498,1.898527176,-0.3740819805,120,time_exit,120
986,GBP_JPY,-1.000820994,1.25653187,-1.227797068,70,stoploss,51
987,NZD_JPY,1.032537349,1.839986088,-0.6480739176,120,time_exit,104
988,NZD_USD,2.631273009,3.808796158,-0.4826848215,120,time_exit,81
994,GBP_AUD,-1.00129126,0.8651441241,-1.093697124,45,stoploss,31
998,USD_CHF,-1.001321251,0.5430341662,-1.037182045,19,stoploss,12
1003,AUD_CHF,2.446324609,3.590835679,-0.3742713925,120,time_exit,113
1004,CAD_CHF,3.302343424,3.904065758,-0.06844235076,120,time_exit,119
1006,AUD_JPY,4.420764958,4.56026679,-0.4794373313,120,time_exit,120
1007,CAD_JPY,5.303451533,5.789121792,-0.1489163162,120,time_exit,118
1008,GBP_CHF,0.719034819,2.120095312,-0.5146033509,120,time_exit,101
1009,GBP_JPY,3.712040473,3.789790543,-0.3603820782,120,time_exit,119
1015,NZD_JPY,6.284341816,6.610330729,-0.3146698532,120,time_exit,119
1016,CHF_JPY,6.876252915,7.093631233,-0.4658106813,120,time_exit,120
1018,EUR_JPY,7.313425149,8.249149579,-0.2866271675,120,time_exit,120
1020,CAD_CHF,6.039717737,6.221389156,-0.8912182813,120,time_exit,120
1021,CAD_JPY,9.146843877,9.590455243,-0.2464507588,120,time_exit,119
1022,GBP_CHF,-1.002293215,1.054879,-1.410327359,22,stoploss,16
1023,GBP_JPY,7.125759545,7.759845112,-0.6454374827,120,time_exit,119
1024,GBP_CHF,4.903705967,5.31395065,-0.8760433319,120,time_exit,112
1025,NZD_CHF,-0.3737902986,2.277069472,-0.8086075846,120,time_exit,79
1027,EUR_GBP,-1.001377686,1.03188664,-1.073217213,13,stoploss,9
1028,USD_CHF,-1.000951621,0.9697019411,-2.950977153,10,stoploss,9
1031,EUR_GBP,0.9361078896,2.16093116,-0.4128728481,120,time_exit,113
1036,CAD_JPY,2.395750688,5.329278645,-0.2178613163,120,time_exit,70
1037,EUR_JPY,2.459269184,4.766687443,-0.1436704035,120,time_exit,92
1042,USD_JPY,3.118603613,5.246165826,-0.1419166534,120,time_exit,72
1050,CHF_JPY,2.071550901,3.060595506,-0.04783039501,120,time_exit,68
1060,EUR_GBP,-1.001716512,2.758434616,-1.038489697,119,stoploss,91
1062,USD_CHF,-1.001221867,0.5412869841,-1.152220375,14,stoploss,11
