trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
743,2,-1,1.5063999,3.0127998,1,0,0.5333333333,1,24,15
746,2,0.4760234394,2.538791677,5.077583354,1,0,0.5275229358,0,240,221
754,2,-1,2.714047544,5.428095088,1,0,0.5263157895,1,124,40
758,2,-1,3.918098829,7.836197658,1,0,0.6304347826,1,54,46
759,2,7.045918365,9.048571072,18.09714214,1,0,0.5632183908,0,240,185
760,2,-1,2.029091496,4.058182992,1,0,0.5416666667,1,40,32
763,2,-1,1.666575918,3.333151836,1,0,0.6,1,108,55
778,2,-1,1.507300678,3.014601356,1,0,0.55,1,42,20
797,2,-1,1.072136082,2.144272164,1,0,0.6153846154,1,46,25
807,2,-1,0.6473988068,1.294797614,0,0,0.652173913,1,50,35
819,2,-1,2.450123312,4.900246624,1,0,0.512195122,1,76,65
825,2,-1,3.943613931,7.887227862,1,0,0.6279069767,1,89,51
831,2,-1,5.287652465,10.57530493,1,0,0.4375,1,73,32
846,2,-1,2.534330338,5.068660676,1,0,0.5714285714,1,108,66
852,2,-1,1.027776121,2.055552242,1,0,0.5517241379,1,36,31
855,2,-1,1.26687623,2.53375246,1,0,0.6923076923,1,32,19
857,2,-1,0.4559270695,0.911854139,0,0,0.8333333333,1,15,9
863,2,6.433340703,7.313721369,14.62744274,1,0,0.5175879397,0,240,212
871,2,-1,1.091782008,2.183564016,1,0,0.6666666667,1,36,18
872,2,-1,1.105308348,2.210616696,1,0,0.6451612903,1,63,44
906,2,2.442209914,3.441564576,6.883129152,1,0,0.4925373134,0,240,134
936,2,-1,1.28144733,2.56289466,1,0,0.5714285714,1,33,19
941,2,-1,2.600005407,5.200010814,1,0,0.6923076923,1,50,26
950,2,0.3177650074,4.171007161,8.342014322,1,0,0.5733333333,0,240,79
965,2,-1,0.9764368641,1.952873728,0,0,0.5,1,30,14
968,2,-1,2.733313024,5.466626048,1,0,0.5151515152,1,159,46
969,2,-1,0.6336872351,1.26737447,0,0,0.6,1,32,7
972,2,1.689001575,3.473767624,6.947535248,1,0,0.5574712644,0,240,192
979,2,-1,2.608347166,5.216694332,1,0,0.5263157895,1,94,45
991,2,-1,2.809044887,5.618089774,1,0,0.5714285714,1,79,42
1001,2,-1,0.9421264762,1.884252952,0,0,0.7272727273,1,17,11
1003,2,-1,1.028338616,2.056677232,1,0,0.625,1,19,11
1008,2,-1,0.7785858005,1.557171601,0,0,0.5666666667,1,69,46
1013,2,-1,1.819345807,3.638691614,1,0,0.5172413793,1,49,30
1048,2,-1,0.616839854,1.233679708,0,0,0.4705882353,1,52,28
1056,2,-1,2.285103789,4.570207578,1,0,0.6451612903,1,86,39
1063,2,-1,1.323049476,2.646098952,1,0,0.5,1,54,20
1064,2,4.933165255,7.602289006,15.20457801,1,0,0.5290322581,0,240,156
1076,2,-1,0.6047269191,1.209453838,0,0,0.625,1,16,11
1092,2,-1,0.6183607859,1.236721572,0,0,0.8,1,21,11
1095,2,-1,1.439058529,2.878117058,1,0,0.6666666667,1,80,15
1103,2,-1,0.6819676629,1.363935326,0,0,0.6666666667,1,25,10
1113,2,-1,2.439143629,4.878287258,1,0,0.5833333333,1,164,75
1115,2,-1,0.1003263464,0.2006526928,0,0,0,1,12,10
1118,2,3.315753949,8.595497673,17.19099535,1,0,0.5900621118,0,240,167
1120,2,4.029263397,7.321115568,14.64223114,1,0,0.5647668394,0,240,194
1123,2,-1,1.387084407,2.774168814,1,0,0.6818181818,1,27,26
1127,2,-1,1.460475192,2.920950384,1,0,0.8333333333,1,28,8
1147,2,-1,0.4992840529,0.9985681058,0,0,0.4444444444,1,24,13
1152,2,-1,1.451482022,2.902964044,1,0,0.5277777778,1,55,44
1162,2,-1,0.8995347274,1.799069455,0,0,0.9,1,29,23
1167,2,-1,1.470023747,2.940047494,1,0,0.5384615385,1,44,28
1173,2,-1,1.1043186,2.2086372,1,0,0.5,1,53,28
1175,2,-1,2.583659692,5.167319384,1,0,0.475,1,65,45
1185,2,-1,0.8614319396,1.722863879,0,0,0.6,1,31,6
1187,2,-1,1.404113566,2.808227132,1,0,0.6923076923,1,35,24
1190,2,-1,0.7047335844,1.409467169,0,0,0.5714285714,1,16,12
1207,2,-1,0.8402256927,1.680451385,0,0,0.6153846154,1,34,17
1214,2,-1,1.615803728,3.231607456,1,0,0.6,1,75,29
1218,2,-1,1.804265376,3.608530752,1,0,0.546875,1,83,77
1223,2,-1,1.257335553,2.514671106,1,0,0.3076923077,1,48,13
1224,2,-1,1.455366016,2.910732032,1,0,0.65,1,63,20
1228,2,-1,0.09237747791,0.1847549558,0,0,1,1,12,6
1234,2,-1,1.286051802,2.572103604,1,0,0.8181818182,1,63,12
1250,2,-1,1.79613002,3.59226004,1,0,0.7222222222,1,53,21
1260,2,-1,2.611104858,5.222209716,1,0,0.6976744186,1,120,49
1271,2,-1,3.693265524,7.386531048,1,0,0.5454545455,1,84,57
1275,2,-1,4.003722177,8.007444354,1,0,0.5251798561,1,200,140
1276,2,-1,1.424974019,2.849948038,1,0,0.625,1,46,19
1280,2,-1,3.769266002,7.538532004,1,0,0.5632183908,1,121,87
1293,2,3.218837804,4.13934948,8.27869896,1,0,0.5511111111,0,240,225
1294,2,2.122649266,3.517131433,7.034262866,1,0,0.5567010309,0,240,99
1306,2,-1,1.916857557,3.833715114,1,0,0.5333333333,1,101,57
1314,2,-1,0.9359725556,1.871945111,0,0,0.6,1,48,15
1330,2,-1,2.142800759,4.285601518,1,0,0.5652173913,1,129,74
1352,2,-1,1.185277046,2.370554092,1,0,0.4705882353,1,42,19
1356,2,-1,0.7080849757,1.416169951,0,0,0.3333333333,1,17,10
1372,2,-1,3.520908676,7.041817352,1,0,0.5609756098,1,181,42
1373,2,2.43463114,6.727455248,13.4549105,1,0,0.5192307692,0,240,166
1375,2,0.8736642669,2.345690234,4.691380468,1,0,0.5892857143,0,240,62
1377,2,-1,0.4337185436,0.8674370872,0,0,0.5333333333,1,102,61
1407,2,-1,0.4772319021,0.9544638042,0,0,0.4285714286,1,63,20
