trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
46,USD_CAD,2020-10-23 00:00:00,2020-10-23 04:00:00,1.314955,1.309033622,2020-11-05 12:00:00,1.308968622,stoploss,-1.010977174,57,4.053954706,-7.792948965,1.3,1.3,1.30807,2,10,0.002960689221,26,2020
47,USD_CHF,2020-10-23 00:00:00,2020-10-23 04:00:00,0.907995,0.9044346019,2020-10-23 12:00:00,0.9043896019,stoploss,-1.012639036,3,3.579655889,-7.225315633,0.9,0.9,0.90303,4,8,0.001780199046,0,2020
48,CHF_JPY,2020-10-23 08:00:00,2020-10-23 12:00:00,115.636,115.1366538,2020-10-27 08:00:00,115.1256538,stoploss,-1.022028804,12,4.251559221,-3.865053837,2.2,2.2,114.859,2,24,0.2496731069,4,2020
49,USD_JPY,2020-10-26 00:00:00,2020-10-26 04:00:00,104.861,104.4715396,2020-10-27 16:00:00,104.4685396,stoploss,-1.007702966,10,2.092639041,-5.099363357,0.6,0.6,104.34,2,14,0.1947301909,2,2020
50,NZD_CHF,2020-10-26 08:00:00,2020-10-26 12:00:00,0.607275,0.6035249956,2020-12-21 12:00:00,0.623815,time_exit,4.410661507,240,8.42799014,-0.947998891,1.7,1.7,0.5949,2,4,0.001875002194,154,2020
51,AUD_USD,2020-10-27 04:00:00,2020-10-27 08:00:00,0.71344,0.7084219124,2020-10-28 12:00:00,0.7083719124,stoploss,-1.009963955,8,10.06359468,-2.859655123,1,1,0.70206,4,5,0.002509043815,5,2020
52,EUR_GBP,2020-10-28 08:00:00,2020-10-28 12:00:00,0.90564,0.9008174631,2020-10-29 08:00:00,0.9007774631,stoploss,-1.00829439,6,3.593544311,-4.051809339,0.8,0.8,0.90108,2,11,0.002411268444,0,2020
53,GBP_CAD,2020-10-28 16:00:00,2020-10-28 20:00:00,1.72872,1.718492431,2020-11-02 08:00:00,1.718352431,stoploss,-1.013688493,16,2.051318431,-5.067675609,2.8,2.8,1.71105,2,8,0.005113784307,3,2020
54,GBP_CHF,2020-10-29 00:00:00,2020-10-29 04:00:00,1.182925,1.176470668,2020-12-11 00:00:00,1.176375668,stoploss,-1.014718797,186,5.798431516,-2.265920131,1.9,1.9,1.17611,1,16,0.00322716582,55,2020
55,GBP_NZD,2020-10-29 04:00:00,2020-10-29 08:00:00,1.95744,1.946690459,2020-10-29 20:00:00,1.946445459,stoploss,-1.022791671,4,0.3962959983,-9.801348916,4.8,4.9,1.93944,3,5,0.005374770396,1,2020
56,NZD_USD,2020-10-30 00:00:00,2020-10-30 04:00:00,0.664255,0.6592920843,2020-11-02 00:00:00,0.6592370843,stoploss,-1.011082195,6,10.65603433,-1.081017759,1.1,1.1,0.66283,3,8,0.002481457846,2,2020
57,EUR_NZD,2020-10-30 04:00:00,2020-10-30 08:00:00,1.76549,1.755231151,2020-10-30 12:00:00,1.755041151,stoploss,-1.018520596,2,0.1111235768,-6.90038421,3.8,3.8,1.75219,3,11,0.005129424526,0,2020
58,EUR_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,122.147,121.4627798,2020-12-28 16:00:00,126.527,time_exit,6.401448171,240,7.110284327,-0.6693751741,1.4,1.4,121.891,3,6,0.3421100884,208,2020
59,NZD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,69.552,68.97749758,2020-11-02 00:00:00,68.97249758,stoploss,-1.008703183,3,7.806755594,-1.077454117,1,1,68.967,3,6,0.2872512112,0,2020
60,USD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,104.51,104.0573395,2020-11-05 12:00:00,104.0543395,stoploss,-1.006627483,24,2.575881915,-3.6119785,0.6,0.6,104.023,3,6,0.2263302509,15,2020
61,AUD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,0.64435,0.6394564288,2020-12-29 12:00:00,0.67269,time_exit,5.791271634,240,6.870238261,-0.05926142462,1.4,1.4,0.64012,5,6,0.002446785593,233,2020
62,CAD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,0.688985,0.6854228343,2020-12-29 12:00:00,0.690775,time_exit,0.5025032982,240,4.490245952,-0.7874423193,1.5,1.5,0.68172,4,6,0.001781082837,42,2020
63,CAD_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,78.722,78.19706613,2020-12-29 12:00:00,80.898,time_exit,4.145284089,240,6.471291383,-0.09906009771,1.2,1.2,77.913,3,6,0.2624669327,169,2020
64,CHF_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,114.255,113.6724873,2020-12-29 12:00:00,117.105,time_exit,4.892596776,240,6.015318984,-0.9424686422,2.2,2.2,113.781,2,6,0.2912563747,169,2020
65,AUD_NZD,2020-11-04 12:00:00,2020-11-04 16:00:00,1.071395,1.065764756,2020-11-10 00:00:00,1.065659756,stoploss,-1.01864928,21,0.7948145732,-5.277746378,2.1,2.1,1.05898,4,8,0.002815122011,8,2020
66,AUD_USD,2020-11-04 12:00:00,2020-11-04 16:00:00,0.7138,0.7043181846,2020-12-31 16:00:00,0.77303,time_exit,6.246694036,240,6.370088127,-0.14976035,1,1,0.69909,5,8,0.004740907723,239,2020
