pair,bar_time,swing_low_used,n_swing_lows,most_recent_sl_lag,ib_passed,break_passed,fired_signal
CHF_JPY,2020-11-02 08:00:00,113.781,2,6,1,1,1
EUR_JPY,2020-11-02 08:00:00,121.616,4,7,1,1,0
NZD_JPY,2020-11-02 08:00:00,68.875,4,7,1,1,0
NZD_USD,2020-11-02 08:00:00,0.65966,3,10,1,1,0
USD_JPY,2020-11-02 08:00:00,104.023,3,7,1,1,0
EUR_JPY,2020-11-03 00:00:00,121.616,3,11,1,1,0
GBP_USD,2020-11-03 00:00:00,1.28535,5,4,1,1,0
AUD_CHF,2020-11-03 16:00:00,0.64012,5,8,1,1,0
NZD_JPY,2020-11-03 16:00:00,68.875,4,10,1,1,0
NZD_USD,2020-11-03 16:00:00,0.65889,3,8,1,1,0
AUD_NZD,2020-11-04 12:00:00,1.05898,4,8,1,1,1
AUD_USD,2020-11-04 12:00:00,0.69909,5,8,1,1,1
EUR_JPY,2020-11-04 16:00:00,121.616,3,12,1,1,0
NZD_JPY,2020-11-04 16:00:00,68.875,4,16,1,1,0
AUD_CAD,2020-11-05 08:00:00,0.92987,2,13,1,1,1
EUR_CAD,2020-11-05 08:00:00,1.53615,1,10,1,1,1
EUR_CHF,2020-11-05 08:00:00,1.06595,3,7,1,1,1
GBP_CHF,2020-11-05 08:00:00,1.17892,3,6,1,1,1
GBP_JPY,2020-11-05 08:00:00,134.4,3,18,1,1,1
GBP_USD,2020-11-05 08:00:00,1.28535,4,6,1,1,1
GBP_CHF,2020-11-05 16:00:00,1.17906,3,4,1,1,0
GBP_NZD,2020-11-05 20:00:00,1.93151,4,5,1,1,1
CHF_JPY,2020-11-06 08:00:00,113.781,6,10,1,1,1
EUR_CAD,2020-11-06 08:00:00,1.5354,3,4,1,1,0
EUR_GBP,2020-11-06 08:00:00,0.89442,3,14,1,1,1
EUR_USD,2020-11-06 08:00:00,1.16019,2,13,1,1,1
AUD_CHF,2020-11-09 00:00:00,0.64117,3,16,1,1,1
AUD_USD,2020-11-09 00:00:00,0.69909,3,17,1,1,0
CAD_JPY,2020-11-09 00:00:00,78.209,4,5,1,1,1
EUR_JPY,2020-11-09 00:00:00,121.727,3,5,1,1,1
EUR_USD,2020-11-09 00:00:00,1.16019,2,17,1,1,0
GBP_JPY,2020-11-09 00:00:00,134.871,2,10,1,1,0
GBP_USD,2020-11-09 00:00:00,1.28535,3,12,1,1,0
NZD_USD,2020-11-09 00:00:00,0.65889,2,17,1,1,1
EUR_GBP,2020-11-09 08:00:00,0.89442,3,8,1,1,0
AUD_JPY,2020-11-09 12:00:00,73.607,3,6,1,1,1
GBP_USD,2020-11-10 00:00:00,1.29137,3,8,1,1,0
EUR_CAD,2020-11-10 04:00:00,1.5354,3,15,1,1,0
EUR_USD,2020-11-10 04:00:00,1.16019,1,24,1,1,0
EUR_CHF,2020-11-10 08:00:00,1.06595,4,8,1,1,0
GBP_CHF,2020-11-10 08:00:00,1.17906,3,11,1,1,0
EUR_JPY,2020-11-10 16:00:00,121.957,2,15,1,1,0
EUR_USD,2020-11-11 00:00:00,1.16019,2,8,1,1,0
CAD_CHF,2020-11-11 08:00:00,0.68717,2,14,1,1,1
CAD_JPY,2020-11-11 08:00:00,78.873,3,7,1,1,0
EUR_CHF,2020-11-11 08:00:00,1.06657,4,4,1,1,1
GBP_CHF,2020-11-11 08:00:00,1.17906,3,17,1,1,1
GBP_JPY,2020-11-11 08:00:00,135.075,2,17,1,1,1
USD_CHF,2020-11-11 08:00:00,0.8975,1,14,1,1,1
USD_JPY,2020-11-11 08:00:00,103.175,2,17,1,1,1
NZD_USD,2020-11-11 20:00:00,0.67603,2,7,1,1,0
NZD_CHF,2020-11-12 00:00:00,0.60892,1,19,1,1,1
EUR_CAD,2020-11-12 04:00:00,1.53131,3,9,1,1,1
USD_CAD,2020-11-12 04:00:00,1.29281,3,9,1,1,1
CHF_JPY,2020-11-12 08:00:00,114.265,2,11,1,1,1
AUD_NZD,2020-11-13 00:00:00,1.0546,1,6,1,1,1
GBP_CAD,2020-11-13 00:00:00,1.70262,3,8,1,1,1
USD_CAD,2020-11-13 00:00:00,1.29281,2,14,1,1,0
EUR_CHF,2020-11-13 08:00:00,1.06692,5,6,1,1,0
GBP_CHF,2020-11-13 08:00:00,1.17977,1,29,1,1,0
GBP_CAD,2020-11-13 16:00:00,1.70262,4,7,1,1,0
EUR_USD,2020-11-13 20:00:00,1.17455,4,9,1,1,1
AUD_CAD,2020-11-16 00:00:00,0.94349,4,9,1,1,1
NZD_CAD,2020-11-16 00:00:00,0.88282,3,4,1,1,1
NZD_CHF,2020-11-16 00:00:00,0.62306,1,4,1,1,0
CHF_JPY,2020-11-16 08:00:00,114.494,3,4,1,1,0
EUR_CHF,2020-11-16 20:00:00,1.07812,3,15,1,1,1
EUR_USD,2020-11-16 20:00:00,1.17455,3,15,1,1,0
NZD_JPY,2020-11-16 20:00:00,71.478,3,7,1,1,1
EUR_AUD,2020-11-17 00:00:00,1.61443,2,20,1,1,1
GBP_CHF,2020-11-17 00:00:00,1.19876,2,4,1,1,1
GBP_JPY,2020-11-17 00:00:00,137.542,2,4,1,1,1
GBP_USD,2020-11-17 00:00:00,1.3106,2,13,1,1,1
AUD_CAD,2020-11-17 08:00:00,0.94475,4,5,1,1,0
AUD_USD,2020-11-17 08:00:00,0.72213,3,13,1,1,1
EUR_CAD,2020-11-17 08:00:00,1.53317,3,5,1,1,0
EUR_NZD,2020-11-17 08:00:00,1.70464,1,20,1,1,1
GBP_CAD,2020-11-17 08:00:00,1.71896,3,4,1,1,0
GBP_NZD,2020-11-17 08:00:00,1.90909,2,4,1,1,1
GBP_NZD,2020-11-18 00:00:00,1.90909,2,8,1,1,0
AUD_CAD,2020-11-18 08:00:00,0.94802,3,11,1,1,0
AUD_CHF,2020-11-18 08:00:00,0.66044,1,19,1,1,1
AUD_JPY,2020-11-18 08:00:00,75.756,1,19,1,1,1
AUD_USD,2020-11-18 08:00:00,0.72213,2,19,1,1,0
GBP_CHF,2020-11-18 08:00:00,1.19876,2,12,1,1,0
NZD_CAD,2020-11-18 08:00:00,0.89487,2,6,1,1,0
NZD_JPY,2020-11-18 08:00:00,71.478,1,16,1,1,0
NZD_JPY,2020-11-18 16:00:00,71.478,2,4,1,1,0
EUR_CAD,2020-11-19 08:00:00,1.54633,1,17,1,1,1
GBP_AUD,2020-11-19 08:00:00,1.79883,2,16,1,1,1
USD_CAD,2020-11-19 08:00:00,1.30633,1,11,1,1,1
CAD_CHF,2020-11-19 16:00:00,0.69307,2,13,1,1,1
NZD_CHF,2020-11-19 16:00:00,0.62306,2,12,1,1,1
EUR_USD,2020-11-20 04:00:00,1.18141,3,4,1,1,1
GBP_CAD,2020-11-20 04:00:00,1.72121,1,21,1,1,1
GBP_AUD,2020-11-20 08:00:00,1.79883,2,9,1,1,0
NZD_JPY,2020-11-20 12:00:00,71.478,3,7,1,1,1
GBP_NZD,2020-11-20 20:00:00,1.90909,3,7,1,1,1
AUD_JPY,2020-11-23 00:00:00,75.394,2,6,1,1,0
CHF_JPY,2020-11-23 00:00:00,113.766,3,6,1,1,1
EUR_JPY,2020-11-23 00:00:00,122.846,2,11,1,1,1
GBP_CHF,2020-11-23 00:00:00,1.19966,3,4,1,1,1
AUD_CHF,2020-11-23 08:00:00,0.66175,2,8,1,1,0
AUD_JPY,2020-11-23 08:00:00,75.394,2,8,1,1,0
AUD_USD,2020-11-23 08:00:00,0.72544,2,11,1,1,1
CAD_CHF,2020-11-23 08:00:00,0.69337,2,12,1,1,0
CAD_JPY,2020-11-23 08:00:00,79.228,2,13,1,1,1
EUR_CHF,2020-11-23 08:00:00,1.07884,5,6,1,1,1
EUR_JPY,2020-11-23 08:00:00,122.846,2,13,1,1,0
EUR_USD,2020-11-23 08:00:00,1.18141,3,11,1,1,0
GBP_CHF,2020-11-23 08:00:00,1.19966,3,6,1,1,0
GBP_JPY,2020-11-23 08:00:00,137.195,3,13,1,1,1
GBP_NZD,2020-11-23 08:00:00,1.90909,4,5,1,1,0
GBP_USD,2020-11-23 08:00:00,1.31956,1,10,1,1,1
USD_JPY,2020-11-23 08:00:00,103.651,4,4,1,1,1
