feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
di_minus_14,0.007774730474728045,0.006192462980309247,0.005864006366494825,0.0044329972714058676,0.005154775276257346,0.004283892067719949,0.0053723246758491374
position_in_range_20,0.004180191195237726,0.004320692895946039,0.00349433956275896,0.0027547901621105568,0.003167081817915972,0.0031355042061047404,0.00273920695865497
position_in_range_60,0.009430427943214638,0.007805883735163439,0.008656359018074641,0.007009561207440901,0.00669889983392161,0.006689724420112654,0.006698137001482449
body_ratio,0.0004356238376820426,0.0003287106696628156,0.00016293698786649862,0.00018881448534161186,0.00022579462022122635,0.00018754029681324676,0.00014734138637313005
close_in_bar,0.0003390421598894065,0.00038129266865810266,0.0002065460155641446,0.00020994377657942355,0.00025793124556083006,0.00028886273409433553,0.00018675981578432415
body_size_atr,0.00036820854339615654,0.0003563129539622378,0.00023357232473636774,0.0001488706500395789,0.0002377255272953713,0.00023043877313777775,0.00017395700017364433
prev_3_body_ratio_mean,0.0009107609870106785,0.0006419374362929833,0.0005288229882514687,0.00040636225751926276,0.00043899786080161266,0.0004268117792772469,0.00035652341929820605
prev_3_body_size_atr_mean,0.001001722751838434,0.0006604721875298048,0.0005528289633931572,0.00044312684054183564,0.000455246792396337,0.0004112975855371447,0.00040739951165710044
recent_5_bar_size_pct_atr,0.0027263571396430306,0.0026638757762535888,0.0018265771312027442,0.0013028489303958575,0.0014111174313825067,0.0012203922493573488,0.0015280134371083711
day_of_week,0.006013614996989737,0.005194703180445043,0.005150443505591233,0.00455809145893436,0.00410954048347358,0.00395412295077858,0.004503925399261008
session_marker,0.0005849780584069316,0.0010707087696725012,0.0009981863216077362,0.00086396704456585,0.0015712836846818866,0.0017537885635202591,0.0017735126005479535
hour_of_week,0.0150952806226457,0.017164612702700366,0.012847656740790527,0.009937911017896341,0.009125091753005679,0.00971484879997988,0.011310077747081267
d1_ema_50_slope_at_entry,0.056970749582201524,0.06354294713706991,0.0718360093479495,0.08326655272798847,0.08283587086031759,0.08632962088343313,0.09031257499209495
d1_close_above_ema_50,0.0038266328561455485,0.005457560980468016,0.009780541335807394,0.010499230925163635,0.010911535310320637,0.014015216324778092,0.01191374187281827
h4_ema_50_slope_at_entry,0.057998195229930695,0.04974515454503478,0.04769271798706932,0.039062309675986,0.04058615810298865,0.041057914246298545,0.04279512086034124
d1_atr_percentile_20,0.018505295582468467,0.021002729525549896,0.0234699873980825,0.019414560564363616,0.019267939788669346,0.02028068959060079,0.01724220662093524
d1_atr_percentile_60,0.046876696223808134,0.04171661015157015,0.04188936582234798,0.04096191583599941,0.04693919595454342,0.046315525574730475,0.03955672797580342
d1_range_compression_20,0.027701872559131986,0.027015894448241075,0.02399115542926849,0.02454800638560232,0.02226039272005395,0.023472219096072163,0.02542876915454715
d1_realised_vol_20,0.05366284124605116,0.0571190141210659,0.056674738812624116,0.05874683398374077,0.06568941096912102,0.0632380224125939,0.06182288389938745
d1_atr_14_normalised,0.055121553923802996,0.06956568839327851,0.06210063811179482,0.0614658150616786,0.05830191310076558,0.06547405266168983,0.06198403230026282
d1_higher_highs_5,0.009607958865160323,0.00782987856419223,0.009643761394713997,0.007075786375095603,0.008106624357350933,0.008222412542966495,0.008939153055860669
d1_higher_lows_5,0.013805859574243375,0.013477317092252429,0.010877468653125525,0.009436002713994817,0.00818322624342916,0.008768379742041723,0.008790350931946378
d1_swing_state,0.008393104729047285,0.007308053934690464,0.007373430824589848,0.007718166466188614,0.006931964367251016,0.007071521731895531,0.007135186666397374
d1_ema_stack_up,0.0037391868347879703,0.008414318572081097,0.008682538476135813,0.012782088713358397,0.009182304285129688,0.00942548723407615,0.009281193640405534
d1_momentum_5_atr,0.03735349299554929,0.033478677072617126,0.0470930523473547,0.03477799091476371,0.03401004109507329,0.032470593930083586,0.030737089179340437
d1_momentum_20_atr,0.052944393909869734,0.04193166812885946,0.042802416181225135,0.04532019588671247,0.04812542333292647,0.045726650252743604,0.04442778772525476
h4_ema_stack_up,0.00536208751747571,0.006634567130899967,0.005827055040228954,0.0059964589105363135,0.006016183738386467,0.0050329492743283995,0.004010625651972969
w_ema_20_slope,0.08728051025215736,0.08548826874773116,0.09171177547129529,0.07615739743812544,0.0767563801411843,0.0830024319099409,0.08613395317322975
cross_tf_trend_alignment,0.006071478890165783,0.0076431858664403815,0.005246940965494891,0.007339129932822711,0.006173295254906858,0.00653316288837961,0.0061524498489393085
cross_tf_trend_strong_up,0.0030167819145878066,0.005751530252164595,0.0027411894452645472,0.003326832903261462,0.0029152098752414355,0.0031089922696313993,0.002959628245317468
d1_h4_slope_agreement,0.0031132627927009304,0.003079835923574073,0.0027209319948813125,0.0052561749864536295,0.004546093560550244,0.004867673715094685,0.004484156180357156
dxy_proxy_ema_20_slope,0.02495884080840314,0.02272881861198995,0.02250707578704469,0.017193771458504082,0.016436662363340928,0.015980288960614382,0.016043365094212145
