trade_id,race_condition,mae_mfe_ratio_winners
748,-9.0,0.5681831
749,-45.0,
750,-78.0,0.25193807
751,-9.0,0.26315826
752,-236.0,
753,-237.0,1.1029409
754,-237.0,0.52941144
755,-10.0,
756,-237.0,1.1259835
757,-235.0,0.6677311
758,-234.0,0.39168623
759,-237.0,0.41210297
760,-98.0,0.26773503
761,237.0,
762,22.0,
763,237.0,
764,-40.0,0.22350809
765,157.0,0.07982523
766,30.0,
767,-75.0,0.1381377
768,-47.0,0.27644932
769,-220.0,0.5255478
770,16.0,
771,32.0,
772,-235.0,0.047146387
773,-38.0,0.011560681
774,25.0,0.40250587
775,15.0,
776,40.0,
777,38.0,
778,33.0,
779,-198.0,0.43902397
780,222.0,3.4936602
781,-221.0,1.2133319
782,-32.0,
783,-201.0,0.52191263
784,-18.0,
785,80.0,
786,-218.0,0.41092575
787,-210.0,0.37430227
788,-14.0,0.5523472
789,-14.0,0.84905636
790,-22.0,0.18494277
791,-233.0,0.07042222
792,-239.0,0.004511271
793,14.0,0.1307694
794,167.0,
795,66.0,
796,229.0,0.32732677
797,220.0,0.44360828
798,229.0,
799,231.0,0.18352023
800,229.0,0.72000086
801,6.0,
802,24.0,1.7333305
803,235.0,
804,208.0,
805,217.0,0.41633207
806,28.0,0.091221884
807,-239.0,0.09653924
808,-239.0,0.09861962
809,-14.0,0.1558587
810,-240.0,0.06929241
811,236.0,
812,31.0,0.7301591
813,19.0,
814,219.0,0.09163348
815,38.0,0.27784654
816,-220.0,
817,-5.0,0.5942031
818,36.0,2.12664
819,31.0,
820,234.0,1.3489356
821,-223.0,
822,33.0,
823,-23.0,
824,-15.0,0.5480988
825,30.0,1.0431623
826,18.0,
827,-230.0,
828,-138.0,
829,-19.0,0.123123616
830,-238.0,0.0958902
831,-238.0,0.18840519
832,-238.0,0.044586107
833,240.0,
834,239.0,
835,234.0,
836,-87.0,1.5907509
837,12.0,
838,11.0,
839,-11.0,0.058365684
840,-11.0,0.0031152626
841,11.0,1.0672271
842,-3.0,0.029850785
843,11.0,
844,2.0,
845,7.0,0.4821989
846,-47.0,0.1268529
847,1.0,0.9379858
848,-13.0,
849,-3.0,
850,-8.0,
851,-3.0,
852,-2.0,
853,-82.0,1.1852869
854,-13.0,0.07818948
855,-98.0,
856,0.0,1.1995836
857,-36.0,0.09090916
858,-209.0,
859,14.0,
860,10.0,
861,-110.0,
862,14.0,
863,10.0,
864,10.0,0.7042524
865,-206.0,0.713321
866,31.0,
867,-208.0,
868,10.0,
869,77.0,0.51020426
870,69.0,0.44951826
871,34.0,
872,42.0,
873,47.0,
874,29.0,
875,-238.0,0.026373599
876,-227.0,0.03768842
877,-227.0,0.05560625
878,-117.0,0.0570238
879,-231.0,0.029495617
880,-234.0,0.3089709
881,-239.0,0.056472704
882,-231.0,0.114199966
883,31.0,
884,-227.0,0.05084763
885,231.0,
886,233.0,
887,77.0,
888,-229.0,0.3176475
889,-183.0,0.061946873
890,69.0,0.33823535
891,-238.0,0.06759898
892,-214.0,0.39427537
893,-236.0,0.31635654
894,-239.0,0.085714065
895,-235.0,0.023148099
896,62.0,1.0170941
897,-169.0,0.67176574
898,-236.0,0.958042
899,-233.0,0.7640454
900,89.0,0.4259249
901,-216.0,
902,237.0,
903,17.0,
904,-82.0,
905,238.0,
906,74.0,
907,73.0,
908,216.0,
909,212.0,0.19218296
910,-231.0,0.0063290815
911,237.0,
912,69.0,0.1052629
913,-221.0,
914,-222.0,0.5277213
915,-48.0,
916,-222.0,0.3824754
917,25.0,
918,-215.0,0.2355772
919,-177.0,0.9365753
