trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,final_r,spread_pips_used,spread_pips_exit,fold
57,EUR_NZD,2020-10-30 04:00:00,2020-10-30 08:00:00,2020-10-30 12:00:00,stoploss,2,-1.018520596,3.8,3.8,1
58,EUR_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,2020-12-28 16:00:00,time_exit,240,6.401448171,1.4,1.4,1
59,NZD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,2020-11-02 00:00:00,stoploss,3,-1.008703183,1,1,1
60,USD_JPY,2020-10-30 12:00:00,2020-10-30 16:00:00,2020-11-05 12:00:00,stoploss,24,-1.006627483,0.6,0.6,1
61,AUD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,2020-12-29 12:00:00,time_exit,240,5.791271634,1.4,1.4,1
62,CAD_CHF,2020-11-02 08:00:00,2020-11-02 12:00:00,2020-12-29 12:00:00,time_exit,240,0.5025032982,1.5,1.5,1
63,CAD_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,2020-12-29 12:00:00,time_exit,240,4.145284089,1.2,1.2,1
64,CHF_JPY,2020-11-02 08:00:00,2020-11-02 12:00:00,2020-12-29 12:00:00,time_exit,240,4.892596776,2.2,2.2,1
65,AUD_NZD,2020-11-04 12:00:00,2020-11-04 16:00:00,2020-11-10 00:00:00,stoploss,21,-1.01864928,2.1,2.1,1
66,AUD_USD,2020-11-04 12:00:00,2020-11-04 16:00:00,2020-12-31 16:00:00,time_exit,240,6.246694036,1,1,1
67,AUD_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,2021-01-04 12:00:00,time_exit,240,4.124707705,1.9,1.9,1
68,EUR_CAD,2020-11-05 08:00:00,2020-11-05 12:00:00,2020-11-09 12:00:00,stoploss,13,-1.017254206,3.7,3.7,1
69,EUR_CHF,2020-11-05 08:00:00,2020-11-05 12:00:00,2021-01-04 12:00:00,time_exit,240,2.659840108,1,1,1
70,GBP_JPY,2020-11-05 08:00:00,2020-11-05 12:00:00,2021-01-04 12:00:00,time_exit,240,3.903316732,2.4,2.4,1
71,GBP_NZD,2020-11-05 20:00:00,2020-11-06 00:00:00,2020-11-09 12:00:00,stoploss,10,-1.015693824,4.8,4.8,1
72,EUR_GBP,2020-11-06 08:00:00,2020-11-06 12:00:00,2020-11-10 08:00:00,stoploss,12,-1.006325687,0.8,0.8,1
73,EUR_USD,2020-11-06 08:00:00,2020-11-06 12:00:00,2020-11-11 12:00:00,stoploss,19,-1.00412077,0.7,0.7,1
74,NZD_USD,2020-11-09 00:00:00,2020-11-09 04:00:00,2021-01-06 04:00:00,time_exit,240,6.713510618,1.1,1.1,1
75,AUD_JPY,2020-11-09 12:00:00,2020-11-09 16:00:00,2020-11-12 20:00:00,stoploss,20,-1.005079949,0.9,0.9,1
76,USD_CHF,2020-11-11 08:00:00,2020-11-11 12:00:00,2020-11-16 00:00:00,stoploss,16,-1.007387982,0.9,0.9,1
77,USD_JPY,2020-11-11 08:00:00,2020-11-11 12:00:00,2020-11-13 12:00:00,stoploss,13,-1.004261001,0.6,0.6,1
78,EUR_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,2021-01-11 08:00:00,time_exit,240,1.609350724,3.7,3.7,1
79,USD_CAD,2020-11-12 04:00:00,2020-11-12 08:00:00,2020-11-24 20:00:00,stoploss,52,-1.008919082,1.3,1.3,1
80,AUD_NZD,2020-11-13 00:00:00,2020-11-13 04:00:00,2020-11-19 12:00:00,stoploss,27,-1.021147721,2.1,2.1,1
81,GBP_CAD,2020-11-13 00:00:00,2020-11-13 04:00:00,2020-12-07 00:00:00,stoploss,96,-1.021794691,2.8,5.2,1
82,EUR_USD,2020-11-13 20:00:00,2020-11-16 00:00:00,2021-01-13 00:00:00,time_exit,240,6.790971281,0.3,0.7,1
83,NZD_CAD,2020-11-16 00:00:00,2020-11-16 04:00:00,2021-01-13 04:00:00,time_exit,240,2.640425063,2.3,2.3,1
84,NZD_JPY,2020-11-16 20:00:00,2020-11-17 00:00:00,2020-11-17 16:00:00,stoploss,5,-1.008733056,1.4,1,1
85,EUR_AUD,2020-11-17 00:00:00,2020-11-17 04:00:00,2020-12-10 16:00:00,stoploss,106,-1.012440006,2.4,2.4,1
86,EUR_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,2020-11-18 20:00:00,stoploss,9,-1.017182784,3.8,3.8,1
87,GBP_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,2020-11-26 12:00:00,stoploss,43,-1.018616693,4.8,4.8,1
88,AUD_JPY,2020-11-18 08:00:00,2020-11-18 12:00:00,2020-11-19 16:00:00,stoploss,8,-1.007942044,0.9,0.9,1
89,GBP_AUD,2020-11-19 08:00:00,2020-11-19 12:00:00,2020-11-27 12:00:00,stoploss,37,-1.018374599,4,4,1
90,NZD_JPY,2020-11-20 12:00:00,2020-11-20 16:00:00,2021-01-19 16:00:00,time_exit,240,4.322497737,1,1.4,1
91,USD_JPY,2020-11-23 08:00:00,2020-11-23 12:00:00,2020-12-16 04:00:00,stoploss,101,-1.008629358,0.6,0.6,1
92,EUR_NZD,2020-11-23 16:00:00,2020-11-23 20:00:00,2020-11-24 00:00:00,stoploss,2,-1.020944315,3.8,3.8,1
