trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
492,2,-1,-0.002729613544,-0.005459227088,0,0,0,1,20,14
493,2,-1,-0.4757385873,-0.9514771746,0,0,0,1,2,0
494,2,-1,-0.01809898655,-0.0361979731,0,0,0,1,7,2
498,2,-1,-0.159596871,-0.319193742,0,0,0,1,2,0
503,2,-1,-0.2188249169,-0.4376498338,0,0,0,1,2,0
506,2,-1,0.4866537583,0.9733075166,0,0,0,1,7,0
508,2,-1,0.04034616537,0.08069233074,0,0,0,1,3,0
509,2,-1,-0.3665325344,-0.7330650688,0,0,0,1,1,0
512,2,-1,-0.2980072205,-0.596014441,0,0,0,1,7,3
513,2,-1,-0.2597933434,-0.5195866868,0,0,0,1,4,2
516,2,-1,-0.3148840238,-0.6297680476,0,0,0,1,1,0
518,2,-1,0.04082521541,0.08165043082,0,0,0,1,22,7
525,2,-1,-0.3206779305,-0.641355861,0,0,0,1,3,0
526,2,-1,-0.07681456697,-0.1536291339,0,0,0,1,8,0
527,2,-1,0.2914177615,0.582835523,0,0,0,1,10,1
529,2,-1,0.02308563604,0.04617127208,0,0,0,1,5,4
530,2,-1,-0.5302517648,-1.06050353,0,0,0,1,1,0
540,2,-1,0.37266404,0.74532808,0,0,0,1,4,0
545,2,-1,0.1115903489,0.2231806978,0,0,0,1,4,0
547,2,-1,-0.2109719795,-0.421943959,0,0,0,1,4,0
554,2,-1,0.08601880127,0.1720376025,0,0,0,1,5,0
557,2,-1,-0.1951526983,-0.3903053966,0,0,0,1,5,0
558,2,-1,0.1107392912,0.2214785824,0,0,0,1,9,6
574,2,-1,0.0238714855,0.047742971,0,0,0,1,7,1
580,2,-1,0.07103785447,0.1420757089,0,0,0,1,20,16
584,2,-1,-0.504145704,-1.008291408,0,0,0,1,1,0
585,2,-1,0.2398139227,0.4796278454,0,0,0,1,2,0
587,2,-1,0.05495242024,0.1099048405,0,0,0,1,6,0
589,2,-1,-0.1274658021,-0.2549316042,0,0,0,1,3,0
590,2,-1,0.08611054388,0.1722210878,0,0,0,1,4,1
594,2,-1,-0.3576736005,-0.715347201,0,0,0,1,5,2
599,2,-1,-1.046429672,-2.092859344,0,1,0,1,0,0
601,2,-1,-0.6746181334,-1.349236267,0,0,0,1,2,0
603,2,-1,0.06295930868,0.1259186174,0,0,0,1,5,1
606,2,-1,0.04441675215,0.0888335043,0,0,0,1,7,0
608,2,-1,-0.1767457381,-0.3534914762,0,0,0,1,3,0
616,2,-1,-0.5167971615,-1.033594323,0,0,0,1,5,0
619,2,-1,0.1763654374,0.3527308748,0,0,0,1,7,1
620,2,-1,0.115411127,0.230822254,0,0,0,1,9,2
626,2,-1,0.1149630349,0.2299260698,0,0,0,1,14,0
629,2,-1,-0.199643046,-0.399286092,0,0,0,1,3,0
631,2,-1,0.0625154296,0.1250308592,0,0,0,1,14,1
633,2,-1,-0.2428182394,-0.4856364788,0,0,0,1,2,0
638,2,-1,0.138274774,0.276549548,0,0,0,1,6,3
639,2,-1,-0.08235152729,-0.1647030546,0,0,0,1,3,0
640,2,-1,-0.3431091088,-0.6862182176,0,0,0,1,6,2
645,2,-1,0.4163905813,0.8327811626,0,0,0,1,18,0
651,2,-1,-1.028965666,-2.057931332,0,1,0,1,0,0
653,2,-1,0.3624867402,0.7249734804,0,0,0,1,25,0
655,2,-1,0.1947632741,0.3895265482,0,0,0,1,9,0
663,2,-1,0.114613106,0.229226212,0,0,0,1,5,0
664,2,-1,0.05312464603,0.1062492921,0,0,0,1,9,6
665,2,-1,0.1087755982,0.2175511964,0,0,0,1,4,0
666,2,-1,-0.1322788551,-0.2645577102,0,0,0,1,3,2
669,2,-1,0.1585297383,0.3170594766,0,0,0,1,3,1
673,2,-1,-0.1096918011,-0.2193836022,0,0,0,1,2,0
679,2,-1,-0.08410010019,-0.1682002004,0,0,0,1,3,0
682,2,-1,-0.4202105009,-0.8404210018,0,0,0,1,3,0
685,2,-1,-0.4847090365,-0.969418073,0,0,0,1,1,0
688,2,-1,0.0343158718,0.0686317436,0,0,0,1,18,12
690,2,-1,-0.3278589241,-0.6557178482,0,0,0,1,2,0
698,2,-1,0.2515632706,0.5031265412,0,0,0,1,7,0
701,2,-1,0.0510211145,0.102042229,0,0,0,1,3,0
702,2,-1,-0.09061374607,-0.1812274921,0,0,0,1,6,0
703,2,-1,-0.3532271818,-0.7064543636,0,0,0,1,1,0
