trade_id,race_condition,mae_mfe_ratio_winners
GBP_USD_2016-02-12 12:00:00,229.0,
GBP_NZD_2016-03-15 08:00:00,232.0,
GBP_USD_2016-04-13 08:00:00,17.0,
NZD_CAD_2016-05-06 04:00:00,55.0,
NZD_CAD_2016-05-06 20:00:00,56.0,
CAD_CHF_2016-05-18 20:00:00,12.0,
CAD_CHF_2016-05-30 00:00:00,226.0,
USD_CAD_2016-06-29 20:00:00,-173.0,
NZD_JPY_2016-07-05 04:00:00,23.0,
AUD_NZD_2016-07-20 04:00:00,-39.0,0.13891082
EUR_CHF_2016-08-11 04:00:00,61.0,
EUR_USD_2016-08-12 16:00:00,-227.0,0.07571933
EUR_CAD_2016-08-24 08:00:00,18.0,
AUD_USD_2016-09-08 16:00:00,169.0,
NZD_CAD_2016-09-12 04:00:00,-40.0,0.19598855
AUD_USD_2016-09-23 20:00:00,-51.0,0.09723644
EUR_NZD_2016-10-03 16:00:00,-55.0,0.44680852
USD_JPY_2016-10-10 00:00:00,-129.0,0.10072376
CAD_JPY_2016-10-12 20:00:00,-31.0,0.44765955
CHF_JPY_2016-10-14 16:00:00,25.0,
GBP_CHF_2016-11-08 12:00:00,-1.0,
NZD_CAD_2016-10-27 12:00:00,-77.0,0.064407654
AUD_NZD_2016-11-16 08:00:00,236.0,
GBP_CAD_2016-12-06 16:00:00,229.0,
GBP_NZD_2016-12-21 00:00:00,210.0,
GBP_NZD_2016-12-21 08:00:00,212.0,
AUD_JPY_2017-01-05 00:00:00,-229.0,1.1684587
EUR_JPY_2017-01-23 04:00:00,-38.0,
GBP_AUD_2017-01-27 12:00:00,8.0,0.24739584
CAD_JPY_2017-01-30 16:00:00,37.0,
EUR_AUD_2017-03-07 12:00:00,-235.0,0.26881722
EUR_CHF_2017-03-08 16:00:00,-156.0,0.16135085
EUR_USD_2017-03-14 08:00:00,-102.0,
AUD_USD_2017-03-31 12:00:00,236.0,
AUD_CHF_2017-04-18 04:00:00,239.0,
AUD_USD_2017-05-25 08:00:00,36.0,
USD_JPY_2017-05-26 04:00:00,133.0,
NZD_CAD_2017-06-23 20:00:00,230.0,
CHF_JPY_2017-06-22 00:00:00,-174.0,0.062588505
GBP_NZD_2017-07-18 08:00:00,56.0,
GBP_JPY_2017-07-28 12:00:00,-16.0,
GBP_CAD_2017-08-03 12:00:00,135.0,0.7578616
GBP_NZD_2017-08-09 20:00:00,-38.0,0.08687943
AUD_CHF_2017-08-18 20:00:00,70.0,
EUR_CHF_2017-09-01 12:00:00,-8.0,
USD_CHF_2017-09-04 08:00:00,22.0,
CAD_CHF_2017-09-05 16:00:00,-235.0,0.19040902
USD_CHF_2017-09-15 08:00:00,-220.0,0.2904594
EUR_AUD_2017-09-25 08:00:00,-222.0,
EUR_AUD_2017-10-03 16:00:00,-226.0,5.7068963
CAD_CHF_2017-10-05 20:00:00,-78.0,0.27737224
USD_CAD_2017-09-29 20:00:00,-217.0,0.3129904
GBP_JPY_2017-10-16 12:00:00,-172.0,
AUD_CAD_2017-10-18 00:00:00,-19.0,
EUR_CHF_2017-10-13 20:00:00,-225.0,0.15298317
AUD_CAD_2017-10-27 20:00:00,-13.0,0.06527094
CAD_CHF_2017-11-07 12:00:00,-20.0,0.45787546
CAD_CHF_2017-11-10 08:00:00,214.0,
EUR_JPY_2017-11-16 12:00:00,54.0,
NZD_CAD_2017-11-30 20:00:00,34.0,
EUR_CHF_2017-12-06 12:00:00,33.0,
AUD_CHF_2017-12-18 20:00:00,-135.0,0.13137667
EUR_GBP_2017-12-27 20:00:00,-26.0,0.17738791
GBP_JPY_2017-12-26 12:00:00,-55.0,0.004984424
NZD_CAD_2018-01-02 16:00:00,-229.0,0.30598956
NZD_CAD_2018-01-03 20:00:00,-236.0,0.37774727
NZD_JPY_2018-02-02 20:00:00,235.0,1.6565655
EUR_NZD_2018-01-29 12:00:00,-81.0,0.3115972
GBP_USD_2018-02-19 04:00:00,122.0,
NZD_USD_2018-03-14 20:00:00,105.0,
GBP_USD_2018-03-16 12:00:00,-173.0,0.2818533
EUR_USD_2018-04-12 12:00:00,-25.0,0.66396755
NZD_USD_2018-04-06 00:00:00,-55.0,0.13142437
EUR_AUD_2018-04-18 20:00:00,-91.0,
AUD_CHF_2018-05-01 08:00:00,-112.0,0.22569028
EUR_GBP_2018-06-01 12:00:00,-217.0,
NZD_USD_2018-06-01 12:00:00,-66.0,0.020833332
GBP_CAD_2018-06-11 08:00:00,-139.0,0.16514203
USD_CHF_2018-06-19 00:00:00,-14.0,
GBP_NZD_2018-06-28 20:00:00,-81.0,0.016672457
EUR_USD_2018-07-10 08:00:00,232.0,
AUD_JPY_2018-07-11 20:00:00,-46.0,0.18360072
AUD_CHF_2018-07-16 12:00:00,235.0,
AUD_CHF_2018-07-16 16:00:00,230.0,1.2340425
EUR_USD_2018-07-24 04:00:00,-34.0,
AUD_USD_2018-08-29 08:00:00,232.0,
AUD_JPY_2018-08-30 04:00:00,90.0,
AUD_JPY_2018-08-29 08:00:00,89.0,
GBP_CAD_2018-09-03 08:00:00,-111.0,0.7168317
USD_JPY_2018-09-06 00:00:00,30.0,
AUD_USD_2018-09-24 12:00:00,-4.0,
AUD_CHF_2018-10-02 20:00:00,68.0,
AUD_CHF_2018-10-16 08:00:00,-237.0,0.0036231885
EUR_CHF_2018-11-08 16:00:00,236.0,
EUR_USD_2018-11-20 16:00:00,53.0,2.85
EUR_NZD_2018-12-18 00:00:00,-231.0,0.13503376
NZD_CAD_2019-01-04 20:00:00,101.0,0.9166666
CHF_JPY_2019-01-10 12:00:00,189.0,
EUR_AUD_2019-02-12 00:00:00,33.0,
NZD_CAD_2019-02-27 08:00:00,30.0,
AUD_CAD_2019-02-27 08:00:00,27.0,
AUD_CHF_2019-02-27 08:00:00,187.0,
NZD_CHF_2019-02-28 04:00:00,41.0,
EUR_JPY_2019-02-22 12:00:00,-49.0,0.06141654
EUR_AUD_2019-03-05 08:00:00,-21.0,
NZD_USD_2019-03-14 08:00:00,-44.0,0.36307055
NZD_USD_2019-03-19 20:00:00,-25.0,0.26514286
NZD_USD_2019-03-20 16:00:00,-25.0,0.025183631
AUD_CAD_2019-03-20 16:00:00,-192.0,0.029084686
EUR_GBP_2019-04-11 12:00:00,-85.0,0.05292479
USD_CAD_2019-04-22 16:00:00,-198.0,0.3089431
USD_CHF_2019-04-12 08:00:00,-206.0,0.07554123
EUR_AUD_2019-04-25 20:00:00,-224.0,
USD_CAD_2019-04-29 16:00:00,16.0,
AUD_CHF_2019-05-01 08:00:00,239.0,
NZD_CHF_2019-05-01 08:00:00,238.0,
EUR_USD_2019-05-28 16:00:00,17.0,
CAD_JPY_2019-06-12 08:00:00,23.0,
GBP_AUD_2019-06-24 00:00:00,231.0,
EUR_CAD_2019-06-25 20:00:00,230.0,
GBP_USD_2019-06-25 16:00:00,214.0,
AUD_CAD_2019-07-17 08:00:00,-38.0,0.44957983
CHF_JPY_2019-07-24 00:00:00,232.0,
USD_CAD_2019-08-05 16:00:00,-235.0,0.013257575
GBP_AUD_2019-08-20 04:00:00,-227.0,0.88
AUD_CAD_2019-09-05 08:00:00,-90.0,0.0025974023
USD_CAD_2019-10-07 12:00:00,-9.0,
AUD_NZD_2019-10-15 20:00:00,-30.0,1.4924812
USD_CHF_2019-10-29 16:00:00,36.0,
USD_CHF_2019-11-11 12:00:00,44.0,
CHF_JPY_2019-11-29 12:00:00,-235.0,0.29090908
USD_JPY_2019-12-20 20:00:00,54.0,
CAD_CHF_2020-01-06 08:00:00,221.0,1.4225353
GBP_USD_2020-01-24 08:00:00,20.0,
GBP_NZD_2020-01-24 08:00:00,-235.0,0.057583388
GBP_CHF_2020-02-03 04:00:00,48.0,
CHF_JPY_2020-02-06 08:00:00,48.0,
CHF_JPY_2020-02-25 04:00:00,102.0,
AUD_USD_2020-03-10 12:00:00,230.0,
NZD_CAD_2020-03-13 04:00:00,237.0,
EUR_CHF_2020-03-27 08:00:00,188.0,
NZD_USD_2020-03-31 08:00:00,26.0,
GBP_USD_2020-04-02 16:00:00,34.0,
CHF_JPY_2020-04-10 20:00:00,216.0,
CAD_JPY_2020-05-12 20:00:00,-218.0,0.21186441
EUR_CHF_2020-05-20 08:00:00,-234.0,0.14710484
CAD_CHF_2020-05-21 16:00:00,-198.0,0.28293917
AUD_CAD_2020-05-28 20:00:00,-234.0,0.09135629
AUD_CHF_2020-06-17 20:00:00,-122.0,
EUR_JPY_2020-07-01 04:00:00,-223.0,1.3956639
NZD_CHF_2020-07-07 08:00:00,-7.0,0.28783384
EUR_CHF_2020-07-20 12:00:00,-229.0,0.05965909
AUD_NZD_2020-07-20 08:00:00,-236.0,0.002053388
CAD_CHF_2020-08-14 08:00:00,-221.0,
USD_JPY_2020-09-07 04:00:00,228.0,
AUD_JPY_2020-09-14 08:00:00,226.0,
AUD_USD_2020-09-15 00:00:00,-27.0,0.07549857
NZD_JPY_2020-09-11 12:00:00,219.0,
CAD_CHF_2020-09-28 08:00:00,46.0,
EUR_CHF_2020-09-28 08:00:00,-26.0,
EUR_NZD_2020-09-29 08:00:00,22.0,
GBP_CHF_2020-10-12 08:00:00,86.0,
EUR_AUD_2020-10-30 08:00:00,229.0,
USD_CAD_2020-11-02 12:00:00,236.0,
USD_CHF_2020-11-03 08:00:00,1.0,
CAD_CHF_2020-11-05 00:00:00,3.0,
CAD_JPY_2020-11-05 00:00:00,-226.0,0.5974304
AUD_CHF_2020-11-09 08:00:00,-240.0,0.00700637
CAD_JPY_2020-11-27 16:00:00,-236.0,0.39526412
CAD_CHF_2020-12-08 12:00:00,-37.0,
GBP_USD_2020-12-22 00:00:00,-231.0,
NZD_CAD_2020-12-22 08:00:00,-229.0,0.016150739
GBP_JPY_2020-12-29 16:00:00,-233.0,0.040148243
CAD_CHF_2021-01-11 12:00:00,-228.0,0.055099647
USD_CHF_2021-01-12 20:00:00,-231.0,0.18662518
USD_CHF_2021-01-20 20:00:00,41.0,
NZD_JPY_2021-01-28 20:00:00,-237.0,0.070512824
NZD_CAD_2021-01-27 20:00:00,-82.0,0.3576389
EUR_JPY_2021-02-02 08:00:00,-216.0,
NZD_CAD_2021-02-02 08:00:00,-14.0,
NZD_USD_2021-02-10 08:00:00,-9.0,
AUD_CAD_2021-02-15 12:00:00,-38.0,0.061121613
AUD_CAD_2021-02-16 12:00:00,-38.0,0.08365509
EUR_CHF_2021-02-16 20:00:00,-236.0,0.009314705
GBP_NZD_2021-03-02 20:00:00,-230.0,
EUR_AUD_2021-03-26 00:00:00,42.0,
GBP_NZD_2021-03-22 08:00:00,-104.0,0.1505003
NZD_CHF_2021-04-05 16:00:00,235.0,
AUD_CHF_2021-04-02 08:00:00,223.0,
AUD_JPY_2021-04-02 08:00:00,47.0,
AUD_JPY_2021-04-19 00:00:00,-4.0,
AUD_JPY_2021-04-19 16:00:00,-6.0,
GBP_CAD_2021-04-22 08:00:00,239.0,
GBP_USD_2021-04-28 00:00:00,-10.0,
GBP_CHF_2021-05-13 16:00:00,-34.0,0.51532036
GBP_CHF_2021-06-01 08:00:00,90.0,
CAD_CHF_2021-06-01 16:00:00,-20.0,
NZD_USD_2021-06-08 16:00:00,223.0,0.36448598
CHF_JPY_2021-06-28 04:00:00,133.0,
CAD_JPY_2021-06-28 04:00:00,234.0,
AUD_CHF_2021-06-29 04:00:00,28.0,
GBP_CAD_2021-07-01 08:00:00,12.0,1.6168582
EUR_CHF_2021-06-24 16:00:00,-7.0,
GBP_NZD_2021-07-01 08:00:00,17.0,
GBP_AUD_2021-07-02 12:00:00,12.0,
GBP_NZD_2021-07-14 00:00:00,57.0,
USD_JPY_2021-07-14 12:00:00,112.0,
USD_JPY_2021-07-27 00:00:00,62.0,
NZD_JPY_2021-07-27 08:00:00,-54.0,
NZD_JPY_2021-08-09 20:00:00,-22.0,0.20391706
CAD_JPY_2021-08-27 12:00:00,-71.0,0.058222678
GBP_AUD_2021-09-17 08:00:00,-16.0,
AUD_JPY_2021-09-29 12:00:00,-222.0,1.0352423
EUR_GBP_2021-10-01 08:00:00,239.0,
AUD_USD_2021-10-13 12:00:00,-129.0,0.009830206
NZD_CAD_2021-10-22 12:00:00,-129.0,0.059365403
NZD_CAD_2021-10-27 08:00:00,-24.0,
USD_CHF_2021-11-15 00:00:00,-192.0,0.023655912
GBP_NZD_2021-11-18 08:00:00,-226.0,0.49848026
GBP_NZD_2021-11-18 20:00:00,-230.0,0.6195219
USD_CAD_2021-11-16 00:00:00,-237.0,0.010856453
CAD_CHF_2021-11-26 00:00:00,239.0,
EUR_GBP_2021-12-02 08:00:00,-53.0,0.252505
USD_CHF_2021-12-08 12:00:00,-9.0,
GBP_AUD_2021-12-21 16:00:00,-193.0,0.5429017
GBP_AUD_2022-01-05 08:00:00,-220.0,0.10071244
NZD_CHF_2022-01-13 20:00:00,208.0,
GBP_USD_2022-02-04 12:00:00,-65.0,0.11538462
EUR_AUD_2022-02-01 12:00:00,-64.0,0.23713034
CAD_CHF_2022-02-10 20:00:00,-4.0,
EUR_USD_2022-02-18 12:00:00,231.0,
GBP_CAD_2022-02-15 08:00:00,-31.0,0.3642465
GBP_CAD_2022-02-15 20:00:00,-30.0,0.3576199
AUD_USD_2022-02-18 16:00:00,-13.0,0.01038961
AUD_JPY_2022-02-18 16:00:00,-225.0,
USD_CHF_2022-02-28 08:00:00,34.0,
USD_JPY_2022-02-28 12:00:00,33.0,
NZD_USD_2022-02-25 16:00:00,-230.0,0.2888666
GBP_NZD_2022-04-12 12:00:00,1.0,1.1123893
EUR_NZD_2022-04-19 20:00:00,-230.0,0.2283933
EUR_NZD_2022-04-21 04:00:00,-240.0,0.001242236
EUR_CAD_2022-05-26 16:00:00,225.0,
NZD_CAD_2022-06-21 12:00:00,226.0,
EUR_CAD_2022-06-24 12:00:00,229.0,
EUR_CAD_2022-06-21 16:00:00,-24.0,
GBP_AUD_2022-06-27 12:00:00,201.0,
NZD_USD_2022-07-21 08:00:00,-152.0,0.10545791
AUD_NZD_2022-07-20 04:00:00,-234.0,0.007032349
CAD_JPY_2022-07-28 00:00:00,156.0,
NZD_USD_2022-07-22 04:00:00,-150.0,0.19307359
NZD_CAD_2022-08-08 16:00:00,-43.0,0.029542921
AUD_CHF_2022-08-15 08:00:00,46.0,
EUR_NZD_2022-08-30 08:00:00,-239.0,0.008846426
USD_CHF_2022-08-24 08:00:00,-71.0,0.18189403
EUR_AUD_2022-09-02 20:00:00,-226.0,0.3092869
EUR_CAD_2022-09-26 20:00:00,-224.0,0.20032796
EUR_CHF_2022-10-06 16:00:00,-211.0,0.2360396
USD_CHF_2022-11-02 08:00:00,-16.0,0.2966612
CAD_JPY_2022-11-08 08:00:00,228.0,
EUR_AUD_2022-11-22 08:00:00,-14.0,
EUR_CHF_2022-12-06 20:00:00,-200.0,
EUR_GBP_2022-12-19 08:00:00,-236.0,0.019526627
EUR_CHF_2022-12-27 20:00:00,-183.0,
CAD_CHF_2023-01-09 12:00:00,-30.0,1.3956834
CAD_CHF_2023-01-30 20:00:00,230.0,
USD_CHF_2023-02-07 16:00:00,-100.0,0.08637236
CAD_CHF_2023-02-07 12:00:00,11.0,
EUR_NZD_2023-02-07 16:00:00,-207.0,
CAD_CHF_2023-02-15 08:00:00,32.0,0.8656717
EUR_AUD_2023-02-20 04:00:00,-230.0,
EUR_GBP_2023-02-20 12:00:00,62.0,
EUR_AUD_2023-02-23 20:00:00,-237.0,0.09040444
USD_JPY_2023-02-07 16:00:00,-221.0,0.11724138
USD_JPY_2023-02-08 08:00:00,-224.0,0.13498366
CAD_CHF_2023-02-28 12:00:00,-14.0,0.4103672
EUR_GBP_2023-03-09 12:00:00,236.0,
EUR_USD_2023-03-15 08:00:00,24.0,
NZD_CAD_2023-03-15 16:00:00,-50.0,0.55288464
NZD_USD_2023-03-21 00:00:00,9.0,
AUD_CHF_2023-03-21 08:00:00,239.0,
USD_CHF_2023-03-20 12:00:00,227.0,
GBP_USD_2023-03-15 12:00:00,-231.0,0.13260795
EUR_NZD_2023-03-24 08:00:00,-234.0,0.015008338
AUD_CHF_2023-05-11 12:00:00,101.0,
USD_CAD_2023-05-15 16:00:00,-84.0,0.22488038
AUD_CHF_2023-05-17 20:00:00,51.0,
EUR_CHF_2023-06-14 12:00:00,-109.0,0.1163227
EUR_CHF_2023-06-29 12:00:00,202.0,
NZD_USD_2023-07-06 12:00:00,-96.0,0.15946844
AUD_USD_2023-07-18 08:00:00,234.0,
EUR_GBP_2023-07-21 16:00:00,231.0,
GBP_CAD_2023-08-09 20:00:00,-120.0,0.28942117
EUR_CAD_2023-08-08 20:00:00,-115.0,0.07868253
AUD_NZD_2023-08-25 20:00:00,-108.0,0.35174954
AUD_NZD_2023-08-31 20:00:00,44.0,
AUD_CAD_2023-10-03 04:00:00,-40.0,
EUR_USD_2023-10-12 12:00:00,37.0,
GBP_AUD_2023-10-17 00:00:00,20.0,
