trade_id,local_peaks_count,monotonicity_ratio_in_profit
EUR_AUD_2023-10-17 00:00:00,10,0.5384615384615384
EUR_AUD_2025-06-02 12:00:00,2,0.5
EUR_CAD_2010-05-24 08:00:00,1,1.0
EUR_CAD_2011-02-25 08:00:00,0,
EUR_CAD_2012-06-15 08:00:00,2,0.5
EUR_CAD_2012-11-27 08:00:00,15,0.7027027027027027
EUR_CAD_2016-08-24 08:00:00,2,0.6666666666666666
EUR_CAD_2019-06-25 20:00:00,0,0.0
EUR_CAD_2022-05-26 16:00:00,2,0.3333333333333333
EUR_CAD_2022-06-21 16:00:00,4,0.5833333333333334
EUR_CAD_2022-06-24 12:00:00,0,
EUR_CAD_2022-09-26 20:00:00,13,0.65
EUR_CAD_2023-08-08 20:00:00,7,0.5
EUR_CHF_2013-12-31 16:00:00,12,0.5555555555555556
EUR_CHF_2015-06-05 16:00:00,8,0.4583333333333333
EUR_CHF_2015-07-13 16:00:00,2,0.5
EUR_CHF_2015-11-20 20:00:00,1,1.0
EUR_CHF_2016-08-11 04:00:00,0,
EUR_CHF_2017-03-08 16:00:00,3,0.7142857142857143
EUR_CHF_2017-09-01 12:00:00,1,0.25
EUR_CHF_2017-10-13 20:00:00,15,0.5952380952380952
EUR_CHF_2017-12-06 12:00:00,7,0.5
EUR_CHF_2018-11-08 16:00:00,0,
EUR_CHF_2020-03-27 08:00:00,1,
EUR_CHF_2020-05-20 08:00:00,2,0.3076923076923077
EUR_CHF_2020-07-20 12:00:00,7,0.5
EUR_CHF_2020-09-28 08:00:00,1,0.0
EUR_CHF_2021-02-16 20:00:00,23,0.7142857142857143
EUR_CHF_2021-06-24 16:00:00,6,0.6956521739130435
EUR_CHF_2022-10-06 16:00:00,23,0.5454545454545454
EUR_CHF_2022-12-06 20:00:00,5,0.5652173913043478
EUR_CHF_2022-12-27 20:00:00,2,0.6666666666666666
EUR_CHF_2023-06-14 12:00:00,4,0.6666666666666666
EUR_CHF_2023-06-29 12:00:00,2,0.5714285714285714
EUR_CHF_2024-12-25 16:00:00,9,0.5185185185185185
EUR_CHF_2025-03-10 08:00:00,6,0.47368421052631576
EUR_CHF_2025-06-24 08:00:00,0,
EUR_GBP_2010-02-23 16:00:00,16,0.525
EUR_GBP_2011-09-23 08:00:00,1,0.0
EUR_GBP_2012-06-06 08:00:00,3,0.3333333333333333
EUR_GBP_2015-06-05 12:00:00,6,0.5
EUR_GBP_2017-12-27 20:00:00,5,0.5
EUR_GBP_2018-06-01 12:00:00,0,
EUR_GBP_2019-04-11 12:00:00,7,0.5483870967741935
EUR_GBP_2021-10-01 08:00:00,0,
EUR_GBP_2021-12-02 08:00:00,4,0.4
EUR_GBP_2022-12-19 08:00:00,13,0.6136363636363636
EUR_GBP_2023-02-20 12:00:00,0,0.5
EUR_GBP_2023-03-09 12:00:00,3,0.5
EUR_GBP_2023-07-21 16:00:00,1,0.5
EUR_GBP_2023-10-27 20:00:00,3,0.4
EUR_GBP_2023-12-25 08:00:00,1,0.6666666666666666
EUR_GBP_2024-03-14 20:00:00,1,0.3333333333333333
EUR_GBP_2024-11-04 20:00:00,0,0.25
EUR_GBP_2024-12-24 12:00:00,1,0.3333333333333333
EUR_GBP_2024-12-24 20:00:00,0,0.0
EUR_GBP_2025-01-07 12:00:00,7,0.5416666666666666
EUR_GBP_2025-04-01 16:00:00,5,1.0
EUR_JPY_2010-05-11 20:00:00,1,0.6666666666666666
EUR_JPY_2010-07-19 16:00:00,3,0.5714285714285714
EUR_JPY_2010-11-05 08:00:00,0,0.0
EUR_JPY_2011-05-02 12:00:00,0,0.0
EUR_JPY_2011-08-29 08:00:00,1,0.2
EUR_JPY_2013-03-13 08:00:00,4,0.7
EUR_JPY_2013-08-05 04:00:00,0,
EUR_JPY_2013-10-01 04:00:00,0,
EUR_JPY_2014-02-21 08:00:00,0,0.3888888888888889
EUR_JPY_2014-07-04 04:00:00,0,
EUR_JPY_2015-02-23 08:00:00,4,0.6363636363636364
EUR_JPY_2015-06-30 00:00:00,2,1.0
EUR_JPY_2015-08-25 12:00:00,0,
EUR_JPY_2015-09-15 04:00:00,5,0.5882352941176471
EUR_JPY_2015-10-22 04:00:00,0,
EUR_JPY_2017-01-23 04:00:00,2,0.0
EUR_JPY_2017-11-16 12:00:00,1,
EUR_JPY_2019-02-22 12:00:00,12,0.5588235294117647
EUR_JPY_2020-07-01 04:00:00,1,0.75
EUR_JPY_2021-02-02 08:00:00,0,
EUR_JPY_2024-01-09 00:00:00,10,0.5714285714285714
EUR_JPY_2024-12-17 16:00:00,2,0.5714285714285714
EUR_JPY_2025-04-15 12:00:00,7,0.58
EUR_JPY_2025-05-30 04:00:00,6,0.8235294117647058
EUR_JPY_2025-08-19 16:00:00,0,
EUR_JPY_2025-08-25 16:00:00,0,
EUR_NZD_2013-01-16 12:00:00,1,0.6666666666666666
EUR_NZD_2014-10-27 16:00:00,1,0.0
EUR_NZD_2014-12-17 16:00:00,0,1.0
EUR_NZD_2016-10-03 16:00:00,11,0.631578947368421
EUR_NZD_2018-01-29 12:00:00,7,0.5172413793103449
EUR_NZD_2018-12-18 00:00:00,13,0.6842105263157895
EUR_NZD_2020-09-29 08:00:00,3,0.2857142857142857
EUR_NZD_2022-04-19 20:00:00,13,0.6428571428571429
EUR_NZD_2022-04-21 04:00:00,11,0.5714285714285714
EUR_NZD_2022-08-30 08:00:00,8,0.5714285714285714
EUR_NZD_2023-02-07 16:00:00,1,0.5833333333333334
EUR_NZD_2023-03-24 08:00:00,4,0.3333333333333333
EUR_NZD_2024-08-16 04:00:00,0,
EUR_NZD_2025-02-14 08:00:00,0,
EUR_USD_2010-04-15 08:00:00,1,0.6
EUR_USD_2012-01-25 08:00:00,8,0.6470588235294118
EUR_USD_2012-10-19 08:00:00,3,0.375
EUR_USD_2013-07-19 08:00:00,13,0.58
EUR_USD_2014-10-17 12:00:00,5,0.4
EUR_USD_2016-08-12 16:00:00,10,0.6206896551724138
EUR_USD_2017-03-14 08:00:00,1,
EUR_USD_2018-04-12 12:00:00,1,0.5
EUR_USD_2018-07-10 08:00:00,4,0.8
EUR_USD_2018-07-24 04:00:00,5,0.5
EUR_USD_2018-11-20 16:00:00,1,1.0
EUR_USD_2019-05-28 16:00:00,1,1.0
EUR_USD_2022-02-18 12:00:00,3,1.0
EUR_USD_2023-03-15 08:00:00,0,
EUR_USD_2023-10-12 12:00:00,0,
EUR_USD_2024-08-08 12:00:00,14,0.5483870967741935
EUR_USD_2025-05-22 16:00:00,2,0.6666666666666666
EUR_USD_2025-11-28 08:00:00,4,0.4
GBP_AUD_2012-08-21 04:00:00,14,0.6666666666666666
GBP_AUD_2013-07-16 04:00:00,0,
GBP_AUD_2013-10-02 16:00:00,1,
GBP_AUD_2014-06-18 20:00:00,1,0.0
GBP_AUD_2014-10-21 12:00:00,1,0.5
GBP_AUD_2017-01-27 12:00:00,1,0.3333333333333333
GBP_AUD_2019-06-24 00:00:00,1,
GBP_AUD_2019-08-20 04:00:00,2,0.5714285714285714
GBP_AUD_2021-07-02 12:00:00,0,0.0
GBP_AUD_2021-09-17 08:00:00,3,0.42857142857142855
GBP_AUD_2021-12-21 16:00:00,2,1.0
GBP_AUD_2022-01-05 08:00:00,9,0.7647058823529411
GBP_AUD_2022-06-27 12:00:00,3,0.5
GBP_AUD_2023-10-17 00:00:00,0,
GBP_AUD_2023-12-07 08:00:00,0,
GBP_AUD_2024-01-10 04:00:00,4,0.5
GBP_AUD_2024-05-28 04:00:00,5,0.5555555555555556
GBP_AUD_2025-05-22 04:00:00,6,0.5
GBP_AUD_2025-12-22 20:00:00,1,0.5
GBP_CAD_2010-11-16 16:00:00,6,0.6666666666666666
GBP_CAD_2011-04-29 20:00:00,1,0.3333333333333333
GBP_CAD_2011-11-08 16:00:00,3,0.8571428571428571
