trade_id,archetype_id
EUR_NZD_2020-09-29 08:00:00,0
GBP_CHF_2020-10-12 08:00:00,5
EUR_AUD_2020-10-30 08:00:00,5
USD_CAD_2020-11-02 12:00:00,4
USD_CHF_2020-11-03 08:00:00,4
CAD_CHF_2020-11-05 00:00:00,6
CAD_JPY_2020-11-05 00:00:00,6
AUD_CHF_2020-11-09 08:00:00,5
CAD_JPY_2020-11-27 16:00:00,1
CAD_CHF_2020-12-08 12:00:00,4
GBP_USD_2020-12-22 00:00:00,4
NZD_CAD_2020-12-22 08:00:00,3
GBP_JPY_2020-12-29 16:00:00,1
CAD_CHF_2021-01-11 12:00:00,1
USD_CHF_2021-01-12 20:00:00,5
USD_CHF_2021-01-20 20:00:00,4
NZD_CAD_2021-01-27 20:00:00,6
NZD_JPY_2021-01-28 20:00:00,6
EUR_JPY_2021-02-02 08:00:00,4
NZD_CAD_2021-02-02 08:00:00,1
NZD_USD_2021-02-10 08:00:00,5
AUD_CAD_2021-02-15 12:00:00,3
AUD_CAD_2021-02-16 12:00:00,3
EUR_CHF_2021-02-16 20:00:00,3
GBP_NZD_2021-03-02 20:00:00,0
GBP_NZD_2021-03-22 08:00:00,3
EUR_AUD_2021-03-26 00:00:00,4
AUD_CHF_2021-04-02 08:00:00,6
AUD_JPY_2021-04-02 08:00:00,6
NZD_CHF_2021-04-05 16:00:00,0
AUD_JPY_2021-04-19 00:00:00,1
AUD_JPY_2021-04-19 16:00:00,6
GBP_CAD_2021-04-22 08:00:00,4
GBP_USD_2021-04-28 00:00:00,6
GBP_CHF_2021-05-13 16:00:00,1
GBP_CHF_2021-06-01 08:00:00,4
CAD_CHF_2021-06-01 16:00:00,0
NZD_USD_2021-06-08 16:00:00,1
EUR_CHF_2021-06-24 16:00:00,2
CHF_JPY_2021-06-28 04:00:00,4
CAD_JPY_2021-06-28 04:00:00,4
AUD_CHF_2021-06-29 04:00:00,4
GBP_CAD_2021-07-01 08:00:00,1
GBP_NZD_2021-07-01 08:00:00,6
GBP_AUD_2021-07-02 12:00:00,4
GBP_NZD_2021-07-14 00:00:00,4
USD_JPY_2021-07-14 12:00:00,4
USD_JPY_2021-07-27 00:00:00,4
NZD_JPY_2021-07-27 08:00:00,4
NZD_JPY_2021-08-09 20:00:00,1
CAD_JPY_2021-08-27 12:00:00,5
GBP_AUD_2021-09-17 08:00:00,1
AUD_JPY_2021-09-29 12:00:00,1
EUR_GBP_2021-10-01 08:00:00,4
AUD_USD_2021-10-13 12:00:00,1
NZD_CAD_2021-10-22 12:00:00,3
NZD_CAD_2021-10-27 08:00:00,6
USD_CHF_2021-11-15 00:00:00,1
USD_CAD_2021-11-16 00:00:00,3
GBP_NZD_2021-11-18 08:00:00,6
GBP_NZD_2021-11-18 20:00:00,1
CAD_CHF_2021-11-26 00:00:00,4
EUR_GBP_2021-12-02 08:00:00,1
USD_CHF_2021-12-08 12:00:00,4
GBP_AUD_2021-12-21 16:00:00,1
GBP_AUD_2022-01-05 08:00:00,1
NZD_CHF_2022-01-13 20:00:00,0
EUR_AUD_2022-02-01 12:00:00,1
GBP_USD_2022-02-04 12:00:00,4
CAD_CHF_2022-02-10 20:00:00,1
GBP_CAD_2022-02-15 08:00:00,1
GBP_CAD_2022-02-15 20:00:00,3
EUR_USD_2022-02-18 12:00:00,6
AUD_USD_2022-02-18 16:00:00,1
AUD_JPY_2022-02-18 16:00:00,3
NZD_USD_2022-02-25 16:00:00,3
USD_CHF_2022-02-28 08:00:00,4
USD_JPY_2022-02-28 12:00:00,4
GBP_NZD_2022-04-12 12:00:00,1
EUR_NZD_2022-04-19 20:00:00,3
EUR_NZD_2022-04-21 04:00:00,3
EUR_CAD_2022-05-26 16:00:00,6
NZD_CAD_2022-06-21 12:00:00,4
EUR_CAD_2022-06-21 16:00:00,6
EUR_CAD_2022-06-24 12:00:00,4
GBP_AUD_2022-06-27 12:00:00,2
AUD_NZD_2022-07-20 04:00:00,3
NZD_USD_2022-07-21 08:00:00,1
NZD_USD_2022-07-22 04:00:00,1
CAD_JPY_2022-07-28 00:00:00,4
NZD_CAD_2022-08-08 16:00:00,3
AUD_CHF_2022-08-15 08:00:00,4
USD_CHF_2022-08-24 08:00:00,3
EUR_NZD_2022-08-30 08:00:00,1
EUR_AUD_2022-09-02 20:00:00,1
EUR_CAD_2022-09-26 20:00:00,3
EUR_CHF_2022-10-06 16:00:00,3
USD_CHF_2022-11-02 08:00:00,6
CAD_JPY_2022-11-08 08:00:00,5
EUR_AUD_2022-11-22 08:00:00,6
EUR_CHF_2022-12-06 20:00:00,2
EUR_GBP_2022-12-19 08:00:00,3
EUR_CHF_2022-12-27 20:00:00,6
CAD_CHF_2023-01-09 12:00:00,1
CAD_CHF_2023-01-30 20:00:00,4
CAD_CHF_2023-02-07 12:00:00,4
USD_CHF_2023-02-07 16:00:00,6
EUR_NZD_2023-02-07 16:00:00,6
USD_JPY_2023-02-07 16:00:00,3
USD_JPY_2023-02-08 08:00:00,3
CAD_CHF_2023-02-15 08:00:00,6
EUR_AUD_2023-02-20 04:00:00,4
EUR_GBP_2023-02-20 12:00:00,4
EUR_AUD_2023-02-23 20:00:00,1
CAD_CHF_2023-02-28 12:00:00,1
EUR_GBP_2023-03-09 12:00:00,0
EUR_USD_2023-03-15 08:00:00,4
GBP_USD_2023-03-15 12:00:00,3
NZD_CAD_2023-03-15 16:00:00,1
USD_CHF_2023-03-20 12:00:00,6
NZD_USD_2023-03-21 00:00:00,4
AUD_CHF_2023-03-21 08:00:00,4
EUR_NZD_2023-03-24 08:00:00,6
AUD_CHF_2023-05-11 12:00:00,4
USD_CAD_2023-05-15 16:00:00,1
AUD_CHF_2023-05-17 20:00:00,6
EUR_CHF_2023-06-14 12:00:00,6
EUR_CHF_2023-06-29 12:00:00,2
NZD_USD_2023-07-06 12:00:00,3
AUD_USD_2023-07-18 08:00:00,4
EUR_GBP_2023-07-21 16:00:00,6
EUR_CAD_2023-08-08 20:00:00,1
GBP_CAD_2023-08-09 20:00:00,0
AUD_NZD_2023-08-25 20:00:00,1
AUD_NZD_2023-08-31 20:00:00,1
AUD_CAD_2023-10-03 04:00:00,4
EUR_USD_2023-10-12 12:00:00,4
GBP_AUD_2023-10-17 00:00:00,4
EUR_AUD_2023-10-17 00:00:00,5
EUR_GBP_2023-10-27 20:00:00,5
CAD_JPY_2023-11-07 16:00:00,3
GBP_AUD_2023-12-07 08:00:00,4
AUD_NZD_2023-12-18 00:00:00,3
EUR_GBP_2023-12-25 08:00:00,1
EUR_JPY_2024-01-09 00:00:00,1
