trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
281,0.5714285714,4,0.3309328792,0.3191489362
282,0.4285714286,4,0.2987814144,0.2727272727
283,0.5714285714,14,0.682696003,0.5363636364
284,0.5714285714,4,0,0.2222222222
285,0.5663716814,18,0.7009113655,0.4666666667
286,0.5128205128,15,0.1972011344,0.8083333333
287,0.6666666667,5,0.226988708,0.6829268293
288,0.5591397849,17,0.2421542509,0.3
289,0.5,6,0.273492905,0.8076923077
290,0,0,0,0
291,0.4814814815,13,0.271051028,0.2714285714
292,0.5263157895,7,0.2871107083,0.1416666667
293,0.5652173913,8,0.5574279032,0.2641509434
294,0.5333333333,5,0.2793574904,0.224137931
295,0.4838709677,2,0.2347114485,0.2765957447
296,0.4,2,0.3073233078,0.2608695652
297,0,1,0,0.4
298,0.495049505,13,0.6304582309,0.9
299,0.5210084034,10,0.181322403,0.3666666667
300,0.46875,10,0.2635996458,0.3583333333
301,0.4545454545,8,0.3221240575,0.4347826087
302,0.5,15,0.3411835481,0.5416666667
303,0.5267857143,21,0.413639721,1
304,0,0,0,0
305,0.5438596491,29,0.341956327,0.7
306,0.5583333333,37,0.2027503712,0.9583333333
307,0.4956521739,9,0.2981579827,0.2583333333
308,0.4838709677,6,0.2532631842,0.2876712329
309,0.4444444444,8,0.4800028737,0.7833333333
310,0.5096153846,10,0.1825346898,0.325
311,0.5066666667,9,0.7040868862,0.8151260504
312,0,1,0,0.5
313,0.5,1,0,0.2727272727
314,0.5,1,0,0.01612903226
315,0.5416666667,18,0.2316595797,0.525
316,0.5,3,0.5106808104,0.3529411765
317,0.5714285714,6,0.576879044,0.7
318,0.4545454545,3,0.32047984,0.2586206897
319,0.5227272727,4,0.150806396,0.08411214953
320,0.5142857143,11,0.5791525046,0.5416666667
321,0.5517241379,8,0.3868334301,0.8181818182
322,0.5630252101,29,0.1677280513,0.725
323,0.3333333333,2,0,0.1666666667
324,0.5303030303,7,0.4049178957,0.95
325,0.5692307692,7,0.8202852985,0.9833333333
326,0.4814814815,12,0.1561332734,0.1954022989
327,0.5546218487,17,0.6876518392,0.9416666667
328,0.5,8,0.6485802783,0.9416666667
329,0,1,0,0.03448275862
330,0.5294117647,30,0.260125693,0.725
331,1,1,0,0.1724137931
332,0.4743589744,12,0.2766996324,0.325
333,0.4791666667,5,0.6934881672,0.3333333333
334,0.4347826087,9,0.6024671445,0.3166666667
335,0.5,3,0,0.1515151515
336,0.5,17,0.3892034626,0.5
337,0.8,3,0.1991218434,0.4117647059
338,0.75,3,0.3745893639,0.3870967742
339,0.4782608696,6,0.5438350525,0.5217391304
340,0.5178571429,4,0.1338676941,0.475
341,0.5607476636,24,0.4075622256,0.8416666667
342,0.5462962963,9,0.4507919982,0.475
343,0.5726495726,30,0.3817816746,0.975
344,0,0,0,0
345,0.5789473684,5,0.6731106585,0.5083333333
346,0.7272727273,8,0.0485374717,0.7368421053
347,0.4444444444,6,0.0379484271,0.3181818182
348,0,0,0,0
349,0.4,4,0.356722563,0.4098360656
350,0.45,6,0.1648832725,0.28
351,0.4146341463,4,0.2905806858,0.1086956522
352,0.5609756098,11,0.6380276509,0.4736842105
353,0.5416666667,10,0.4025256574,0.4512195122
354,0.6571428571,11,0.2379937472,0.275
355,0.4285714286,2,0,0.09090909091
356,0.5517241379,27,0.272103258,1
357,0.5142857143,17,0.30886921,0.8166666667
358,0.4285714286,3,0.068140401,0.1481481481
359,0.5222222222,28,0.1968102264,0.8166666667
360,0.5,21,0.3433074264,0.8166666667
361,0,0,0,0
362,0.4363636364,7,0.2469801943,0.3432835821
363,0.5714285714,6,0.5030679309,0.3962264151
364,0.5,18,0.312900584,0.6166666667
365,0.4782608696,11,0.3824518025,0.5161290323
366,0.4666666667,10,0.1073354057,0.431372549
367,0.4782608696,4,0.6574316342,0.1428571429
368,1,1,0,0.4473684211
369,0.5,2,0,0.2272727273
370,0.5,4,0.09888230444,0.28
371,0.5350877193,25,0.28410165,0.7416666667
372,0.5416666667,14,0.297996104,0.2166666667
