trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,atr_7,atr_28,ret_50bar_atr,ret_100bar_atr,body_to_range_mean_5,upper_wick_mean_5,bars_since_high20,bars_since_low20,rsi_7,rsi_28,cci_14,bb_pos_20,realized_vol_20,realized_vol_60,dist_to_swing_high_20,dist_to_swing_low_20
USD_CAD_2020-11-02 12:00:00,USD_CAD,2020-11-02 08:00:00,0.6451612903225787,0.2096774193548425,0.1451612903225787,0.9667591926745748,0.2676779485093845,3.2537164226575106,0.6368821292775718,55.90158745239068,0.003974158767164771,0.003546802287273742,5.161246657665949,2.739151045911334,0.4864280167085419,0.32299318285341005,11.0,19.0,49.23901916845006,56.82262284461684,-13.222054163053107,0.116397766121708,0.0019720677264653532,0.0017411389986479594,1.9854946860305736,3.482412145655798
USD_CAD_2021-11-16 00:00:00,USD_CAD,2021-11-15 20:00:00,0.623762376237602,0.0198019801980383,0.3564356435643597,0.7744699639557796,-1.2345511306621024,3.596301119754798,0.5733333333333341,47.749586417454914,0.0023739167927060165,0.002702585361155938,2.591790572445857,6.099909468581952,0.357432227579129,0.2074950321295715,9.0,19.0,31.139726822156064,54.039279469834,-112.225362384904,-0.7927500490525035,0.0015695218663901822,0.0012444730725231828,3.557961022529271,4.781010124023724
USD_CAD_2023-05-15 16:00:00,USD_CAD,2023-05-15 12:00:00,0.4156862745098554,0.1647058823528991,0.4196078431372453,0.8286798011672586,-1.631361804650955,4.032908365680937,0.7376556462000837,56.88966572659862,0.003087996866208728,0.003076348011211803,-3.525951310849167,1.085408053293625,0.6181252559459501,0.16865511863217772,3.0,18.0,52.46112495282635,53.0679303290726,19.870785382593684,0.6197385467379466,0.0019439000113319414,0.001838705116955935,1.9855817980911123,5.583027052570364
USD_CAD_2024-02-15 12:00:00,USD_CAD,2024-02-15 08:00:00,0.4311377245509149,0.1017964071856271,0.4670658682634579,0.7388412835629506,-0.6193879023881099,3.4862690505842857,0.6846153846153835,57.87354929806129,0.002035546712125716,0.0024096256480759283,2.8314875537740627,2.3846434241941106,0.4249140830361065,0.3390758854699873,9.0,15.0,54.12535878350488,56.43120562512738,9.167596008117467,0.5328213247740026,0.0016436435040295362,0.0015743355370865303,2.1767060569638397,4.725044855360506
USD_CAD_2024-05-09 12:00:00,USD_CAD,2024-05-09 08:00:00,0.3868613138685907,0.4525547445256374,0.160583941605772,0.6129159309358673,-0.8589770710927473,1.9998059936376409,0.7308362369337932,57.07134648913861,0.0020223889683857613,0.0024129648686267136,3.5343327404334435,-4.062245732042569,0.4890928354767742,0.2584985740696431,5.0,16.0,57.70186534101971,54.19447543318243,33.91564016423504,0.7586220974093092,0.0009827821190169224,0.0012525863850174328,1.3824162237898032,3.7535508471185013
USD_CAD_2024-05-09 16:00:00,USD_CAD,2024-05-09 12:00:00,0.8112582781457102,0.1291390728476448,0.0596026490066449,1.3180447334742675,-0.855419760797846,0.8990636261446708,0.5165505226480858,48.54723442073981,0.0021649048300449417,0.0024346446947471887,2.9852403897231348,-5.254721387758321,0.5088224969710284,0.28256685784737173,6.0,17.0,40.731907861818485,50.197318875160434,-29.37232905984615,-0.0011970698450556542,0.0010756519163263331,0.0012325721674402471,2.4222345267490253,2.5880812150669987
USD_CAD_2025-07-10 20:00:00,USD_CAD,2025-07-10 16:00:00,0.2191780821917608,0.4547945205479524,0.3260273972602868,1.413719506274015,-0.2440118599869909,0.0154928165071282,0.6649874055415693,56.13213475274232,0.002502477809574692,0.002683257473493731,0.31760273839582875,0.2982367177618969,0.3609830148932082,0.32694135918910705,7.0,18.0,54.67806754073134,53.628017480983225,69.3094397683148,0.6288774972932746,0.0010952285752306114,0.0013912403042349746,1.0302722977229557,2.045051778938869
CHF_JPY_2010-08-30 20:00:00,CHF_JPY,2010-08-30 16:00:00,0.220125786163502,0.2484276729560008,0.5314465408804971,0.6955769639078134,-0.5184016995161926,1.3583436936690303,0.5527251184834119,52.67757060161816,0.4688855778135803,0.4418597513415937,1.581453285865886,1.4064653704173822,0.6766132202132906,0.11061743498639594,4.0,19.0,49.46917510595255,53.026799037024595,-18.15581116531719,0.24842871794016932,0.0032673221977642625,0.0030959978347041743,1.6514484520452815,2.0407965639182053
CHF_JPY_2010-08-31 16:00:00,CHF_JPY,2010-08-31 12:00:00,0.3420523138833033,0.0523138832997912,0.6056338028169055,1.0713105864551582,0.8363551459650043,1.7847991259253009,0.7285502958579934,57.847307154559736,0.4808359167655396,0.4470388612285142,1.8365324339231373,1.6145103204324425,0.5638267653051341,0.1838384537453714,9.0,19.0,61.32218440312886,55.699657940598485,58.43542317240197,1.2880497677486464,0.0036962460812039076,0.0033237716374949168,0.7910885014668666,2.123221182411128
CHF_JPY_2010-11-09 00:00:00,CHF_JPY,2010-11-08 20:00:00,0.5224489795918275,0.3020408163265171,0.1755102040816553,0.6008748551338537,-0.3090213540688102,2.2171055879224144,0.509217737917291,55.6704955146913,0.3938866641045344,0.406058425728909,3.4090450964736387,-2.7787396361903713,0.34806064277518795,0.43202889580574266,7.0,16.0,47.08780937000216,55.41096651178382,-83.24131270613272,-0.10448146886371341,0.003125282052986503,0.0031594335779468966,2.4157621726809575,2.5065065385583285
CHF_JPY_2013-06-24 12:00:00,CHF_JPY,2013-06-24 08:00:00,0.4761120263591463,0.3492586490939102,0.1746293245469434,1.001716452626641,-0.0132021937743141,1.6667769640080954,0.638665132336021,55.43253581616514,0.5926450799517265,0.6162801287408124,1.0644268730546627,-1.7129846422182067,0.3224428357952093,0.3821682560490519,10.0,18.0,51.33733773879474,53.85430922523979,-2.0042425572389972,0.37425462869563336,0.0034121809871394296,0.003713725121052888,1.5545583169263428,2.7477065792806683
CHF_JPY_2013-10-15 08:00:00,CHF_JPY,2013-10-15 04:00:00,0.1960784313726419,0.6862745098038286,0.1176470588235294,0.3882067702439907,0.4757435909852647,4.422512421799045,0.7969168900804314,57.78332806150421,0.23502449856699903,0.293896398044066,0.9134276946917429,-4.510049242540265,0.4506989316303226,0.32478802564951514,10.0,19.0,56.49146342663981,54.2227566349389,28.9428420217018,0.5808919167685158,0.001399730834103053,0.0017259948605561305,1.1532024645482715,4.525273037451866
CHF_JPY_2014-06-23 00:00:00,CHF_JPY,2014-06-22 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
CHF_JPY_2015-03-26 04:00:00,CHF_JPY,2015-03-26 00:00:00,0.1195652173913362,0.4510869565217366,0.4293478260869271,0.3630050355812795,-0.3176294061336266,2.8468275344771343,0.6880704041720963,61.31273387562197,0.43906489638566787,0.5348774536580753,7.246290737445971,-0.5938288897280833,0.44090114715753187,0.40096968425554874,8.0,16.0,54.151876043333054,60.03209966163824,-9.778374748154375,0.4769950075272176,0.0027409465615760736,0.002770784073578469,1.8880207557135442,4.164693641913521
