trade_id,pair,entry_time,entry_price,signal_bar_atr_14,sl_at_entry_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit
EUR_AUD_2025-06-02T12:00:00,EUR_AUD,2025-06-02T16:00:00,1.75989,0.005144173395038643,1.7496016532099228,2025-06-09T08:00:00,1.7495616532099227,hard_sl,28,-1.0038878938294058,1.061395015429686,-1.032235811709072,0.8,0.8
EUR_AUD_2025-08-05T12:00:00,EUR_AUD,2025-08-05T16:00:00,1.7844900000000001,0.004696989963815906,1.7750960200723682,2025-09-10T04:00:00,1.7750560200723682,hard_sl,153,-1.004258046143199,3.327663060898234,-1.3817359734632118,0.8,0.8
EUR_CAD_2010-05-24T08:00:00,EUR_CAD,2010-05-24T12:00:00,1.312385,0.010043807904786935,1.292297384190426,2010-05-27T12:00:00,1.291992384190426,hard_sl,18,-1.0151834843363905,0.7270648810915208,-1.152202442510322,6.5,6.1
EUR_CAD_2011-02-25T08:00:00,EUR_CAD,2011-02-25T12:00:00,1.35248,0.004709079475144179,1.3430618410497115,2011-02-25T20:00:00,1.3424118410497115,hard_sl,2,-1.0690156115893747,0.050965374712150055,-1.0224928301624132,4.0,13.0
EUR_CAD_2011-03-08T08:00:00,EUR_CAD,2011-03-08T12:00:00,1.35293,0.004175567295570583,1.3445788654088588,2011-03-10T08:00:00,1.3443788654088589,hard_sl,11,-1.0239488416594422,0.16883933369914228,-1.6812086844934342,4.0,4.0
EUR_CAD_2011-04-06T12:00:00,EUR_CAD,2011-04-06T16:00:00,1.37033,0.004117647730336765,1.3620947045393266,2011-06-01T16:00:00,1.399,bar_240_system_exit,240,3.4813565751112923,7.690070174461037,-0.9009998530633327,4.0,4.0
EUR_CAD_2011-11-24T08:00:00,EUR_CAD,2011-11-24T12:00:00,1.39743,0.00432756171509748,1.388774876569805,2011-11-25T12:00:00,1.388669876569805,hard_sl,6,-1.012131542761572,0.3315955021493555,-1.4627174415367894,4.0,2.1
EUR_CAD_2012-04-12T20:00:00,EUR_CAD,2012-04-13T00:00:00,1.31171,0.003452904753456158,1.3048041904930876,2012-04-13T12:00:00,1.3046291904930876,hard_sl,3,-1.0253409828094573,0.02461695472918031,-1.1526527037898262,13.0,3.5
EUR_CAD_2012-05-22T20:00:00,EUR_CAD,2012-05-23T00:00:00,1.29512,0.003444356080863077,1.2882312878382738,2012-05-23T20:00:00,1.2880212878382737,hard_sl,5,-1.0304846530193141,0.217747521566381,-1.2077729196214961,13.0,4.2
EUR_CAD_2012-06-15T08:00:00,EUR_CAD,2012-06-15T12:00:00,1.290675,0.0032070225246725245,1.284260954950655,2012-06-25T08:00:00,1.284085954950655,hard_sl,35,-1.0272838744744894,1.4787859965168935,-1.2511605294726449,3.5,3.5
