fold_id,pair,val_auc,n_val,n_pos,clean_rate
5,AUD_CAD,0.5120252876699868,4608,420,0.09114583333333333
5,AUD_CHF,0.48353311913000496,4610,564,0.12234273318872017
5,AUD_JPY,0.5092995985911163,4611,629,0.13641292561266535
5,AUD_NZD,0.46710583027877095,4618,244,0.05283672585534863
5,AUD_USD,0.4757980802584506,4612,574,0.12445793581960105
5,CAD_CHF,0.522031153174469,4612,732,0.15871639202081528
5,CAD_JPY,0.5233488924167815,4612,774,0.16782307025151777
5,CHF_JPY,0.577089093268634,4609,777,0.16858320676936428
5,EUR_AUD,0.4562060693881421,4612,688,0.1491760624457936
5,EUR_CAD,0.6838426867003935,4612,311,0.06743278404163053
5,EUR_CHF,0.6133286680467753,4612,528,0.11448395490026018
5,EUR_GBP,0.6444752654140216,4619,390,0.08443386014288808
5,EUR_JPY,0.49913467924558497,4612,825,0.17888117953165655
5,EUR_NZD,0.37613215596118205,4614,458,0.09926311226701344
5,EUR_USD,0.6722752410408229,4610,523,0.11344902386117137
5,GBP_AUD,0.5359308951038477,4608,464,0.10069444444444445
5,GBP_CAD,0.7161463406683221,4608,299,0.06488715277777778
5,GBP_CHF,0.4420843869809935,4609,345,0.07485354740724669
5,GBP_JPY,0.5709447063552973,4609,700,0.15187676285528315
5,GBP_NZD,0.43831548876512394,4608,508,0.11024305555555555
5,GBP_USD,0.622686856815296,4611,289,0.06267620906527868
5,NZD_CAD,0.5269578870602578,4616,440,0.09532062391681109
5,NZD_CHF,0.44618143769800034,4616,705,0.15272963604852685
5,NZD_JPY,0.4954391928494988,4615,738,0.1599133261105092
5,NZD_USD,0.6409800478675317,4618,435,0.09419662191424859
5,USD_CAD,0.6693176649232898,4611,588,0.12752114508783344
5,USD_CHF,0.5921304157853448,4611,603,0.13077423552374756
5,USD_JPY,0.6051977069047505,4611,538,0.11667751030145304
6,AUD_CAD,0.670157858545499,4614,381,0.08257477243172952
6,AUD_CHF,0.6096328483831106,4613,408,0.08844569694342076
6,AUD_JPY,0.6111198548538701,4612,702,0.15221162185602774
6,AUD_NZD,0.697162673689775,4606,192,0.04168475900998697
6,AUD_USD,0.5398403385691521,4612,364,0.07892454466608846
6,CAD_CHF,0.611489975354014,4611,529,0.11472565603990457
6,CAD_JPY,0.5351914272529006,4613,491,0.10643832646867549
6,CHF_JPY,0.615739347035552,4613,555,0.12031216128332972
6,EUR_AUD,0.5029478892270234,4612,971,0.21053772766695578
6,EUR_CAD,0.43731497117568274,4613,650,0.1409061348363321
6,EUR_CHF,0.5075195698409104,4613,555,0.12031216128332972
6,EUR_GBP,0.4852151996506524,4613,591,0.12811619336657273
6,EUR_JPY,0.4305293402836927,4613,420,0.09104704097116843
6,EUR_NZD,0.5063556800848146,4594,575,0.12516325642141923
6,EUR_USD,0.6288872438250556,4614,337,0.07303857824013871
6,GBP_AUD,0.446538773215352,4613,834,0.18079340992846304
6,GBP_CAD,0.4024667335319944,4614,601,0.13025574338968357
6,GBP_CHF,0.5734117444703357,4613,610,0.1322349880771732
6,GBP_JPY,0.5282361921687975,4614,596,0.129172084958821
6,GBP_NZD,0.6070731351981352,4612,520,0.11274934952298352
6,GBP_USD,0.4910700228134438,4614,624,0.1352405721716515
6,NZD_CAD,0.5769350297601896,4613,469,0.10166919575113809
6,NZD_CHF,0.46425752000078824,4613,384,0.08324300888792543
6,NZD_JPY,0.48619366874421777,4614,880,0.1907238838318162
6,NZD_USD,0.48877252416123346,4610,556,0.12060737527114967
6,USD_CAD,0.47003528728040656,4611,462,0.10019518542615485
6,USD_CHF,0.5433305609142607,4614,427,0.09254442999566537
6,USD_JPY,0.6419988729163124,4613,783,0.16973769781053544
7,AUD_CAD,0.4514596498307851,4611,535,0.11602689221427022
7,AUD_CHF,0.6307549035755038,4611,687,0.14899154196486664
7,AUD_JPY,0.5025047678212414,4612,679,0.14722463139635733
7,AUD_NZD,0.655857996088216,4612,393,0.08521248915871639
7,AUD_USD,0.3779185607103454,4612,474,0.10277536860364267
7,CAD_CHF,0.5057530910736425,4612,291,0.06309627059843885
7,CAD_JPY,0.3455459865528,4612,373,0.08087597571552471
7,CHF_JPY,0.3672229971268208,4612,336,0.07285342584562012
7,EUR_AUD,0.44951097335876633,4612,409,0.08868169991326973
7,EUR_CAD,0.5555595285771496,4612,454,0.09843885516045099
7,EUR_CHF,0.5677397910731244,4612,400,0.08673026886383348
7,EUR_GBP,0.6183739031201276,4612,343,0.0743712055507372
7,EUR_JPY,0.4379404268785425,4612,569,0.12337380745880312
7,EUR_NZD,0.495356869812145,4612,252,0.05464006938421509
7,EUR_USD,0.4677818966239424,4612,460,0.0997398091934085
7,GBP_AUD,0.4280722181447348,4612,709,0.15372940156114484
7,GBP_CAD,0.4833572784905509,4612,482,0.10450997398091934
7,GBP_CHF,0.4326322425631173,4612,503,0.1090633130962706
7,GBP_JPY,0.4391405298819239,4612,533,0.11556808326105811
7,GBP_NZD,0.4373486028369888,4612,757,0.16413703382480485
7,GBP_USD,0.4674011541264099,4612,511,0.11079791847354727
7,NZD_CAD,0.41071288793427346,4612,296,0.06418039895923677
7,NZD_CHF,0.527445703558558,4612,437,0.09475281873373807
7,NZD_JPY,0.44412747234243005,4612,451,0.09778837814397225
7,NZD_USD,0.5731221483354141,4612,489,0.10602775368603642
7,USD_CAD,0.5415472642877952,4612,483,0.10472679965307892
7,USD_CHF,0.5249314695029952,4612,524,0.11361665221162186
7,USD_JPY,0.41966580127448666,4612,375,0.08130962705984389
