risk_pct,governance,sizing,daily_ref,segment,fold,calendar_year,n_trades,roi_pct,raw_return_pct,trailing_dd_pct,from_initial_dd_pct,daily_dd_pct,daily_fires,total_fires,kills,roi_basis
0.4,on,fixed-initial,initial,search,F7,2016,171,28.508296362126394,28.16311965762768,5.523555070674853,2.2770905278280185,2.443226492709638,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F8,2017,190,42.560028749295654,41.950068469896486,6.963248191594736,2.1403777664793955,2.276414481653233,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F9,2018,176,13.771609037894962,13.707993804358676,5.086704757877547,0.8006154382094399,2.2346545621879876,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F10,2019,195,30.967184424702367,30.33190184620502,7.583467207096536,1.253975192162493,2.4346615210819156,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,search,F11,2020,188,34.07567553835793,33.261883979749804,6.211015426362661,4.06444413576722,3.324830759721009,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2021,2021,212,33.840000325882905,33.262714839747076,5.362929981793283,1.0443567684227384,2.5094093833478714,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2022,2022,179,22.39689789088226,21.974352571199617,6.871416102449842,1.6540862317733773,2.244910789346921,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2023,2023,189,24.921643534058123,24.53537798043861,5.336880425043114,0.9002350222665823,2.040835268604657,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2024,2024,191,36.736495768313105,36.5121748542512,4.877750001294804,2.6409492158265158,2.4567700130077252,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2025,2025,251,43.53700517743639,42.08852564552714,5.863180612838124,3.56770397913746,3.305956959195777,0,0,0,annualised_1y
0.4,on,fixed-initial,initial,holdout,2026p,2026,71,2.7819955182238676,2.7819955182238676,4.585048185400291,0.6107000315008437,2.000035293185798,0,0,0,raw_partial_4mo
0.42,off,fixed-initial,initial,search,F1,2010,201,24.41168083358136,22.010934789737213,8.09322041219373,3.192294647421301,4.266736282533845,0,0,0,annualised_1y
0.42,off,fixed-initial,initial,search,F2,2011,182,27.124382511408896,26.603390749388666,7.906418291403355,2.376731549231259,3.7189916501888076,0,0,0,annualised_1y
0.42,off,fixed-initial,initial,search,F3,2012,179,29.89633268567633,29.656246273096354,4.069714165268571,0.17469027042773533,1.7776323343545286,0,0,0,annualised_1y
0.42,off,fixed-initial,initial,search,F4,2013,195,42.205442629274344,41.37393921093495,6.661786737718868,0.6361089063330883,2.587077571067775,0,0,0,annualised_1y
