cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars,threshold_pair
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A1,-0.3474831647656468,0.352808489356128,-0.9849059057501709,-0.05678334553446054,0.21031067522531688,-0.06331591094761152,3,8,2162,,
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A6,-0.16374936240213567,0.16620136245685838,-0.9852468113469336,-0.014025448483219788,0.07229852258762408,-0.03365801858262171,4,7,1028,,"(0.5, 0.7)"
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A1,-0.3021872528910122,0.30587254416498094,-0.9879515460139471,-0.019384320630244038,0.15351874563450355,0.07381255509989076,6,5,2162,,
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A6,-0.3021872528910122,0.30587254416498094,-0.9879515460139471,-0.028106731482566302,0.12060780422798946,0.011873379105819282,3,8,1661,,"(0.3, 0.5)"
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A6,-0.3474831647656468,0.352808489356128,-0.9906440175602316,-0.041962792650775134,0.15045932473124765,-0.008056827372308558,3,8,1661,,"(0.3, 0.5)"
1,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.07708965312812,0.091319347765316,-0.9946742982011884,-0.008275495255553832,0.05658768077706642,0.5441973626107144,3,7,644,5.0,
1,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.12281758827332001,0.12265090970516242,-1.001358967239283,-0.01128838187729817,0.06448929715409547,0.18659263243902408,4,6,644,5.0,
1,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.21856267579363875,0.2158473240337472,-1.0125799648990181,-0.05596149036714569,0.09485673331692947,-0.30284996044977863,2,8,644,5.0,
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.19535112456485715,0.1928732041530222,-1.012847406267327,-0.03766104694695129,0.08575347992180407,-0.04698554178092869,3,7,644,5.0,
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A3,-0.28768099769723854,0.3002002994213499,-1.0208839378111116,-0.07874368996872949,0.13407727277725515,-0.20653979872669223,3,7,984,5.0,
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A3,-0.1924864914013188,0.2172047202935995,-1.0326057329951719,-0.019910282148956106,0.09195906442842788,0.17206974282839343,3,7,984,5.0,
1,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A3,-0.12019909655187211,0.17216342353163128,-1.034860386558448,-0.012585611111409701,0.0865014789572068,0.3404310312948372,3,7,984,5.0,
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A1,-0.19535112456485715,0.1928732041530222,-1.03649986891136,-0.03572775671320299,0.12209676930506407,-0.04961685194108754,4,7,1080,,
1,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A6,-0.17693001251296359,0.1766846662593498,-1.0467539483693498,-0.041703953028777364,0.09581505792481942,-0.26394509348206563,5,6,933,,"(0.3, 0.5)"
1,v_shape_recovery,3.5,sl_only,unlimited,,A1,-0.5136427897029683,0.48959327854057744,-1.0491214079451412,-0.23871672602548652,0.32567368362172955,-0.6555780994300087,2,9,2162,,
1,v_shape_recovery,3.5,sl_only,unlimited,,A6,-0.5136427897029683,0.48959327854057744,-1.0491214079451412,-0.15031884539934703,0.22598487695647448,-0.5062090303096396,3,8,1661,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_only,unlimited,,A6,-0.5125240222678672,0.4884897167914435,-1.0492012516338904,-0.1729438468726778,0.23119809697418267,-0.6272974343965496,2,9,1661,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_only,unlimited,,A1,-0.5125240222678672,0.4884897167914435,-1.0492012516338904,-0.26871259330844705,0.3327847615933728,-0.7499174843110002,1,10,2162,,
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A6,-0.3585492825615004,0.33964303861521866,-1.0556650418137987,-0.07864164742698014,0.16390077213489807,-0.19809551857238555,3,8,1661,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A1,-0.3585492825615004,0.33964303861521866,-1.0556650418137987,-0.09931851515610925,0.22810598357270664,-0.24110794378506367,3,8,2162,,
1,v_shape_recovery,3.5,sl_only,unlimited,,A6,-0.30194351094712935,0.2849359530880751,-1.067179500931304,-0.0918532037147068,0.16771679058557742,-0.387240934084275,3,8,1345,,"(0.4, 0.6)"
1,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A1,-0.30172527773368807,0.29789805755686954,-1.0714399987799985,-0.14754562421645134,0.1911055034164141,-0.6946179154748745,1,10,1080,,
