trade_id,pair,fold,sl_bar,partial_bar,replay_realized_r,slhonest_realized_r,delta_r,replay_booked_win
1232,GBPAUD,7,24,188,0.6101895257672861,-1.0,-1.6101895257672862,1
1233,GBPCHF,7,7,149,0.5248000900243155,-1.0,-1.5248000900243155,1
1237,GBPCAD,7,11,103,0.8646305456629582,-1.0,-1.8646305456629582,1
1243,AUDNZD,7,17,232,0.1564092858996459,-1.0,-1.156409285899646,1
1247,EURNZD,7,45,180,0.7737267912817956,-1.0,-1.7737267912817956,1
1249,EURNZD,7,19,158,0.974115022783102,-1.0,-1.974115022783102,1
1250,EURAUD,7,4,23,1.0932322983252736,-1.0,-2.0932322983252734,1
1256,CADCHF,7,9,152,0.9168319083593448,-1.0,-1.9168319083593448,1
1261,CHFJPY,7,13,77,0.5752743724271454,-1.0,-1.5752743724271454,1
1262,EURJPY,7,13,76,0.5581931071354284,-1.0,-1.5581931071354282,1
1265,USDJPY,7,2,64,0.8607085876233886,-1.0,-1.8607085876233886,1
1268,NZDUSD,7,51,188,0.7077704205035562,-1.0,-1.7077704205035562,1
1270,EURAUD,7,67,176,-0.1986872512818167,-1.0,-0.8013127487181833,0
1273,AUDUSD,7,54,82,0.5335587986533125,-1.0,-1.5335587986533126,1
1276,NZDCAD,7,5,106,1.5759760449413278,-1.0,-2.575976044941328,1
1277,USDCAD,7,18,30,0.9215655061243366,-1.0,-1.9215655061243366,1
1281,CADCHF,7,4,98,2.258882157115605,-1.0,-3.258882157115605,1
1286,GBPNZD,7,19,30,1.253630028788148,-1.0,-2.253630028788148,1
1297,EURNZD,7,8,117,0.5445283288370015,-1.0,-1.5445283288370015,1
1299,EURNZD,7,7,95,0.4596027691505746,-1.0,-1.4596027691505746,1
1305,AUDCHF,7,21,135,0.7046858531107174,-1.0,-1.7046858531107174,1
1306,NZDCHF,7,26,156,0.6907847688821613,-1.0,-1.6907847688821613,1
1322,AUDNZD,8,7,72,1.4027678772104633,-1.0,-2.4027678772104633,1
1325,EURCAD,8,30,113,1.527593373312753,-1.0,-2.5275933733127527,1
1331,CHFJPY,8,52,136,0.4865839402757941,-1.0,-1.486583940275794,1
1332,EURJPY,8,34,122,0.4472142102283024,-1.0,-1.4472142102283023,1
1333,EURUSD,8,13,135,1.2763397480679464,-1.0,-2.2763397480679464,1
1334,EURGBP,8,35,77,1.5081915062764513,-1.0,-2.508191506276451,1
1335,GBPAUD,8,61,165,0.805645746847945,-1.0,-1.805645746847945,1
1337,GBPAUD,8,40,144,0.7746234069476181,-1.0,-1.774623406947618,1
1343,AUDUSD,8,8,79,0.5063250488462551,-1.0,-1.506325048846255,1
1344,GBPUSD,8,10,99,0.7451699052505621,-1.0,-1.7451699052505623,1
1345,GBPCHF,8,39,129,0.7183589053708761,-1.0,-1.718358905370876,1
1347,GBPCHF,8,19,106,0.8573877439734584,-1.0,-1.8573877439734585,1
1350,NZDCAD,8,56,139,0.5968808214536372,-1.0,-1.5968808214536372,1
1353,CHFJPY,8,46,187,0.7892566317995966,-1.0,-1.7892566317995966,1
1354,GBPJPY,8,84,136,2.3655823397461697,-1.0,-3.3655823397461697,1
1355,CHFJPY,8,30,171,0.6993095763390547,-1.0,-1.6993095763390547,1
1356,EURCHF,8,58,112,1.1714907106466097,-1.0,-2.1714907106466095,1
