pair,entry_date,exit_date,entry_price,exit_price,sl_price,trail_active,exit_reason,classification,bars_held,net_pnl,r_multiple,spread_pips_used,sl_distance_atr,d1_dist_ratio,d1_close_in_range,h1_last_bar_close_in_range,mae_final,mfe_final,mae_at_bar_3,mfe_at_bar_3,mae_at_bar_6,mfe_at_bar_6,first_bar_dir,kh13_mae_at_check,kh13_mfe_at_check,kh13_triggered,kh14_triggered,kh14_state2,atr_sized_down,trade_type,original_entry_price_ref,signal_spread_pips,spread_ratio,atr_abs,atr_ratio,d1_kijun_slope,session,concurrent_signals
GBP_NZD,2011-12-16 00:00:00,2011-12-19 04:00:00,2.04556,2.04241,2.02767,False,kijun_d1,LOSS,6,-19.0052,-0.1761,2.5,2.0,0.2027492801373075,0.17880794701986424,0.010989010989083387,1.7809,0.2202,1.2812,0.2202,1.7809,0.2202,-1,1.2812,0.2202,True,True,True,False,original,,3.2,1.31,0.008945,0.89,True,tokyo,0
USD_CHF,2011-12-26 08:00:00,2011-12-30 16:00:00,0.93446,0.93756,0.92787,True,trailing_stop,WIN,25,41.7318,0.4704,3.5,2.0,0.5231621749596717,0.5442561205273048,0.11453744493388882,0.7739,3.7786,0.437,0.7527,0.437,0.7618,1,0.437,0.7527,False,False,False,False,original,,2.2,1.83,0.003295,0.86,True,london,0
AUD_USD,2011-12-28 12:00:00,2011-12-29 00:00:00,1.01375,1.007155,1.007155,False,stoploss,LOSS,2,-102.2744,-1.0,1.5,2.0,0.9365132419201307,0.14000000000002666,0.02018633540375551,2.8415,0.2699,2.8415,0.2699,2.8415,0.2699,-1,2.8415,0.2699,True,True,True,False,original,,1.5,0.91,0.003298,0.62,False,london,0
GBP_USD,2012-01-05 08:00:00,2012-01-06 04:00:00,1.55421,1.54977,1.545378,False,kijun_d1,LOSS,4,-51.9675,-0.5027,1.5,2.0,0.30213407725684327,0.33295063145810866,0.15588235294114958,1.7005,0.2242,1.7005,0.2242,1.7005,0.2242,-1,1.7005,0.2242,True,True,True,False,original,,1.5,1.0,0.004416,0.96,False,london,0
AUD_JPY,2012-01-05 20:00:00,2012-01-09 00:00:00,79.046,78.415231,78.415231,False,stoploss,LOSS,6,-107.9268,-1.0,5.0,2.0,0.8507904831809798,0.7374999999999923,0.05494505494500861,3.0946,0.9449,0.7705,0.4376,1.2968,0.9449,1,0.7705,0.4376,False,False,False,False,original,,5.0,1.67,0.315385,1.0,True,newyork,0
AUD_JPY,2012-01-13 00:00:00,2012-01-24 04:00:00,79.146,80.873,78.541782,True,trailing_stop,WIN,42,281.6865,2.8582,2.5,2.0,0.9786301321772181,0.4245161290322544,0.08290155440410006,1.281,7.5767,0.2483,1.132,1.281,1.132,1,0.2483,1.132,False,False,False,False,original,,5.0,2.0,0.302109,1.03,False,tokyo,0
EUR_USD,2012-01-25 08:00:00,2012-01-30 08:00:00,1.29668,1.31466,1.28708,True,trailing_stop,WIN,17,186.6711,1.873,0.6,2.0,0.926100796192521,0.7094095940959412,0.07119741100320393,0.7521,5.546,0.7521,3.1897,0.7521,4.3147,-1,0.7521,3.1897,False,False,True,False,original,,0.6,1.0,0.0048,1.06,False,london,0
EUR_AUD,2012-02-13 16:00:00,2012-02-14 04:00:00,1.22863,1.23111,1.221927,False,kijun_d1,WIN,2,30.1336,0.37,4.6,2.0,0.41845679071725755,0.46610169491525194,0.13392857142845638,0.367,1.0144,0.367,1.0144,0.367,1.0144,-1,,,False,False,True,False,original,,4.0,0.93,0.003352,0.89,False,newyork,0
GBP_CAD,2012-02-21 12:00:00,2012-02-22 12:00:00,1.57215,1.564701,1.564701,False,stoploss,LOSS,5,-100.537,-1.0,0.4,2.0,0.3411355485173804,0.44444444444446335,0.11868686868686232,2.4031,0.9075,0.2443,0.9075,2.4031,0.9075,1,0.2443,0.9075,False,False,False,False,original,,0.8,1.14,0.003724,0.94,False,london,0
NZD_JPY,2012-04-04 00:00:00,2012-04-05 04:00:00,67.547,67.028,66.751914,False,kijun_d1,LOSS,6,-70.81,-0.6528,4.4,2.0,0.6720545199464034,0.9078549848942695,0.18930041152265323,1.9545,0.1182,1.9545,0.1182,1.9545,0.1182,-1,1.9545,0.1182,True,True,True,False,original,,7.9,1.58,0.397543,1.07,False,tokyo,0
CAD_CHF,2012-04-19 12:00:00,2012-04-20 04:00:00,0.92197,0.91911,0.9163,False,kijun_d1,LOSS,3,-57.4943,-0.5044,4.0,2.0,0.3140949409559361,0.1073094867807097,0.07916666666667418,1.2557,0.1517,1.2557,0.1517,1.2557,0.1517,-1,1.2557,0.1517,True,True,True,False,original,,4.0,1.0,0.002835,1.05,False,london,0
EUR_GBP,2012-06-06 08:00:00,2012-06-07 20:00:00,0.80814,0.80913,0.804445,True,trailing_stop,WIN,8,25.4387,0.2679,0.5,2.0,0.45092781912320073,0.1595330739299684,0.015228426395982283,1.6941,2.6629,1.6941,2.3111,1.6941,2.6629,1,1.6941,2.3111,False,False,False,False,original,,0.5,1.0,0.001848,0.94,False,london,0
AUD_CAD,2012-06-11 00:00:00,2012-06-21 20:00:00,1.01852,1.03243,1.011673,True,trailing_stop,WIN,52,196.5903,2.0316,4.5,2.0,0.9826092091091115,0.5130293159609255,0.18902439024391235,0.6952,6.2278,0.1811,0.5316,0.6952,0.853,1,0.1811,0.5316,False,False,False,False,original,,8.0,1.78,0.003423,1.06,False,tokyo,0
EUR_CAD,2012-06-15 08:00:00,2012-06-18 16:00:00,1.2905,1.29243,1.284086,True,trailing_stop,WIN,7,24.6334,0.3009,3.5,2.0,0.25194789999836703,0.6345083487940584,0.13970588235287396,0.3742,3.0121,0.3742,1.5092,0.3742,3.0121,1,0.3742,1.5092,False,False,False,False,original,,3.5,1.0,0.003207,0.91,False,london,0
GBP_CAD,2012-06-19 08:00:00,2012-06-20 04:00:00,1.59903,1.60208,1.590209,False,kijun_d1,WIN,4,31.97,0.3458,2.3,2.0,0.31151944727530656,0.550116550116569,0.09374999999996747,0.755,1.0634,0.755,1.0634,0.755,1.0634,1,0.755,1.0634,False,False,False,False,original,,2.6,1.04,0.00441,0.97,False,london,0
GBP_CHF,2012-06-28 12:00:00,2012-06-29 04:00:00,1.49896,1.492082,1.492082,False,stoploss,LOSS,3,-106.5422,-1.0,4.5,2.0,0.9497631928476946,0.19073083778964792,0.27586206896549614,4.091,0.1599,0.9363,0.1599,4.091,0.1599,-1,0.9363,0.1599,False,True,True,False,original,,4.5,1.0,0.003439,0.88,False,london,0
NZD_JPY,2012-07-19 00:00:00,2012-07-23 00:00:00,62.896,62.317441,62.317441,False,stoploss,LOSS,11,-101.2099,-1.0,0.7,2.0,0.2529751130404303,0.7477203647416466,0.0762711864406795,2.368,1.3378,0.1936,1.3136,0.1936,1.3378,1,0.1936,1.3136,False,False,False,False,original,,0.7,1.0,0.289279,0.98,True,tokyo,0
GBP_NZD,2012-07-25 12:00:00,2012-07-27 04:00:00,1.96251,1.95989,1.947171,False,kijun_d1,LOSS,9,-20.47,-0.1708,5.2,2.0,0.9521292422143842,0.8977035490605335,0.0050083472454048065,1.4433,1.0835,0.7184,1.0835,1.4433,1.0835,1,0.7184,1.0835,False,False,False,False,original,,4.8,0.97,0.00767,1.17,False,london,0
USD_CAD,2012-07-25 16:00:00,2012-07-26 04:00:00,1.0152,1.01568,1.009716,False,kijun_d1,WIN,2,5.1054,0.0875,2.0,2.0,0.04906534386983459,0.8663729809104305,0.2251655629139102,0.496,0.485,0.496,0.485,0.496,0.485,1,,,False,False,False,False,original,,0.5,0.56,0.002742,1.18,False,newyork,0
EUR_AUD,2012-08-21 00:00:00,2012-09-06 12:00:00,1.17882,1.23185,1.172569,True,trailing_stop,WIN,74,841.9382,8.4834,4.0,2.0,0.2405398941442985,0.7261146496815404,0.060240963855373336,0.3999,19.1968,0.3999,2.4636,0.3999,4.6008,1,0.3999,2.4636,False,False,False,False,original,,8.0,2.0,0.003126,0.96,False,tokyo,0
GBP_AUD,2012-08-21 04:00:00,2012-08-27 04:00:00,1.49979,1.51848,1.493018,True,trailing_stop,WIN,23,272.5762,2.7597,2.3,2.0,0.3872363777540806,0.5993031358885127,0.012345679012426903,0.8269,8.1005,0.8269,1.45,0.8269,3.2691,1,0.8269,1.45,False,False,False,False,original,,2.0,0.83,0.003386,0.8,False,tokyo,0
AUD_JPY,2012-09-19 12:00:00,2012-09-20 04:00:00,81.982,81.098825,81.098825,False,stoploss,LOSS,3,-102.2646,-1.0,2.0,2.0,0.9070626222069186,0.7873239436619752,0.12040133779264978,2.0789,0.7292,0.2491,0.7292,2.0789,0.7292,1,0.2491,0.7292,False,False,False,False,original,,2.0,1.0,0.441587,1.55,False,london,0
