fold_id,pair,val_auc,n_val,n_pos,clean_rate
3,AUD_CHF,0.4120707503391162,1140,174,0.15263157894736842
3,AUD_JPY,0.5674959160022899,1140,374,0.3280701754385965
3,AUD_NZD,0.1604553200368638,1140,262,0.22982456140350876
3,AUD_USD,0.41174458874458875,1139,264,0.2317822651448639
3,CAD_CHF,0.6261150929756834,1139,316,0.2774363476733977
3,CAD_JPY,0.5899657401473253,1139,302,0.26514486391571557
3,CHF_JPY,0.5488193472957172,1139,401,0.3520632133450395
3,EUR_AUD,0.477869838300147,1139,70,0.061457418788410885
3,EUR_CAD,0.5785933569266193,1139,141,0.1237928007023705
3,EUR_CHF,0.3688367553499133,1139,208,0.1826163301141352
3,EUR_GBP,0.3594419455668217,1139,130,0.1141352063213345
3,EUR_JPY,0.4521566976191004,1139,338,0.2967515364354697
3,EUR_NZD,0.5532237384375859,1139,244,0.21422300263388938
3,EUR_USD,0.43959101623388963,1139,232,0.20368744512730466
3,GBP_AUD,0.4079006141820212,1139,144,0.1264266900790167
3,GBP_CAD,0.4888431170614487,1139,168,0.14749780509218613
3,GBP_CHF,0.5374019919474465,1139,242,0.21246707638279191
3,GBP_JPY,0.575075920360929,1139,301,0.2642669007901668
3,GBP_NZD,0.4148335804910199,1139,68,0.05970149253731343
3,GBP_USD,0.6072568925097327,1139,201,0.17647058823529413
3,NZD_CAD,0.6412181143948759,1139,330,0.2897278314310799
3,NZD_CHF,0.7371531710079275,1139,256,0.2247585601404741
3,NZD_JPY,0.48774162010224925,1139,397,0.3485513608428446
3,NZD_USD,0.48048367640764233,1139,310,0.2721685689201054
3,USD_CAD,0.5582042529438918,1139,198,0.17383669885864794
3,USD_CHF,0.4674426830444709,1139,454,0.398595258999122
3,USD_JPY,0.5394385764459189,1139,442,0.3880597014925373
4,AUD_CAD,0.6211455980509099,1139,273,0.23968393327480245
4,AUD_CHF,0.6024146414077313,1139,126,0.1106233538191396
4,AUD_JPY,0.6380368098159509,1139,161,0.14135206321334504
4,AUD_NZD,0.6378459320059897,1139,190,0.16681299385425813
4,AUD_USD,0.4984620080773927,1140,126,0.11052631578947368
4,CAD_CHF,0.5905173573916274,1140,197,0.17280701754385966
4,CAD_JPY,0.5497736723953925,1140,203,0.1780701754385965
4,CHF_JPY,0.47588219203063736,1140,143,0.12543859649122807
4,EUR_AUD,0.6030869207952542,1140,216,0.18947368421052632
4,EUR_CAD,0.39743646992717624,1140,333,0.29210526315789476
4,EUR_CHF,0.43038269779960686,1140,201,0.1763157894736842
4,EUR_GBP,0.5684148027898028,1140,216,0.18947368421052632
4,EUR_JPY,0.6161066868500724,1140,284,0.24912280701754386
4,EUR_NZD,0.4848477786064352,1140,152,0.13333333333333333
4,EUR_USD,0.5728251930598736,1140,295,0.25877192982456143
4,GBP_AUD,0.6138499181977444,1139,138,0.12115891132572432
4,GBP_CAD,0.527939978004067,1139,302,0.26514486391571557
4,GBP_CHF,0.53890644274677,1139,196,0.17208077260755048
4,GBP_JPY,0.48441819269088,1139,186,0.16330114135206322
4,GBP_NZD,0.45801882002504823,1139,186,0.16330114135206322
4,GBP_USD,0.45779040404040405,1139,275,0.2414398595258999
4,NZD_CAD,0.5093127191856983,1136,270,0.23767605633802816
4,NZD_CHF,0.3414415911798111,1136,191,0.1681338028169014
4,NZD_JPY,0.5462954263595025,1138,236,0.20738137082601055
4,NZD_USD,0.30921368940950217,1139,137,0.1202809482001756
4,USD_CAD,0.46718412494955974,1139,302,0.26514486391571557
4,USD_CHF,0.6290847386467007,1139,217,0.19051799824407376
4,USD_JPY,0.6133966340480383,1139,247,0.21685689201053557
5,AUD_CAD,0.5967503217503217,1138,28,0.02460456942003515
5,AUD_CHF,0.6590875712299529,1139,223,0.1957857769973661
5,AUD_JPY,0.526337920136033,1139,241,0.2115891132572432
5,AUD_NZD,0.480507290666201,1141,260,0.22787028921998248
5,AUD_USD,0.6488735472980284,1139,196,0.17208077260755048
5,CAD_CHF,0.47954855811711783,1139,295,0.2589991220368745
5,CAD_JPY,0.43930498725019274,1139,336,0.29499561018437226
5,CHF_JPY,0.5846070419693301,1138,354,0.3110720562390158
5,EUR_AUD,0.701567909248269,1139,128,0.11237928007023705
5,EUR_CAD,0.5642719274058106,1139,278,0.2440737489025461
5,EUR_CHF,0.5273600107425809,1139,462,0.40561896400351183
5,EUR_GBP,0.4997590005902026,1141,221,0.1936897458369851
5,EUR_JPY,0.42030661800626457,1138,356,0.31282952548330406
5,EUR_NZD,0.3562090083829214,1139,138,0.12115891132572432
5,EUR_USD,0.5424523387852901,1138,145,0.1274165202108963
