trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
373,0.4848484848,7,0.2651510556,0.1081081081
374,0,1,0,0.03703703704
375,0.5294117647,30,0.346834258,0.725
376,0.5,2,0.8003403692,0.2333333333
377,0.4743589744,12,0.3689328432,0.325
378,0,0,0,0
379,0.4675324675,6,0.7697530177,0.3416666667
380,0.5,3,0,0.3333333333
381,0.5,17,0.5189379502,0.5
382,0.4285714286,5,0.929637007,0.1683168317
383,0.3333333333,2,0,0.25
384,0,0,0,0
385,0.8,3,0.2654957912,0.4117647059
386,0.2727272727,3,0.2095842727,0.1739130435
387,0.5222222222,5,0.808163069,0.5916666667
388,0.5,0,0,0
389,0.5607476636,24,0.5434163009,0.8416666667
390,0.5172413793,9,0.1698992741,0.3666666667
391,0.5,8,0.6456350785,0.3181818182
392,0.5726495726,30,0.5090422335,0.975
393,0,0,0,0
394,0,0,0,0
395,0.6,3,0,0.06818181818
396,0.5576923077,7,0.147298452,0.1351351351
397,0,1,0,0.1
398,0.6666666667,0,0,0
399,0.375,5,0.489954131,0.28
400,0.45,6,0.219844363,0.28
401,0.4672897196,11,0.8672791974,0.525
402,0.5609756098,11,0.8507035344,0.5625
403,0,2,0,0.6
404,0.5056179775,13,0.110253365,0.25
405,0.6571428571,11,0.3173249963,0.3384615385
406,0.4285714286,2,0,0.125
407,0.5517241379,27,0.362804343,1
408,0.6,5,0.2059878589,0.4347826087
409,0.5142857143,17,0.4118256131,0.8166666667
410,0.75,3,0,0.1764705882
411,0.5222222222,28,0.2624136353,0.8166666667
412,0.5,21,0.4577432353,0.8166666667
413,0.5652173913,7,0.6561312455,0.4230769231
414,0.4444444444,3,0.5103726997,0.4680851064
415,0.46875,6,0.5962954882,0.5517241379
416,0.5,18,0.417200778,0.6166666667
417,0.4782608696,11,0.5099357368,0.5161290323
418,1,1,0,0.4594594595
419,0.5,2,0,0.3125
420,0.5,4,0.1318430725,0.35
421,0.5350877193,25,0.3788022007,0.7416666667
422,0,0,0,0
423,0,1,0,0.1111111111
424,1,1,0,0.8333333333
425,0.6666666667,2,0.02246288289,0.2666666667
426,0.3333333333,3,0.0052017329,0.2666666667
427,0.5416666667,14,0.397328139,0.2166666667
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0.5,4,0.0366704984,0.6
438,0.5,4,0,0.2631578947
439,0,0,0,0
440,0.5046728972,24,0.6627221916,0.95
441,0,0,0,0
442,0,0,0,0
443,0,1,0,0.3636363636
444,0.5578947368,11,0.3893930066,0.7166666667
445,0.5338983051,22,0.4080763709,0.7083333333
446,0,0,0,0
447,0.4931506849,9,0.6050459803,0.6083333333
448,0.25,0,0,0
449,0.5416666667,15,0.234915381,0.5916666667
450,0.4957983193,14,0.8146278353,0.675
451,0.5142857143,9,0.169687711,0.3083333333
452,0,0,0,0
453,0.4925373134,10,0.2812916867,0.65
454,0.5520833333,24,0.4186401625,0.7583333333
455,0.5833333333,16,0.6493951789,0.5083333333
456,0.5630252101,27,0.354335918,0.9083333333
457,0.5614035088,26,0.3138593548,1
458,0,1,0,0.25
459,0.5102040816,5,0.3222537569,0.6666666667
460,0.4895833333,21,0.244346461,0.8833333333
461,0.4861111111,15,0.258257276,0.5714285714
462,0.6153846154,9,0.449119259,0.5875
463,0.5769230769,15,0.4263506371,0.8666666667
464,0.4957983193,16,0.4119621881,0.375
465,0.5172413793,16,0.216478874,0.45
466,0.5,13,0.2574232611,0.2702702703
467,1,2,0.5690402707,0.8666666667
468,0.4,0,0,0
469,0,1,0,0.8636363636
470,0.5333333333,4,0.2411129515,0.5
471,0.575,21,0.395125168,0.95
472,0,2,0.274665833,0.625
473,0,1,0,0.2
474,0,0,0,0
475,0.4285714286,19,0.1499201197,0.3416666667
476,0.4722222222,12,0.2926839578,0.4315789474
477,0,0,0,0
478,0.5833333333,24,0.4107001755,0.975
479,0.5164835165,17,0.368240037,0.7333333333
480,0.5,2,0,0.3333333333
481,0.4895833333,16,0.2943337669,0.2833333333
482,0.5309734513,28,0.5574216368,0.675
483,0.5603448276,29,0.3524219469,0.725
484,0.5405405405,14,0.2235982177,0.3333333333
485,0.4270833333,14,0.3207701579,0.2280701754
486,0.512605042,17,0.6503064496,0.7
487,0.5384615385,15,0.4128043534,0.3291139241
488,0,0,0,0
489,0.6086956522,31,0.2526117508,0.85
490,0.75,6,0.1879678319,0.6551724138
491,0.5471698113,25,0.408261494,0.8416666667
492,0.5044247788,28,0.530584326,0.65
493,0.4444444444,3,0.3092326156,0.1320754717
494,0.5847457627,29,0.7628759191,0.9833333333
495,0.5961538462,8,0.9725912075,0.6612903226
496,0.5142857143,21,0.340573687,0.7
497,0.5916666667,37,0.1620126575,0.6333333333
498,0.6239316239,42,0.327568546,0.9833333333
499,0,0,0,0
500,0.4833333333,23,0.2376815966,0.9666666667
501,0,1,0,0.07692307692
502,0.6134453782,35,0.2814019915,0.9583333333
503,0,1,0,0.04166666667
504,0.375,4,0.326273221,0.1267605634
505,0,0,0,0
506,0.4285714286,7,0.1950019962,0.5168539326
507,0,1,0,0.02222222222
508,1,3,0.2335558088,0.4705882353
509,0,0,0,0
510,0.5,3,0,0.5
511,0,2,0,0.625
512,0.5416666667,10,0.758330725,0.3564356436
513,0.5565217391,18,0.331782416,0.8083333333
514,0.4482758621,11,0.9500717778,0.4333333333
515,0.5172413793,3,0.164935012,0.21875
516,0.5,2,0,0.4
517,0,1,0,0.25
518,1,1,0,0.0625
519,0.4893617021,13,0.2195863813,0.5915492958
520,0.5391304348,20,0.1714155055,0.3416666667
521,0.3823529412,1,0,0.2173913043
522,0.5321100917,24,0.529149045,0.8916666667
523,0.4,4,0.8904176261,0.45
524,0.5166666667,6,0.5850232143,0.1237113402
525,0.5833333333,23,0.416219936,0.8333333333
526,0.5169491525,16,0.368918485,0.6
527,0.5213675214,17,0.443337777,0.8166666667
528,0.5,0,0,0
529,0,0,0,0
530,0.5,2,0,0.1111111111
531,0.5428571429,25,0.5086050997,0.9916666667
532,0.5714285714,7,0.3528651409,0.7333333333
533,0,0,0,0
534,0.7142857143,4,0.0938829759,0.4285714286
535,0.5454545455,3,0.9121180223,0.2564102564
536,0.3571428571,4,0.8511695384,0.3611111111
537,0,1,0,0.2857142857
538,0.5583333333,26,0.1667451515,0.5583333333
539,0,0,0,0
540,0.5405405405,3,0,0.0612244898
541,0.3888888889,2,0.0408301954,0.0612244898
542,0.4782608696,18,0.570001918,0.7583333333
543,0.5,4,0.3879107784,0.2105263158
544,0.5,10,0.3355973438,0.9340659341
545,0.5299145299,20,0.146732328,0.45
546,0.5,6,0.2622052009,0.4411764706
547,0.4545454545,6,0.0938245364,0.5238095238
548,0,0,0,0
549,0,0,0,0
550,0,0,0,0
551,0.5581395349,6,0.2499146399,0.4814814815
552,0.5392156863,10,0.1957626361,0.2166666667
553,0.5098039216,12,0.763097066,0.7
554,0,0,0,0
555,0.3333333333,3,0,0.1904761905
556,0,1,0,0.1428571429
557,0.4583333333,2,0.1725410528,0.2063492063
558,1,2,0.4390806077,0.2631578947
559,0.56,10,0.1605300244,1
560,0.5377358491,12,0.1903084077,1
561,0.5454545455,17,0.2718739499,0.6595744681
562,0.5252525253,11,0.2207608137,0.325
563,0.4862385321,14,0.3193856237,0.9916666667
564,0.4588235294,11,0.1572649389,0.8916666667
565,0.5803571429,19,0.3231297907,0.875
566,0.4479166667,17,0.313253452,0.6833333333
567,0.4727272727,7,0.3873398257,0.1916666667
568,0.6071428571,6,0.220062534,0.2368421053
569,0.5360824742,13,0.58085638,0.9166666667
570,0.5,2,0.6273919812,0.3448275862
571,0.5,3,0.476498833,0.6923076923
572,0,2,0,0.1052631579
573,0.5348837209,16,0.5278010627,0.6583333333
574,0.5714285714,27,0.4979679427,0.9333333333
575,0.5714285714,25,0.3355630899,1
576,0.5,1,0,0.02702702703
577,0.5465116279,21,0.320988081,0.9666666667
578,0.5423728814,17,0.5377259465,0.8
579,0.5666666667,16,0.7948169461,0.9666666667
580,0.5377358491,16,0.4461983496,0.525
581,0.5508474576,11,0.2488645193,0.1166666667
582,0,1,0,0.125
583,0,0,0,0
584,0.5294117647,22,0.335324569,0.7333333333
585,0.4864864865,24,0.462278214,0.8833333333
586,0.5833333333,19,0.5292126058,0.6
587,0,0,0,0
588,0,0,0,0
589,0.5052631579,14,0.2594602047,1
590,0.6339285714,23,0.2021889114,0.5
591,0,0,0,0
592,0.4,2,0.132937736,0.4827586207
593,0,1,0,0.1666666667
594,0,0,0,0
595,1,1,0,0.2857142857
596,0.4545454545,2,0.9871220355,0.3703703704
597,0.55,21,0.625372335,0.7333333333
598,0.5630252101,18,0.364328635,0.2916666667
599,0.5454545455,1,0,0.07142857143
600,0,0,0,0
601,0.6363636364,8,0.2728255269,0.4117647059
602,0.5882352941,6,0.3996864069,0.5652173913
603,0.5333333333,4,0.2228695556,0.4117647059
604,0.5882352941,7,0.3639567879,0.4814814815
605,0.4444444444,5,0.0516117267,0.4117647059
606,0.5,0,0,0
607,0.5714285714,5,0.2043119428,0.09166666667
608,0.6666666667,2,0.1869429975,0.4375
609,0,0,0,0
610,0.6057692308,29,0.4189564815,0.9666666667
611,0,0,0,0
612,0.5294117647,15,0.242018368,0.2916666667
613,0,0,0,0
614,0.75,4,0.3615243385,0.2121212121
615,0.4210526316,5,0.5396322511,0.65
616,0.5416666667,10,0.3557242906,0.6416666667
617,0.5063291139,12,0.2784938165,0.7666666667
618,0.4571428571,7,0.177364655,0.1780821918
619,0.4814814815,9,0.340483724,0.8352941176
620,0.5263157895,3,0,0.05882352941
621,0,1,0,0.1111111111
622,0.5,17,0.164221359,0.5916666667
623,0.4864864865,15,0.3579160855,0.5833333333
624,0.5245901639,13,0.4335087077,0.7538461538
625,0.4186046512,9,0.3941320498,0.5392156863
626,0.5,9,0.62655537,0.35
627,0.5,2,0,0.4444444444
628,0,1,0,1
629,0.375,1,0,0.09090909091
630,0.5,1,0,0.1333333333
631,0.5043478261,15,0.195829817,0.4833333333
632,0,0,0,0
633,0.5,5,0.7955179355,0.47
634,0,0,0,0
635,0,0,0,0
636,0.5454545455,9,0.3160563768,0.2857142857
637,0.6363636364,4,0,0.1739130435
638,0.5247524752,13,0.2756721813,0.8666666667
639,0.5378151261,19,0.2221627259,0.425
640,0.5625,21,0.2570491728,0.425
641,0.4666666667,13,0.6137971216,0.5
642,0.525862069,22,0.7461818611,0.9416666667
643,0.4,3,0.5618187889,0.2058823529
644,0.5384615385,30,0.2821988756,0.875
645,0,1,0,0.05
646,0,0,0,0
647,0.2,2,0,0.6
648,0.649122807,18,0.2953595368,1
649,0.6666666667,4,0.1359413218,0.2608695652
650,0,1,0,0.4285714286
651,1,3,0.2776136813,0.3684210526
652,0,0,0,0
653,0.4,5,0.6369295178,0.8214285714
654,0,0,0,0
655,0,0,0,0
656,0.6956521739,9,0.4247867898,0.7592592593
657,0.5714285714,2,0,0.08571428571
658,0.4838709677,1,0,0.05128205128
659,0.5252525253,3,1.567385129,0.8333333333
660,0.5631067961,15,0.5063225825,1
661,0.4166666667,4,1.003127156,0.6862745098
662,0.5142857143,16,0.4299800556,1
663,0.6136363636,6,0.5466139196,0.6363636364
664,0.4210526316,4,0.8596293475,0.6923076923
665,0.4444444444,4,1.25397879,0.7608695652
666,0.5555555556,4,1.179501344,0.6862745098
667,0.4464285714,5,0.5897150481,0.2117647059
668,0.4722222222,9,0.1870809446,0.1627906977
669,0,0,0,0
670,0.5303030303,18,0.2168320022,0.825
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0.5662650602,19,0.2017065686,0.6333333333
677,0,0,0,0
678,0,1,0,0.4
679,0,0,0,0
680,0,0,0,0
681,0,0,0,0
682,0.5576923077,21,0.211877911,0.7083333333
