config_id,arch,triage_folds,worst_triage_ratio,worst_triage_dd_base,worst_triage_dd_at_040,dropped_dd,f1_roi,f6_roi,f8_roi,f1_dd,f6_dd,f8_dd,f1_n,f6_n,f8_n
A1::A1::sl2.5::sl_partial_close_1r_runner_trail::exp2,A1,1+6+8,-0.9541209588302227,0.3751800533208413,0.30014404265667305,True,-0.3579671522084552,-0.25278359198829914,-0.07148220087401613,0.3751800533208413,0.2665702292867615,0.13620389177901718,292.0,288,316
A1::A1::sl3.0::sl_partial_close_1r_runner_trail::expU,A1,1+6+8,-0.9561834174190715,0.5951608430995269,0.47612867447962154,True,-0.5690829288689214,-0.1598984832525493,-0.0852582680735664,0.5951608430995269,0.18877300522536006,0.2255458265728236,600.0,556,635
A1::A1::sl3.0::sl_plus_tp_2r::exp2,A1,1+6+8,-0.9569668225140119,0.21683608080530287,0.1734688646442423,True,-0.2075049352546422,0.09293892270959381,-0.09027929930707623,0.21683608080530287,0.07003761694657584,0.12572338652245907,192.0,179,199
A1::A1::sl3.5::sl_plus_tp_2r::expU,A1,1+6+8,-0.9630270491060556,0.546232410880102,0.4369859287040816,True,-0.5260365867759511,-0.03435800954661472,0.2162203491625161,0.546232410880102,0.13950727754684378,0.1615409698187974,451.0,403,448
A1::A1::sl2.5::sl_plus_tp_2r::expU,A1,1+6+8,-0.9655702380786995,0.6501417947694129,0.5201134358155304,True,-0.627757567560415,-0.0060715286750199216,-0.12607198280707665,0.6501417947694129,0.17712171179560737,0.2489766162128827,652.0,622,703
A1::A1::sl2.5::sl_partial_close_1r_runner_trail::expU,A1,1+6+8,-0.9707313393711272,0.6576722583306404,0.5261378066645123,True,-0.6384230721965365,-0.23923418852651845,-0.23247493854796542,0.6576722583306404,0.25237514087553825,0.30321592131753305,698.0,711,766
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::expU::et0.3,A4,6+8,-0.9999999999999999,0.35752913931693536,0.2860233114535483,True,,-0.20802177530318144,-0.3575291393169353,,0.2094635218147574,0.35752913931693536,,1061,1084
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::expU::et0.4,A4,6+8,-0.9999999999999999,0.35752913931693536,0.2860233114535483,True,,-0.2046935405089252,-0.3575291393169353,,0.20646899388298295,0.35752913931693536,,1061,1084
A4::A4::cl0::sl3.0::sl_partial_close_1r_runner_trail::expU::et0.5,A4,6+8,-0.9999999999999999,0.35752913931693536,0.2860233114535483,True,,-0.2046935405089252,-0.3575291393169353,,0.20646899388298295,0.35752913931693536,,1061,1084
A4::A4::cl0::sl2.5::sl_plus_tp_2r::exp2::et0.3,A4,6+8,-0.9999999999999999,0.3898332907498791,0.3118666325999033,True,,-0.21369536651700638,-0.38983329074987905,,0.215526398117457,0.3898332907498791,,941,970
A4::A4::cl0::sl3.0::sl_plus_tp_2r::expU::et0.4,A4,6+8,-0.9999999999999999,0.3581867278455632,0.2865493822764506,True,,-0.20083927719595918,-0.35818672784556316,,0.2026233348818792,0.3581867278455632,,1061,1084
A4::A4::cl0::sl3.0::sl_plus_tp_2r::expU::et0.5,A4,6+8,-0.9999999999999999,0.3581867278455632,0.2865493822764506,True,,-0.20083927719595918,-0.35818672784556316,,0.2026233348818792,0.3581867278455632,,1061,1084
A4::A4::cl0::sl3.0::sl_plus_tp_2r::expU::et0.3,A4,6+8,-0.9999999999999999,0.3581867278455632,0.2865493822764506,True,,-0.20841871241079335,-0.35818672784556316,,0.20984983390443077,0.3581867278455632,,1061,1084
