trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
47,EUR_USD,2021-03-18 16:00:00,2021-03-18 17:00:00,1.192005,1.188717032,2021-03-19 15:00:00,1.188712032,stoploss,23,-1.001520696,0.5733024311,-1.406643896,1,0.1,0.1,2021
48,CAD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.742385,0.7400173035,2021-03-22 14:00:00,0.7399573035,stoploss,35,-1.025341086,0.922837875,-1.214260362,9,1.5,1.2,2021
49,USD_CHF,2021-03-19 02:00:00,2021-03-19 03:00:00,0.928105,0.9251036488,2021-03-22 13:00:00,0.9250986488,stoploss,34,-1.001665916,1.294416997,-1.204457514,12,0.1,0.1,2021
50,USD_CHF,2021-03-22 14:00:00,2021-03-22 15:00:00,0.925175,0.9224294391,2021-03-22 17:00:00,0.9224244391,stoploss,3,-1.001821122,0.358760937,-1.058071596,1,0.1,0.1,2021
51,USD_CHF,2021-03-22 18:00:00,2021-03-22 19:00:00,0.923095,0.9200845084,2021-03-29 20:00:00,0.938035,time_exit,120,4.962644662,6.213270977,-0.2042855734,91,0.1,0.1,2021
52,AUD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.95974,0.956905978,2021-03-24 07:00:00,0.956890978,stoploss,7,-1.005292831,0.02117132466,-1.220879722,0,0.4,0.3,2021
53,CHF_JPY,2021-03-24 00:00:00,2021-03-24 01:00:00,116.289,115.9854331,2021-03-24 09:00:00,115.9849331,stoploss,9,-1.001647083,0.003294166467,-1.040956603,0,0.2,0.1,2021
54,NZD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.881145,0.8777735357,2021-03-24 09:00:00,0.8776935357,stoploss,9,-1.023728562,0.04894015952,-1.045539772,0,1.5,1.6,2021
55,NZD_USD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.70012,0.6969594883,2021-03-24 09:00:00,0.6969494883,stoploss,9,-1.003164045,0.06960898051,-1.085267287,0,0.2,0.2,2021
56,AUD_CAD,2021-03-24 08:00:00,2021-03-24 09:00:00,0.95636,0.953620309,2021-03-24 22:00:00,0.953600309,stoploss,14,-1.007300093,0.9964627368,-1.05851353,5,0.2,0.4,2021
57,CHF_JPY,2021-03-24 10:00:00,2021-03-24 11:00:00,116.1675,115.8627448,2021-03-31 12:00:00,117.3185,time_exit,120,3.776802086,4.562678801,-0.3199289343,118,0.1,0.1,2021
58,NZD_CAD,2021-03-24 10:00:00,2021-03-24 11:00:00,0.87873,0.8760099568,2021-03-24 15:00:00,0.8759249568,stoploss,5,-1.031249503,0.2904365599,-1.345566847,0,1.6,1.7,2021
59,NZD_USD,2021-03-24 10:00:00,2021-03-24 11:00:00,0.69857,0.6956787249,2021-03-24 15:00:00,0.6956687249,stoploss,5,-1.003458682,0.4219591549,-1.047980524,0,0.2,0.2,2021
60,NZD_CAD,2021-03-24 16:00:00,2021-03-24 17:00:00,0.875545,0.8727186043,2021-03-31 18:00:00,0.88007,time_exit,120,1.600978933,3.316945302,-0.7553790102,84,1.5,1.4,2021
61,NZD_USD,2021-03-24 16:00:00,2021-03-24 17:00:00,0.69755,0.694428414,2021-03-25 17:00:00,0.694418414,stoploss,25,-1.0032035,0.538187967,-1.037933936,1,0.2,0.2,2021
62,AUD_CAD,2021-03-24 23:00:00,2021-03-25 00:00:00,0.95341,0.9508848257,2021-04-01 01:00:00,0.95379,time_exit,120,0.1504846605,4.316533683,-0.05148159439,77,0.6,1,2021
63,CHF_JPY,2021-03-31 13:00:00,2021-03-31 14:00:00,117.3255,117.0395071,2021-04-01 05:00:00,117.0385071,stoploss,16,-1.00349659,1.218561782,-1.043732258,3,0.1,0.2,2021
64,CHF_JPY,2021-04-02 00:00:00,2021-04-02 01:00:00,117.3335,117.0421231,2021-04-09 01:00:00,118.1805,time_exit,120,2.906887545,3.529792019,-0.622904474,87,0.9,0.5,2021
65,CAD_JPY,2021-04-22 00:00:00,2021-04-22 01:00:00,86.443,86.10904732,2021-04-23 15:00:00,86.10854732,stoploss,39,-1.001497218,0.8384421384,-1.305574187,18,0.6,0.1,2021
66,EUR_CAD,2021-04-22 00:00:00,2021-04-22 01:00:00,1.504165,1.499386241,2021-04-22 19:00:00,1.499376241,stoploss,19,-1.002092593,0.9594541119,-1.248232013,15,0.9,0.2,2021
67,EUR_CAD,2021-04-22 20:00:00,2021-04-22 21:00:00,1.50115,1.496355104,2021-04-26 18:00:00,1.496345104,stoploss,46,-1.002085551,1.887423497,-1.109513039,23,0.2,0.2,2021
68,NZD_CAD,2021-04-23 00:00:00,2021-04-23 01:00:00,0.89499,0.8921116936,2021-04-28 03:00:00,0.8919666936,stoploss,75,-1.050376846,1.667647312,-1.028382509,36,2.2,2.9,2021
69,CAD_JPY,2021-04-23 16:00:00,2021-04-23 17:00:00,86.2515,85.95483542,2021-04-30 17:00:00,88.7845,time_exit,120,8.538262389,8.961299076,-0.01179783591,120,0.1,0.1,2021
70,EUR_CAD,2021-04-26 19:00:00,2021-04-26 20:00:00,1.50045,1.496155224,2021-04-28 10:00:00,1.496145224,stoploss,39,-1.00232841,0.009313641091,-1.122293751,1,0.4,0.2,2021
71,EUR_CAD,2021-04-28 11:00:00,2021-04-28 12:00:00,1.49776,1.494999033,2021-04-28 15:00:00,1.494989033,stoploss,4,-1.00362192,0.1448767997,-1.177123997,0,0.2,0.2,2021
72,EUR_CAD,2021-04-28 16:00:00,2021-04-28 17:00:00,1.49556,1.492465277,2021-04-28 19:00:00,1.492455277,stoploss,3,-1.003231307,0.4200698566,-1.486401031,0,0.2,0.2,2021
