trade_id,pair,signal_bar_time,native_prob,onnx_prob,abs_diff,native_admit,onnx_admit
122,EUR_JPY,2021-01-07 00:00:00,0.01216811691,0.01216810942,7.494830244e-09,0,0
123,USD_JPY,2021-01-07 04:00:00,0.9627695282,0.9627695084,1.984358855e-08,1,1
124,USD_CHF,2021-01-08 00:00:00,0.9619078406,0.9619078636,2.29694912e-08,1,1
125,AUD_CHF,2021-01-08 04:00:00,0.03482219937,0.03482210636,9.301156055e-08,0,0
126,AUD_CAD,2021-01-08 08:00:00,0.00082227827,0.0009038448334,8.156656337e-05,0,0
127,GBP_NZD,2021-01-08 08:00:00,0.9892155923,0.9915681481,0.002352555865,1,1
128,GBP_AUD,2021-01-08 16:00:00,0.9853099166,0.9853098989,1.776829583e-08,1,1
129,NZD_USD,2021-01-12 08:00:00,0.002504579672,0.003165662289,0.0006610826171,0,0
130,CAD_JPY,2021-01-13 08:00:00,0.01996175729,0.0274643898,0.007502632511,0,0
131,NZD_CAD,2021-01-15 08:00:00,0.006421727035,0.01063150167,0.00420977464,0,0
132,AUD_CAD,2021-01-18 00:00:00,0.005271178961,0.005271136761,4.22005986e-08,0,0
133,EUR_CAD,2021-01-18 00:00:00,0.00894487476,0.008944988251,1.134905614e-07,0,0
134,EUR_NZD,2021-01-18 00:00:00,0.0009944975756,0.0009945034981,5.922483387e-09,0,0
135,USD_CAD,2021-01-18 00:00:00,0.03342811293,0.03342807293,4.000549764e-08,0,0
136,NZD_USD,2021-01-19 00:00:00,0.9896267944,0.9896267653,2.91033122e-08,1,1
137,EUR_JPY,2021-01-20 00:00:00,0.07061009758,0.07061010599,8.406837282e-09,0,0
138,EUR_USD,2021-01-20 00:00:00,0.2271502724,0.2271502018,7.056383952e-08,0,0
139,CAD_JPY,2021-01-20 08:00:00,0.1765429421,0.2139701247,0.0374271826,0,0
140,NZD_JPY,2021-01-20 08:00:00,0.9913878415,0.9938247204,0.002436878915,1,1
141,AUD_CHF,2021-01-21 00:00:00,0.001119774526,0.001119792461,1.793508598e-08,0,0
142,AUD_USD,2021-01-21 00:00:00,0.01386152388,0.01386147738,4.650867064e-08,0,0
143,CHF_JPY,2021-01-21 00:00:00,0.07587253742,0.07587265968,1.22260181e-07,0,0
144,NZD_CAD,2021-01-21 00:00:00,0.9584185786,0.9584185481,3.053627462e-08,1,1
145,EUR_CHF,2021-01-22 00:00:00,0.9536556611,0.9536557794,1.183094153e-07,1,1
146,USD_CAD,2021-01-22 00:00:00,0.08599834598,0.08599829674,4.924106395e-08,0,0
147,EUR_CAD,2021-01-28 04:00:00,0.04673242359,0.04673242569,2.102780707e-09,0,0
148,EUR_GBP,2021-01-28 08:00:00,0.000405240865,0.0004715919495,6.635108448e-05,0,0
149,EUR_USD,2021-01-28 08:00:00,0.01566138993,0.01739704609,0.001735656156,0,0
150,CAD_JPY,2021-01-29 08:00:00,0.984319644,0.9848821759,0.000562531917,1,1
151,EUR_JPY,2021-01-29 08:00:00,0.002369147401,0.002796769142,0.0004276217408,0,0
152,AUD_CHF,2021-01-29 12:00:00,0.187546454,0.1875465512,9.723539027e-08,0,0
153,AUD_NZD,2021-02-01 16:00:00,0.00751590034,0.007515847683,5.265671483e-08,0,0
154,EUR_AUD,2021-02-02 04:00:00,0.0004528054678,0.0004528164864,1.101855685e-08,0,0
155,EUR_JPY,2021-02-03 20:00:00,0.9739878801,0.9739878774,2.72944245e-09,1,1
156,AUD_CAD,2021-02-04 00:00:00,0.9806668938,0.9806668758,1.795145921e-08,1,1
157,AUD_JPY,2021-02-04 00:00:00,0.9667973148,0.9667974114,9.668518985e-08,1,1
158,AUD_USD,2021-02-04 00:00:00,0.1272436618,0.1272436976,3.583745165e-08,0,0
159,EUR_GBP,2021-02-04 04:00:00,0.000328576347,0.000328540802,3.554500233e-08,0,0
160,EUR_NZD,2021-02-05 00:00:00,0.1918511055,0.1918511987,9.316768537e-08,0,0
161,AUD_CHF,2021-02-09 00:00:00,0.01251413865,0.01251417398,3.533604093e-08,0,0
162,EUR_USD,2021-02-09 00:00:00,0.06447667259,0.06447672844,5.585356215e-08,0,0
163,EUR_AUD,2021-02-09 08:00:00,0.03239912085,0.03423053026,0.001831409413,0,0
164,AUD_USD,2021-02-09 20:00:00,0.9831355665,0.9831355214,4.512369967e-08,1,1
165,AUD_NZD,2021-02-17 00:00:00,0.02433422325,0.02433419228,3.096937604e-08,0,0
166,AUD_CHF,2021-02-17 16:00:00,0.01573161519,0.01573169231,7.712809511e-08,0,0
167,GBP_USD,2021-02-24 00:00:00,0.01692430642,0.01692438126,7.483887472e-08,0,0
168,NZD_CHF,2021-02-24 08:00:00,0.01398751251,0.01548445225,0.001496939736,0,0
169,EUR_GBP,2021-02-25 08:00:00,0.09081768795,0.123580873,0.03276318507,0,0
170,EUR_NZD,2021-02-26 08:00:00,0.08165552441,0.1193236113,0.03766808684,0,0
171,EUR_CAD,2021-02-26 16:00:00,0.008777377549,0.00877737999,2.440945911e-09,0,0
172,GBP_CAD,2021-03-01 00:00:00,0.004096820823,0.004096806049,1.477390654e-08,0,0
173,GBP_CHF,2021-03-01 00:00:00,0.0396573496,0.03965729475,5.484680991e-08,0,0
174,EUR_AUD,2021-03-02 00:00:00,0.004235571742,0.004235625267,5.352539777e-08,0,0
175,EUR_USD,2021-03-03 08:00:00,0.001138142447,0.001259505749,0.0001213633016,0,0
176,GBP_USD,2021-03-03 08:00:00,0.0008865669346,0.001017987728,0.0001314207935,0,0
177,NZD_CHF,2021-03-03 08:00:00,0.005683281009,0.008130192757,0.002446911748,0,0
178,AUD_NZD,2021-03-03 16:00:00,0.03886773848,0.03886771202,2.646339901e-08,0,0
179,CHF_JPY,2021-03-08 00:00:00,0.9762679285,0.9762679935,6.494669547e-08,1,1
180,GBP_JPY,2021-03-08 00:00:00,0.008949021275,0.008949041367,2.009134712e-08,0,0
181,GBP_AUD,2021-03-08 08:00:00,0.025167368,0.02831321955,0.003145851551,0,0
182,NZD_CHF,2021-03-08 16:00:00,0.004158801122,0.00415879488,6.242260114e-09,0,0
183,GBP_NZD,2021-03-09 00:00:00,0.0008546113057,0.0008546113968,9.107876183e-11,0,0
184,USD_JPY,2021-03-09 00:00:00,0.02467048281,0.02467054129,5.847540695e-08,0,0
185,AUD_CAD,2021-03-09 16:00:00,0.01095424881,0.01095426083,1.20112212e-08,0,0
186,NZD_CAD,2021-03-09 16:00:00,0.001201763424,0.001201748848,1.457615536e-08,0,0
187,AUD_USD,2021-03-09 20:00:00,0.02032322633,0.02032321692,9.416469434e-09,0,0
188,USD_CAD,2021-03-10 00:00:00,0.1507300234,0.1507300138,9.523027006e-09,0,0
189,CAD_CHF,2021-03-10 08:00:00,0.004167561445,0.005927741528,0.001760180083,0,0
190,GBP_USD,2021-03-11 04:00:00,0.1056628486,0.1056628227,2.587480244e-08,0,0
191,EUR_CAD,2021-03-11 08:00:00,0.003127629965,0.003493487835,0.0003658578695,0,0
192,EUR_AUD,2021-03-15 00:00:00,0.01491811108,0.01491808891,2.216611233e-08,0,0
193,EUR_GBP,2021-03-15 16:00:00,0.01708614479,0.01708608866,5.613562561e-08,0,0
194,USD_JPY,2021-03-16 00:00:00,0.008376874387,0.008376896381,2.199412576e-08,0,0
195,EUR_USD,2021-03-16 04:00:00,0.01905420896,0.01905423403,2.506907478e-08,0,0
196,GBP_NZD,2021-03-17 04:00:00,0.0119667823,0.01196682453,4.223131237e-08,0,0
197,GBP_AUD,2021-03-17 08:00:00,0.0314521561,0.03880149126,0.007349335163,0,0
198,GBP_USD,2021-03-17 08:00:00,0.05894222741,0.05782479048,0.001117436935,0,0
199,USD_CAD,2021-03-17 08:00:00,0.007059317464,0.007828831673,0.0007695142089,0,0
200,NZD_CAD,2021-03-17 20:00:00,0.05877438308,0.05877441168,2.860095015e-08,0,0
201,EUR_AUD,2021-03-22 00:00:00,0.9808310953,0.9808310866,8.63858407e-09,1,1
202,EUR_GBP,2021-03-22 00:00:00,0.04060973519,0.04060965776,7.742703096e-08,0,0
203,NZD_USD,2021-03-22 08:00:00,0.008704653701,0.008890032768,0.0001853790673,0,0
204,GBP_NZD,2021-03-22 20:00:00,0.0363953163,0.03639537096,5.466028511e-08,0,0
205,USD_JPY,2021-03-22 20:00:00,0.01663107297,0.0166310668,6.171255552e-09,0,0
206,USD_CAD,2021-03-23 00:00:00,0.07613164274,0.07613170147,5.873076134e-08,0,0
207,USD_CHF,2021-03-23 00:00:00,0.05035470594,0.05035471916,1.321938981e-08,0,0
208,EUR_CHF,2021-03-23 08:00:00,0.02153917083,0.02313643694,0.00159726611,0,0
209,EUR_CAD,2021-03-24 04:00:00,0.0009007376743,0.0009007453918,7.717511961e-09,0,0
210,GBP_AUD,2021-03-24 20:00:00,0.02442015999,0.02442020178,4.178833569e-08,0,0
211,GBP_JPY,2021-03-25 04:00:00,0.9955776343,0.995577693,5.863579633e-08,1,1
212,AUD_CAD,2021-03-26 00:00:00,0.003913569657,0.003913640976,7.131936249e-08,0,0
213,AUD_USD,2021-03-26 00:00:00,0.01713159435,0.017131567,2.734922706e-08,0,0
214,NZD_JPY,2021-03-26 00:00:00,0.968748493,0.9687484503,4.273137855e-08,1,1
215,EUR_USD,2021-03-26 08:00:00,0.04431556091,0.05078774691,0.006472185992,0,0
216,GBP_USD,2021-03-30 04:00:00,0.1119710272,0.1119709611,6.606542502e-08,0,0
217,NZD_CAD,2021-03-30 04:00:00,0.01375735583,0.01375734806,7.768517597e-09,0,0
218,NZD_USD,2021-03-30 04:00:00,0.01954902738,0.01954901218,1.519460432e-08,0,0
219,GBP_CAD,2021-03-31 08:00:00,0.04965279683,0.05012619495,0.0004733981215,0,0
220,CAD_JPY,2021-03-31 12:00:00,0.01654663677,0.01654666662,2.984903295e-08,0,0
221,EUR_GBP,2021-04-02 08:00:00,0.0125399679,0.01430308819,0.001763120292,0,0
222,EUR_USD,2021-04-05 00:00:00,0.9663975448,0.9663975239,2.096090812e-08,1,1
223,NZD_CAD,2021-04-05 04:00:00,0.9715130577,0.9715130329,2.481253303e-08,1,1
224,AUD_JPY,2021-04-05 08:00:00,0.03629619215,0.04545277357,0.009156581426,0,0
225,AUD_CAD,2021-04-05 16:00:00,0.03759649083,0.03759652376,3.293327165e-08,0,0
226,EUR_CAD,2021-04-07 04:00:00,0.03038996049,0.03039002419,6.369750977e-08,0,0
227,AUD_USD,2021-04-08 04:00:00,0.05922164954,0.05922180414,1.546058557e-07,0,0
228,NZD_USD,2021-04-08 04:00:00,0.9493492,0.949349165,3.504898771e-08,1,1
229,EUR_GBP,2021-04-08 16:00:00,0.008048544706,0.008048534393,1.031227809e-08,0,0
230,GBP_USD,2021-04-09 00:00:00,0.05448321685,0.05448317528,4.157222692e-08,0,0
231,CAD_JPY,2021-04-09 08:00:00,0.0001442614084,0.0001884102821,4.414887375e-05,0,0
232,EUR_CHF,2021-04-12 00:00:00,0.003216355616,0.003216385841,3.022552494e-08,0,0
233,AUD_CAD,2021-04-12 08:00:00,0.04690579745,0.05382496119,0.006919163739,0,0
234,EUR_JPY,2021-04-12 16:00:00,0.05297040579,0.05297034979,5.599927683e-08,0,0
