risk_pct,governance,segment,fold,calendar_year,n_trades,roi_pct,raw_return_pct,trailing_dd_pct,from_initial_dd_pct,daily_dd_pct,kills,fires,roi_basis
0.5,on,search,F7,2016,171,40.83115503036432,40.315034557780564,6.971284478538359,2.9614437562644147,3.10611394103157,0,0,annualised_1y
0.5,on,search,F8,2017,190,66.2107013711061,65.19265575081437,8.855615195186301,2.9997407299763856,2.6591453148693387,0,0,annualised_1y
0.5,on,search,F9,2018,176,18.211433537254983,18.125731304797775,6.604643144337216,0.9985139952211175,2.707032802228272,0,0,annualised_1y
0.5,on,search,F10,2019,195,44.1748875669429,43.22728698246527,10.149657788894684,1.5674689902031136,2.975537801363669,0,0,annualised_1y
0.5,on,search,F11,2020,188,49.90191965772901,48.64731854283693,7.641754150245346,4.9994721182442525,4.042270408154499,0,1,annualised_1y
0.5,on,holdout,2021,2021,212,49.378206926837365,48.49182944747188,7.306873454829564,1.3055545070497776,3.1537495010478582,0,0,annualised_1y
0.5,on,holdout,2022,2022,179,30.96088676097044,30.357832467576152,8.774892699918219,2.100001090522874,2.8179123831680633,0,0,annualised_1y
0.5,on,holdout,2023,2023,189,34.458930773217176,33.905994320453516,8.219484213922627,1.1252937778332361,2.4713722343418456,0,0,annualised_1y
0.5,on,holdout,2024,2024,191,55.07140840750952,54.71481666435103,6.933949071787842,3.268859887386333,3.056742531109282,0,0,annualised_1y
0.5,on,holdout,2025,2025,251,67.88432331271612,65.46101779340263,7.218372665489424,4.401673671292993,3.9923187881879727,0,1,annualised_1y
0.5,on,holdout,2026p,2026,71,3.3497064683224664,3.3497064683224664,5.839098610627314,0.7633750393760574,2.4767728912087126,0,0,raw_partial_4mo
