trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
459,0.4838709677,2,0.4694228973,0.3611111111
460,0,0,0,0
461,0.5128205128,10,0.3624901594,0.45
462,0,1,0,0.1666666667
463,0.5,0,0,0
464,0,2,0,0.5
465,0.4,2,0,0.4
466,0,0,0,0
467,0,1,0,0.3333333333
468,0.4608695652,12,0.572589848,0.375
469,0.5083333333,13,1.270292982,0.4333333333
470,0,0,0,0
471,0.4545454545,8,0.644248115,0.4424778761
472,0,0,0,0
473,1,3,0.3448201695,0.3684210526
474,0.4956521739,24,0.357701114,0.975
475,0.5360824742,21,0.8598289466,0.975
476,0.5,14,0.851257315,0.4957264957
477,0,0,0,0
478,0,0,0,0
479,0.55,19,0.3395362754,0.8916666667
480,0.5508474576,30,0.5731714985,0.6916666667
481,1,4,0.4655763242,0.625
482,0.5666666667,33,0.244007739,0.675
483,0.5583333333,37,0.405500742,0.9583333333
484,0.4956521739,9,0.5963159652,0.2583333333
485,0.5,12,1.246190221,0.8666666667
486,0,0,0,0
487,0.4791666667,8,0.4888664322,0.2816901408
488,0.5340909091,8,0.5321572742,0.3693693694
489,0.6666666667,3,0.7833611269,0.5
490,0.5263157895,0,0,0
491,0.5,1,0,0.3461538462
492,0.5,1,0,0.07142857143
493,0,0,0,0
494,0.4782608696,6,0.6030578935,0.7045454545
495,0.5416666667,18,0.463319159,0.525
496,0.5,3,1.021361621,0.5
497,0,0,0,0
498,0.4545454545,3,0.64095968,0.3191489362
499,0.5,1,0,0.3076923077
500,0.6666666667,4,0.3603788345,0.4666666667
501,0,0,0,0
502,0,0,0,0
503,0.52,5,0.2718361323,0.1071428571
504,0.5,3,0.8494236738,0.4848484848
505,0.5517241379,8,0.7736668601,0.8372093023
506,0.5630252101,29,0.335456102,0.725
507,0.3333333333,2,0,0.25
508,0,0,0,0
509,0.4285714286,3,0,0.1304347826
510,0.5,5,1.065669789,0.6290322581
511,0.4814814815,12,0.3122665467,0.2394366197
512,0.5546218487,17,1.375303677,0.9416666667
513,0.4838709677,7,0.3977265835,0.2142857143
514,0.5436893204,28,0.387098538,0.7416666667
515,0,1,0,0.125
516,0.5294117647,30,0.520251387,0.725
517,0.5833333333,3,0,0.1578947368
518,0,0,0,0
519,0.4150943396,5,0.6678666385,0.6037735849
520,0.5,1,0,0.04
521,0,0,0,0
522,0,0,0,0
523,0,0,0,0
524,0.4615384615,4,0.4298437311,0.5
525,0.5,3,0,0.3571428571
526,0.6153846154,5,1.020472494,0.875
527,0.5053763441,5,1.517978273,0.1666666667
528,0.2857142857,3,0.6154146897,0.2941176471
529,0.4526315789,7,0.958418148,0.1346153846
530,0.4833333333,13,0.383235007,0.35
531,0,0,0,0
532,0.8,3,0.3982436868,0.4117647059
533,0.5,2,0,0.6875
534,0.2727272727,3,0.3143764091,0.3333333333
535,0.3636363636,2,0,0.1739130435
536,0.5,0,0,0
537,0.5813953488,19,0.7299293946,1
538,0.5607476636,24,0.8151244513,0.8416666667
