pair,bar_time,swing_low_N,low,close,sweep_atr,reclaim_ratio,fired_signal
NZD_USD,2024-07-29 16:00:00,0.58682,0.58579,0.58748,0.5928362024,0.640776699,1
CAD_JPY,2024-07-31 04:00:00,109.858,109.505,110.19,0.5597827498,0.940509915,1
CHF_JPY,2024-07-31 04:00:00,172.424,172.005,173.062,0.5272471867,1.522673031,1
EUR_JPY,2024-07-31 04:00:00,164.582,164.102,165.141,0.5250405024,1.164583333,1
EUR_NZD,2024-07-31 04:00:00,1.83094,1.82675,1.83258,0.9507740123,0.3914081146,0
GBP_JPY,2024-07-31 04:00:00,195.339,194.72,195.957,0.5486907315,0.9983844911,1
GBP_NZD,2024-07-31 04:00:00,2.17261,2.1675,2.17454,0.9749821271,0.3776908023,0
NZD_JPY,2024-07-31 04:00:00,89.849,89.548,90.111,0.5708240301,0.8704318937,1
USD_JPY,2024-07-31 04:00:00,152.106,151.576,152.546,0.6067709981,0.8301886792,1
CAD_CHF,2024-07-31 16:00:00,0.6353,0.63476,0.63766,0.3337593572,4.37037037,1
GBP_CHF,2024-07-31 16:00:00,1.1282,1.12585,1.13025,0.8174044433,0.8723404255,1
USD_CHF,2024-07-31 16:00:00,0.87817,0.87705,0.88049,0.5058419778,2.071428571,1
EUR_NZD,2024-07-31 20:00:00,1.81814,1.81669,1.81956,0.2844961338,0.9793103448,1
GBP_NZD,2024-07-31 20:00:00,2.15767,2.15599,2.16033,0.2861348534,1.583333333,1
AUD_JPY,2024-08-01 04:00:00,97.394,97.195,97.712,0.2780056988,1.59798995,1
GBP_CAD,2024-08-01 12:00:00,1.767,1.76261,1.76941,1.17438986,0.5489749431,1
GBP_USD,2024-08-01 12:00:00,1.27763,1.27488,1.28104,0.8763354847,1.24,1
EUR_CAD,2024-08-01 16:00:00,1.49046,1.48952,1.49426,0.3357990337,4.042553191,1
EUR_CHF,2024-08-02 08:00:00,0.94065,0.93998,0.94276,0.272441854,3.149253731,1
GBP_AUD,2024-08-02 08:00:00,1.95286,1.95045,1.9553,0.4126949042,1.012448133,1
USD_CAD,2024-08-06 20:00:00,1.37763,1.37567,1.37838,0.5716444662,0.3826530612,0
EUR_CAD,2024-08-08 16:00:00,1.49785,1.49696,1.49885,0.2643470663,1.123595506,1
EUR_USD,2024-08-08 16:00:00,1.08917,1.08814,1.0909,0.4046879509,1.67961165,1
EUR_GBP,2024-08-12 00:00:00,0.85496,0.85421,0.85588,0.4013830855,1.226666667,1
NZD_CAD,2024-08-15 04:00:00,0.82193,0.82107,0.82321,0.3226714414,1.488372093,1
NZD_USD,2024-08-15 04:00:00,0.59894,0.59823,0.60048,0.3054612939,2.169014085,1
EUR_GBP,2024-08-16 12:00:00,0.85193,0.85107,0.85243,0.5754534871,0.5813953488,1
EUR_NZD,2024-08-20 12:00:00,1.80558,1.80332,1.80622,0.4781106004,0.2831858407,0
GBP_NZD,2024-08-20 12:00:00,2.11859,2.11642,2.12013,0.3876688696,0.7096774194,1
USD_CAD,2024-08-20 12:00:00,1.36151,1.36047,1.36207,0.5069310804,0.5384615385,1
USD_JPY,2024-08-21 00:00:00,145.188,144.933,145.452,0.3467667649,1.035294118,1
USD_CHF,2024-08-21 20:00:00,0.85074,0.84953,0.85144,0.4510174044,0.5785123967,1
