trade_id,pair,signal_bar_time,entry_time,y,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,n_swing_lows,most_recent_sl_lag,swing_low_dist_atr,mother_bar_range_atr,inside_bar_range_atr,ib_range_ratio,break_bar_body_atr,break_close_above_high_atr,d1_trend_state,d1_atr_ratio_to_4h,d1_pos_in_20d_range,d1_ret_5d_atr,d1_rsi_14,d1_close_above_kijun,d1_bars_since_swing_high,d1_bars_since_swing_low,session_london,session_ny_overlap,hour_sin,hour_cos
278,GBP_USD,2021-05-14 08:00:00,2021-05-14 12:00:00,0,0.5994623656,0.2688172043,0.1317204301,1.01629475,0.9316035212,-1.371451518,0.3774173425,53.01454252,2,5,1.652844957,0.483559599,0.4289200963,0.8870056497,0.6092304552,0.3879404693,0,2.577545517,0.7407325194,1.712820119,59.29703894,1,17,8,1,0,0.8660254038,-0.5
279,GBP_CHF,2021-05-17 08:00:00,2021-05-17 12:00:00,0,0.5458937198,0.2850241546,0.1690821256,0.760213031,-0.1615911757,-2.012544643,0.2870503597,48.93497637,1,6,1.465338161,0.8116284051,0.4443757331,0.5475113122,0.4149955194,0.2203516032,0,3.152223286,0.5317627261,1.327002422,49.18019474,1,2,5,1,0,0.8660254038,-0.5
280,NZD_CAD,2021-05-18 04:00:00,2021-05-18 08:00:00,0,0.3550724638,0.4492753623,0.1956521739,0.491339589,-0.9755583144,1.057448246,0.4013547841,43.3802187,2,16,1.726809425,1.587952585,1.224788541,0.7713004484,0.1744611584,0.05696690887,0,2.811485796,0.05032350827,-1.311977942,37.93170623,0,18,38,0,0,0.8660254038,0.5
281,AUD_NZD,2021-05-18 20:00:00,2021-05-19 00:00:00,0,0.125,0.5625,0.3125,0.4219736508,-0.490544369,-0.5380164048,0.6170212766,49.75234993,2,11,2.141516278,1.091856821,0.9547153849,0.8743961353,0.05274670635,0.03692269444,1,2.708695936,0.5677123183,-0.1421536287,48.73794806,0,35,11,0,0,-0.8660254038,0.5
282,USD_CAD,2021-05-19 00:00:00,2021-05-19 04:00:00,0,0.2608695652,0.4239130435,0.3152173913,0.6208252762,0.7625353936,-3.42466117,0.2829293994,42.93670526,3,4,1.811865072,1.926582786,0.5061075621,0.2626970228,0.1619544199,0.06410695786,0,2.678392389,0.07999376267,-0.4623207963,27.02762976,0,19,43,0,0,0,1
283,EUR_CHF,2021-05-20 00:00:00,2021-05-20 04:00:00,0,0.625,0.07083333333,0.3041666667,1.326963158,1.990444737,3.129421448,0.8252947481,66.86901703,3,8,4.417681514,1.111331645,0.8238229607,0.7412935323,0.8293519739,0.04976111843,1,2.349911119,0.4912516824,0.6917410006,52.67230279,0,0,6,0,0,0,1
284,AUD_CAD,2021-05-20 04:00:00,2021-05-20 08:00:00,0,0.4705882353,0.09243697479,0.4369747899,0.9830410823,0.3510861008,-1.598474365,0.4860103627,46.7683491,4,4,1.937169192,1.003693206,0.6567375298,0.6543209877,0.4626075681,0.3221731278,0,2.884501659,0.09825970549,0.04152617364,37.42290375,0,20,34,0,0,0.8660254038,0.5
285,AUD_JPY,2021-05-20 04:00:00,2021-05-20 08:00:00,0,0.3188010899,0.02179836512,0.659400545,1.282574413,0.04193703803,-1.827755907,0.4844720497,45.82172863,2,16,1.030952185,1.13579478,0.8492250201,0.7476923077,0.4088861208,0.1922114243,0,2.359016472,0.4788990826,-0.4355448314,49.10009545,0,7,26,0,0,0.8660254038,0.5
286,EUR_CAD,2021-05-20 08:00:00,2021-05-20 12:00:00,0,0.7749003984,0.1115537849,0.1135458167,1.483473358,0.6708136498,2.411382988,0.8372492837,67.01062215,3,5,4.317439394,0.8244802128,0.5437432228,0.6594982079,1.149544096,0.6087559994,1,2.836647498,0.3522399539,1.245953525,46.68196984,0,20,5,1,0,0.8660254038,-0.5
287,GBP_JPY,2021-05-20 16:00:00,2021-05-20 20:00:00,0,0.6318537859,0.06266318538,0.3054830287,1.028095944,0.3301718044,0.5690766059,0.5600309837,52.23546855,3,6,2.134037272,1.476377987,1.060307827,0.7181818182,0.6496063143,0.4939155447,0,2.699355068,0.8802633859,0.04972157321,65.87063947,1,31,18,0,0,-0.8660254038,-0.5
