trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
45,EUR_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,1.4773,1.469718132,2021-05-06 17:00:00,1.469708132,stoploss,89,-1.001318936,0.8889630035,-1.052511093,11,1,0.2,2021
46,NZD_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,0.879795,0.8734579415,2021-05-10 01:00:00,0.882135,time_exit,120,0.3692564934,1.00914328,-0.502599116,76,2.3,3.3,2021
47,EUR_CAD,2021-05-06 18:00:00,2021-05-06 19:00:00,1.46913,1.461446818,2021-05-12 15:00:00,1.461436818,stoploss,93,-1.001301544,1.239069891,-1.025616675,20,0.2,0.2,2021
48,CAD_JPY,2021-05-07 00:00:00,2021-05-07 01:00:00,89.7135,89.18363365,2021-05-07 15:00:00,89.18313365,stoploss,15,-1.000943634,0.233077643,-1.210682656,4,0.7,0.1,2021
49,CAD_JPY,2021-05-07 16:00:00,2021-05-07 17:00:00,89.4085,88.80423083,2021-05-14 17:00:00,90.3785,time_exit,120,1.605244904,2.041308855,-0.4211699258,72,0.1,0.1,2021
50,AUD_CAD,2021-05-11 00:00:00,2021-05-11 01:00:00,0.94761,0.9418527644,2021-05-12 15:00:00,0.9418427644,stoploss,39,-1.001736945,0.4533425767,-1.424294685,12,0.8,0.2,2021
51,USD_JPY,2021-05-13 00:00:00,2021-05-13 01:00:00,109.6595,109.1269992,2021-05-17 13:00:00,109.1264992,stoploss,61,-1.000938966,0.235680417,-1.101406889,2,0.1,0.1,2021
52,AUD_CAD,2021-05-14 00:00:00,2021-05-14 01:00:00,0.93964,0.9339811403,2021-05-19 15:00:00,0.9339711403,stoploss,87,-1.00176714,0.6202663048,-1.085024248,20,0.6,0.2,2021
53,USD_JPY,2021-05-17 14:00:00,2021-05-17 15:00:00,109.2045,108.7798846,2021-05-19 16:00:00,108.7793846,stoploss,50,-1.001177536,0.3120470685,-1.110416549,47,0.1,0.1,2021
54,NZD_CAD,2021-05-18 00:00:00,2021-05-18 01:00:00,0.870155,0.8637237461,2021-05-21 17:00:00,0.8635537461,stoploss,89,-1.026433415,0.6724971647,-1.068998383,21,1.9,3.4,2021
55,EUR_NZD,2021-05-20 00:00:00,2021-05-20 01:00:00,1.697405,1.685873717,2021-05-26 05:00:00,1.685843717,stoploss,101,-1.002601618,0.5381014242,-1.629913983,33,2.3,0.6,2021
