fold,trade_id,entry_time,pair,p_admit,admitted,final_r_at_selected_sl,selected_sl_atr_mult,mode
2,511,2024-03-07 08:00:00,GBP_JPY,0.37774461577920676,0,3.583246287333333,3.0,E
2,512,2024-03-07 20:00:00,EUR_JPY,0.2559933616825226,0,-1.0,3.0,E
2,513,2024-03-08 20:00:00,USD_CAD,0.15612843075872093,0,2.666639302,3.0,E
2,514,2024-03-11 00:00:00,AUD_JPY,0.4212304906277214,0,4.979585394666667,3.0,E
2,515,2024-03-13 12:00:00,GBP_JPY,0.4964606853119226,0,3.055319188666666,3.0,E
2,516,2024-03-13 16:00:00,EUR_JPY,0.5825889363449415,1,3.905545027333333,3.0,E
2,517,2024-03-18 08:00:00,NZD_CAD,0.09511434633942482,0,-1.0,3.0,E
2,518,2024-03-21 00:00:00,NZD_USD,0.23530270298482367,0,-1.0,3.0,E
2,519,2024-03-22 16:00:00,GBP_USD,0.22304166041917756,0,-1.0,3.0,E
2,520,2024-03-28 16:00:00,AUD_USD,0.14763476539576997,0,-1.0,3.0,E
2,521,2024-03-28 16:00:00,EUR_USD,0.1557250577746033,0,-1.0,3.0,E
2,522,2024-03-29 16:00:00,AUD_CAD,0.22994336881543362,0,-1.0,3.0,E
2,523,2024-04-01 04:00:00,EUR_GBP,0.12047151317910178,0,-1.0,3.0,E
2,524,2024-04-03 20:00:00,EUR_USD,0.2010525695903276,0,-1.0,3.0,E
2,525,2024-04-04 12:00:00,EUR_CAD,0.18731926128214152,0,-1.0,3.0,E
2,526,2024-04-05 04:00:00,CAD_CHF,0.1292971490865491,0,-1.0,3.0,E
2,527,2024-04-08 04:00:00,EUR_AUD,0.27904261724166496,0,-1.0,3.0,E
2,528,2024-04-12 20:00:00,GBP_CHF,0.2998466542857866,0,-1.0,3.0,E
2,529,2024-04-15 00:00:00,CAD_JPY,0.30611381431635915,0,3.389477404,3.0,E
2,530,2024-04-16 00:00:00,EUR_AUD,0.31097139410836905,0,-1.0,3.0,E
2,531,2024-04-17 16:00:00,AUD_CHF,0.21287000378559073,0,-1.0,3.0,E
2,532,2024-04-19 12:00:00,GBP_CAD,0.18259445231823532,0,-1.0,3.0,E
2,533,2024-04-23 04:00:00,NZD_CHF,0.2179837959280624,0,0.7230537466666667,3.0,E
2,534,2024-04-23 12:00:00,EUR_CAD,0.1554662028275038,0,1.4482174793333331,3.0,E
2,535,2024-04-24 04:00:00,GBP_CHF,0.3329067592054124,0,-1.0,3.0,E
2,536,2024-04-25 12:00:00,GBP_CAD,0.3160492209485443,0,2.313500197333333,3.0,E
2,537,2024-05-02 04:00:00,CHF_JPY,0.2807895352829412,0,2.7921399526666666,3.0,E
2,538,2024-05-06 08:00:00,USD_JPY,0.1510113340418565,0,2.69111358,3.0,E
2,539,2024-05-08 08:00:00,USD_CHF,0.3699858855818556,0,-1.0,3.0,E
2,540,2024-05-10 04:00:00,EUR_NZD,0.22720419295245164,0,-1.0,3.0,E
2,541,2024-05-30 04:00:00,AUD_CHF,0.1761638899515434,0,-1.0,3.0,E
2,542,2024-05-30 04:00:00,CAD_CHF,0.11731162188742277,0,-1.0,3.0,E
2,543,2024-05-30 12:00:00,AUD_USD,0.1713058308442499,0,-1.0,3.0,E
2,544,2024-05-30 12:00:00,EUR_USD,0.11975926631976783,0,-1.0,3.0,E
2,545,2024-06-03 08:00:00,USD_CAD,0.10768593180883133,0,3.001197917333333,3.0,E
2,546,2024-06-03 20:00:00,GBP_NZD,0.3299160888768076,0,9.429520906666667,3.0,E
2,547,2024-06-04 00:00:00,EUR_CHF,0.11901918084723849,0,-1.0,3.0,E
2,548,2024-06-05 08:00:00,AUD_JPY,0.17949920560994095,0,-1.0,3.0,E
2,549,2024-06-07 16:00:00,GBP_NZD,0.3011687799881647,0,-1.0,3.0,E
2,550,2024-06-11 20:00:00,EUR_AUD,0.3094464006369536,0,-1.0,3.0,E
2,551,2024-06-14 20:00:00,EUR_JPY,0.3496434250936444,0,-1.0,3.0,E
2,552,2024-06-17 20:00:00,GBP_USD,0.1899631369131943,0,-1.0,3.0,E
3,553,2024-06-18 04:00:00,NZD_CAD,0.17911366803766182,0,-1.0,3.0,D1
3,554,2024-06-18 16:00:00,NZD_USD,0.2597853444095197,0,-1.0,3.0,D1
3,555,2024-06-21 16:00:00,NZD_CAD,0.16151549412725888,0,-1.0,3.0,D1
3,556,2024-06-25 20:00:00,GBP_AUD,0.32220771549430915,0,-1.0,3.0,D1
3,557,2024-06-26 04:00:00,AUD_CAD,0.22954277596384906,0,-1.0,3.0,D1
3,558,2024-06-28 12:00:00,AUD_USD,0.2036767720257014,0,-1.0,3.0,D1
3,559,2024-07-10 16:00:00,NZD_CHF,0.19632043742883465,0,-1.0,3.0,D1
3,560,2024-07-17 04:00:00,NZD_USD,0.1662518271546628,0,-1.0,3.0,D1
3,561,2024-07-19 08:00:00,EUR_CHF,0.17531887832567253,0,-1.0,3.0,D1
3,562,2024-07-22 04:00:00,GBP_CHF,0.24454338800798786,0,-1.0,3.0,D1
3,563,2024-07-25 16:00:00,AUD_NZD,0.15069214982846477,0,-1.0,3.0,D1
3,564,2024-08-02 16:00:00,GBP_CAD,0.18565430784092918,0,-1.0,3.0,D1
