trade_id,pair,fold,segment,cluster,archetype,realized_r_3p5,outcome,terminal_mae_r_dep,terminal_mae_r_held,bars_to_mae_trough,dip_first1_r,dip_first2_r,dip_first3_r,dep_exit_offset,terminal_mfe_r_dep,terminal_mfe_r_held,terminal_mfe_r_full,exit_reason_deployed,partial_fired,partial_contrib_r,runner_contrib_r,runner_exit_r,runner_peak_mfe_r,give_back_r,gap_open_r
2674,USDCHF,12,holdout,0,v_shape_recovery,0.9007104461464932,win,-0.9703824272438621,-0.9703824272438621,5,-0.19259498555984633,-0.33086830852589055,-0.4111162191758311,45,3.2691764215543095,10.812480022648227,10.812480022648227,partial_then_trail,True,0.5,0.40071044614649326,0.8014208922929865,1.8681008123167482,1.0666799200237618,0.007407499444630561
2675,GBPAUD,12,holdout,1,monotonic_down,-1.0,loss,-2.1751479330172856,-1.0372032598924499,103,-0.12348947428483786,-0.12348947428483786,-0.12348947428483786,103,1.734268845000355,1.734268845000355,1.734268845000355,SL_no_partial,False,0.0,-1.0,-1.0,0.9910107685716314,,0.02545616355871679
2676,EURJPY,12,holdout,0,v_shape_recovery,1.1289791493268764,win,-0.7935574348567455,-0.7935574348567455,9,-0.13046333811084043,-0.2405063276477788,-0.2405063276477788,41,4.068754453343412,11.147241393713182,11.147241393713182,partial_then_trail,True,0.5,0.6289791493268764,1.2579582986537527,2.325002544767664,1.0670442461139111,0.00794124666762142
2677,AUDCHF,12,holdout,0,v_shape_recovery,1.1789666977782538,win,-0.9311847344137221,-2.1193764555256664,8,-0.2756306813864538,-0.2756306813864538,-0.2756306813864538,25,5.015360979552437,7.605916910691442,8.296855983626457,partial_then_trail,True,0.5,0.6789666977782539,1.3579333955565078,2.865920559744249,1.5079871641877414,0.12477875441143181
2678,NZDCHF,12,holdout,0,v_shape_recovery,0.7343168132533872,win,-0.9675016805301151,-0.9675016805301151,8,-0.423281985231928,-0.423281985231928,-0.423281985231928,25,3.019663448217051,0.9996257597664252,4.297068010791942,partial_then_trail,True,0.5,0.23431681325338719,0.46863362650677437,1.7255219704097433,1.256888343902969,0.21919959949511306
2679,GBPCAD,12,holdout,1,monotonic_down,-1.0,loss,-2.1401287890798764,-1.0086051492201678,11,-0.5750228021013484,-0.637323954891202,-0.637323954891202,11,0.04546300338721877,0.04546300338721877,0.04546300338721877,SL_no_partial,False,0.0,-1.0,-1.0,0.025978859078410726,,0.021047686753330946
2680,NZDUSD,12,holdout,1,monotonic_down,-1.0,loss,-2.041626160471145,-1.3241949115579141,6,-0.11193962749000484,-0.2747609038391259,-0.8586278244972084,6,0.40323706720830327,0.40323706720830327,0.40323706720830327,SL_no_partial,False,0.0,-1.0,-1.0,0.23042118126188757,,0.016536535879200766
2681,GBPAUD,12,holdout,1,monotonic_down,-1.0,loss,-1.944023702273852,-1.149438239738817,61,-0.4808036086187063,-0.6680870188096074,-0.7934902379140285,61,1.361364203902195,1.361364203902195,1.7222407165214884,SL_no_partial,False,0.0,-1.0,-1.0,0.7779224022298257,,0.009857021588985836
2682,USDCAD,12,holdout,0,v_shape_recovery,0.6386664386600232,win,-0.11324425823904552,-0.18784166644408545,0,-0.11324425823904552,-0.11324425823904552,-0.11324425823904552,59,2.26218887291762,6.430656092858734,6.430656092858734,partial_then_trail,True,0.5,0.13866643866002315,0.2773328773200463,1.2926793559529257,1.0153464786328794,0.009886403497082337
2683,GBPUSD,12,holdout,1,monotonic_down,-1.0,loss,-1.8028689693447413,-1.2719244482730936,90,-0.5246981149413869,-0.5528069425275084,-0.5528069425275084,90,1.3796749540199622,0.7331719195386459,1.3796749540199622,SL_no_partial,False,0.0,-1.0,-1.0,0.788385688011407,,0.005465605363973863
