trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,bars_held,final_r,mfe_r,mae_r,exit_reason
328,0.4705882353,5,0.1992605357,0.5652173913,23,-1.007547748,1.052156011,-4.324859356,stoploss
329,0.5,2,0.5274012433,0.4,10,-1.019800047,0.8028018925,-3.799808958,stoploss
330,0,0,0,0,11,-1.008584623,0.1785601657,-7.592240891,stoploss
331,0.5,2,0,0.1538461538,13,-1.007884116,0.8638738217,-6.107937073,stoploss
332,0.5217391304,9,0.472435677,0.48,25,-1.018648777,8.907899015,-2.198483567,stoploss
333,0,0,0,0,5,-1.006502734,0.8388526624,-5.104646047,stoploss
334,0,1,0.666601638,1,3,-1.0298713,0.7735094479,-11.6812504,stoploss
335,0,1,0,0.09090909091,11,-1.01130896,1.922523275,-4.286096007,stoploss
336,0.2857142857,2,0.3266711227,0.1818181818,22,-1.009780573,1.572716064,-7.233711448,stoploss
337,0.5,3,0,0.3,10,-1.01884949,9.528417164,-3.359921582,stoploss
338,0.3333333333,6,0.7757442498,0.6071428571,28,-1.009672622,1.853274293,-6.285269496,stoploss
339,0.75,3,0.2634007083,0.7142857143,7,-1.011568274,9.529588462,-1.978174914,stoploss
340,0.75,2,0.2449549866,0.7142857143,7,-1.006600583,1.942771735,-4.090161557,stoploss
341,0.5833333333,2,0,0.06451612903,31,-1.021217989,2.979005679,-1.50902339,stoploss
342,0,1,0,0.2,5,-1.023622873,0.565705639,-8.224489674,stoploss
343,0,0,0,0,5,-1.009918528,1.133417206,-3.971919484,stoploss
344,0.525,36,0.542437272,0.7916666667,240,2.62076435,7.372677386,-0.3118506417,time_exit
345,0.5358649789,13,0.910827855,0.7916666667,240,1.586296949,4.242790242,-0.7810111391,time_exit
346,0.55,18,0.440891486,0.7791666667,240,3.399058012,7.35008043,-0.1405412449,time_exit
347,0.4455445545,4,0.328730504,0.046875,128,-1.014978129,2.462719657,-1.724849747,stoploss
348,0.5263157895,8,1.247018862,0.4444444444,99,-1.008430185,5.813585075,-1.013567593,stoploss
349,0.44,8,0.2343471599,0.3243243243,37,-1.017185458,1.809160075,-2.185677845,stoploss
350,0.5217391304,8,0.2988106967,0.3243243243,37,-1.007989591,1.57394939,-3.473874085,stoploss
351,0.3684210526,7,0.9533640751,0.7659574468,47,-1.01981829,2.147676839,-4.333947191,stoploss
352,0.4516129032,6,0.4249753841,0.2857142857,35,-1.012438304,1.855380334,-3.354195956,stoploss
353,0.3333333333,3,0.7471684777,0.6666666667,12,-1.036533474,1.581153061,-4.291701167,stoploss
354,0,3,0.371660499,0.6875,16,-1.025485291,0.1306121182,-7.274988795,stoploss
355,0,0,0,0,12,-1.006854501,0.2170592111,-7.283288545,stoploss
356,0,0,0,0,2,-1.008592018,1.03472451,-4.982143279,stoploss
357,0,0,0,0,2,-1.006344517,1.27242809,-4.526460258,stoploss
358,0.45,4,0.8959964055,0.6333333333,30,-1.016924377,3.577016761,-3.371933139,stoploss
359,0,0,0,0,2,-1.007388785,2.126492337,-3.907189534,stoploss
360,0,0,0,0,2,-1.010425397,3.327597243,-3.58728441,stoploss
