trade_id,pair,bar_offset,high_r,low_r,close_r,mfe_so_far_r,mae_so_far_r,is_held
EUR_USD_2010-04-15 08:00:00,EUR_USD,96,-14.802712693045054,-17.42166957151156,-17.177393777036855,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,97,-15.32930723359301,-18.548942295194017,-16.118197914109647,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,98,-15.605619197834876,-16.60274498183818,-15.713741270799087,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,99,-12.121685735654639,-14.592475328947971,-13.080768568059439,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,100,-11.390860612840985,-13.150847689425147,-12.057613396120315,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,101,-8.87401902550735,-12.059615656730733,-10.093395737270413,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,102,-10.095397997880873,-13.202906465296792,-13.120813780268403,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,103,-13.09478439233258,-15.491490343039326,-14.760665220225627,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,104,-14.550427856128547,-15.573583028067715,-15.020959099583937,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,105,-14.704601923133106,-16.302405890270908,-15.103051784612324,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,106,-14.842757905254016,-16.628774369774,-16.226319987073857,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,107,-15.575585288678132,-17.375617577471257,-16.889068249132308,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,108,-15.815856561931959,-17.429678613953364,-16.174261211202214,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,109,-15.767802307281192,-17.071273964683105,-15.952010283442451,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,110,-15.933989937948388,-18.220571555080504,-18.096431397232692,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,111,-17.473728347383247,-18.446827004061145,-17.91022116046097,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,112,-17.699983796363888,-18.651057586326885,-17.82812847543258,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,113,-15.984046453209615,-18.270628070341687,-16.82499590959794,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,114,-16.51664777558891,-17.633909196219104,-16.875052424859167,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,115,-16.572711072681432,-18.408784052462643,-18.352720755370076,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,116,-17.98030028182668,-18.530921949699994,-18.08441783357001,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,117,-17.718004141857953,-18.324689106823794,-17.742031269183315,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,118,-17.331567844041416,-17.998320627320698,-17.343581407704093,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,119,-17.083287528345785,-19.520038691261497,-18.97141928399864,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,120,-18.554949077025356,-19.958533764949678,-19.726271534137698,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,121,-18.825254259435884,-19.84440491015413,-19.107573005509135,0.9410624869107347,-20.214823123087108,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,122,-18.93738085362102,-20.43707405084687,-20.308929371778177,0.9410624869107347,-20.43707405084687,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,123,-19.88445012236309,-20.409042402300585,-20.024608365094508,0.9410624869107347,-20.43707405084687,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,124,-19.568092945912262,-20.362990408260284,-20.13273043805872,0.9410624869107347,-20.43707405084687,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,125,-19.24773124824051,-22.080930012025018,-21.90873559952644,0.9410624869107347,-22.080930012025018,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,126,-20.098692007681095,-22.002841848217507,-21.90473107830556,0.9410624869107347,-22.080930012025018,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,127,-21.526303822930778,-23.58462773047175,-22.89785234108794,0.9410624869107347,-23.58462773047175,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,128,-22.69562401943266,-23.70075884587776,-23.626675203291175,0.9410624869107347,-23.70075884587776,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,129,-23.334345154165707,-24.113224531630124,-23.894978125091242,0.9410624869107347,-24.113224531630124,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,130,-23.90098490692258,-26.097464796584507,-25.34261254644545,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,131,-24.17929913177491,-25.664976504727665,-24.781979575519916,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,132,-22.4813821341147,-24.820022527118418,-23.408428796752293,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,133,-23.021992498935752,-25.142386485400632,-23.636686506343395,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,134,-22.767705401408787,-23.963054985846487,-22.821766437890936,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,135,-22.76370088018791,-24.28341668351824,-23.626675203291175,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,136,-23.4704988756762,-24.47963822334218,-23.48051017872842,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,137,-22.11096392118172,-23.73679953686585,-22.58750194646845,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,138,-21.882706211590616,-22.799741571175993,-22.42932335824301,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,139,-22.41530753396987,-25.52281600138583,-25.476764007345484,0.9410624869107347,-26.097464796584507,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,140,-25.23048595226036,-27.60116251503124,-27.342870896283394,0.9410624869107347,-27.60116251503124,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,141,-26.840303483060843,-27.89349256415671,-27.148651617069916,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,142,-26.287679554577107,-27.176683265616198,-26.912384865037012,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,143,-26.2095913907696,-27.783368230582038,-27.130631271575893,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,144,-24.219344343983916,-27.48302913901481,-24.399547798924253,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,145,-22.837784522774495,-25.580881559088816,-23.178168826550728,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,146,-22.157015915222022,-23.55859834253593,-22.317196764057922,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,147,-22.337219370162405,-24.319457374506328,-24.199321737879437,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,148,-23.358372281491064,-24.259389556192883,-23.919005252416646,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,149,-22.03688027859513,-24.17929913177491,-23.500532784832945,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,150,-22.985951807947668,-24.617794205463138,-23.906991688753966,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,151,-20.57723229357824,-24.84605191505424,-20.865557821482835,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,152,-18.815242956383663,-21.656450762609932,-21.390150101420286,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,153,-19.297787763501734,-21.500274434994957,-19.461973133558512,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,154,-17.329565583430952,-19.59212007323762,-18.420797616125324,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,155,-18.40077501002084,-21.3320845437173,-20.567220990526025,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,156,-19.14361369649722,-21.063781621917236,-19.455966351727128,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,157,-18.821249738215005,-20.393024317416984,-18.86930399286577,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,158,-18.825254259435884,-19.628160764225708,-19.329823933268894,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,159,-19.510027388209277,-21.149878828166504,-20.65131593616483,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,160,-20.26487963834829,-21.123849440230682,-20.871564603314173,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,161,-20.34497006276622,-22.77971896507151,-22.737671492252083,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,162,-22.737671492252083,-23.752817621749408,-23.430453663467237,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,163,-22.44333918251615,-23.80687865823151,-22.59951551013113,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,164,-22.541449952428145,-24.127240355903265,-23.878960040207684,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,165,-23.688745282215084,-25.104343533802087,-24.481640483952642,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,166,-24.319457374506328,-25.34861932827679,-24.900112951536343,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,167,-24.755950187584094,-26.924398428699693,-26.90437582259521,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,168,-26.029387935829263,-27.210721695993822,-26.11748740268899,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,169,-24.900112951536343,-26.30770216068159,-25.300565073626025,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,170,-23.003972153441733,-25.53683182565893,-23.350363239049308,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,171,-23.340351935997045,-25.344614807055912,-25.116357097464764,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,172,-24.54771508409743,-25.51480695894403,-25.33260124339323,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,173,-23.894978125091242,-25.404682625369357,-24.36951388976751,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,174,-24.17529461055403,-25.81714831112172,-25.372646455602194,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,175,-25.33660576461411,-26.91438712564743,-26.01136759033524,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,176,-25.999354026672517,-27.68926198189097,-27.545099217938716,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,177,-26.347747372890552,-27.69526876372231,-26.962441380298195,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,178,-25.028257630605037,-27.06255441082065,-25.028257630605037,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,179,-23.945034640352468,-25.88922969309789,-25.018246327552816,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,180,-24.501663090057125,-26.68813167666679,-26.5900209067548,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,181,-22.99396085038947,-26.68212489483545,-23.27627959646272,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,182,-22.8838365168148,-24.327466416948127,-23.632681985122517,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,183,-23.156143959835788,-24.747941145142292,-24.415565883807858,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,184,-24.023122804159932,-25.13037292173791,-24.223348865204795,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,185,-21.720523102144302,-24.62580324790494,-22.60151777074159,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,186,-22.140997830338463,-24.259389556192883,-23.55859834253593,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,187,-23.15414169922537,-25.022250848773698,-24.94216042435577,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,188,-24.683868805607922,-25.458743661851464,-25.320587679730508,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,189,-24.271403119855563,-25.43071201330518,-24.519683435551144,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,190,-24.077183840642082,-24.789988617961672,-24.73392532086915,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,191,-24.449604314185482,-25.12036161868569,-24.82202478772888,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,192,-24.287421204739164,-24.93615364252443,-24.647828114619838,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,193,-24.53570152043475,-25.420700710252962,-24.73792984209003,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,194,-24.483642744563106,-24.870079042379643,-24.599773859969115,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,195,-24.623800987294477,-25.853189002109804,-25.6469561592336,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,196,-24.84605191505424,-25.73505562609333,-25.218472388597636,0.9410624869107347,-27.89349256415671,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,197,-25.04027119426776,-28.550234044383778,-28.205845219386664,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,198,-26.205586869548718,-28.372032850053902,-26.379783542657716,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,199,-23.784853791516614,-26.49991917928465,-25.02425310938416,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,200,-25.030259891215497,-26.748199494980234,-26.531955349051813,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,201,-25.512804698333568,-26.748199494980234,-25.751073710976932,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,202,-25.62693355312912,-27.068561192651988,-26.437849100360744,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,203,-25.308574116067827,-26.934409731751956,-25.62092677129778,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,204,-25.4267074920843,-27.26478273247593,-26.854319307333984,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,205,-25.492782092229085,-27.060552150210185,-26.32171798495473,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,206,-25.6469561592336,-26.572000561260776,-25.777103098912754,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,207,-24.623800987294477,-26.255643384809947,-24.890101648484126,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,208,-24.393541017092915,-25.23849499470212,-24.423574926249614,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,209,-24.255385034971958,-25.43671879513652,-25.090327709528943,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,210,-25.018246327552816,-26.125496445130793,-25.733053365482913,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,211,-25.687001371442566,-27.723300412268593,-27.396931932765497,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,212,-26.936411992362373,-27.721298151658175,-27.535087914886454,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,213,-27.09258831997735,-27.629194163577523,-27.20071039294156,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,214,-27.058549889599725,-27.519069830002852,-27.234748823319183,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,215,-26.461876227686105,-27.31083472651623,-27.022509198611683,0.9410624869107347,-28.550234044383778,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,216,-26.98046172579226,-30.3422572907351,-29.73957684699014,0.9410624869107347,-30.3422572907351,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,217,-29.210980045831764,-31.331374032296644,-30.64860316413371,0.9410624869107347,-31.331374032296644,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,218,-30.608557951924748,-31.665751554241496,-31.425480280987713,0.9410624869107347,-31.665751554241496,0
EUR_USD_2010-04-15 08:00:00,EUR_USD,219,-31.463523232586216,-33.25354421832708,-33.043306854229996,0.9410624869107347,-33.25354421832708,0
